Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
XLOC_004018	0.477707667	0.477707667	6.076862983	0.00522379	0.375024793	-1.47042338
XLOC_001537	0.528032177	0.528032177	6.647185616	0.003868537	0.375024793	-1.23610332
XLOC_008185	-0.6551361	-0.6551361	-8.034925894	0.002029288	0.375024793	-0.782222172
XLOC_013837	-0.65202032	-0.65202032	-6.197510972	0.004892544	0.375024793	-1.418123482
NA	0.748822447	0.748822447	8.660268087	0.001567523	0.375024793	-0.62031372
XLOC_005397	-0.482946137	-0.482946137	-6.17894425	0.004941763	0.375024793	-1.426072465
NA	0.533360977	0.533360977	6.413680498	0.004362456	0.375024793	-1.328158827
XLOC_014209	-0.604205787	-0.604205787	-7.446441386	0.002632695	0.375024793	-0.956989529
XLOC_011219	-0.69953881	-0.69953881	-7.76382892	0.002282748	0.375024793	-0.859812613
NA	0.494615617	0.494615617	6.444206835	0.004293542	0.375024793	-1.315828791
NA	-0.58821961	-0.58821961	-6.90238378	0.003406614	0.375024793	-1.141201091
NA	-0.831274683	-0.831274683	-6.722493112	0.003724422	0.375024793	-1.207495937
NA	-0.582236437	-0.582236437	-7.460660968	0.002615621	0.375024793	-0.952481794
NA	-0.9733109	-0.9733109	-10.84963941	0.00071537	0.375024793	-0.198166944
XLOC_013837	-0.837330233	-0.837330233	-7.476450375	0.002596826	0.375024793	-0.947493783
NA	-0.846084323	-0.846084323	-8.881888381	0.00143636	0.375024793	-0.568107671
XLOC_007249	-0.609740967	-0.609740967	-7.146727887	0.003027727	0.375024793	-1.055556668
NA	0.82568635	0.82568635	6.302674729	0.004625102	0.375024793	-1.373769025
XLOC_014209	-0.635729313	-0.635729313	-6.22129636	0.004830387	0.375024793	-1.407992436
FAM174B	0.675502853	0.675502853	8.045667634	0.002019998	0.375024793	-0.779245078
MRPL54	-0.503256817	-0.503256817	-6.270174447	0.004705745	0.375024793	-1.387356052
ACOX2	0.878234943	0.878234943	10.11446006	0.00091427	0.375024793	-0.319040228
CXCR4	1.02510612	1.02510612	9.159001385	0.001291305	0.375024793	-0.506277205
SNPH	-0.544208423	-0.544208423	-6.28853149	0.00465998	0.375024793	-1.379668595
ILK	-0.702400677	-0.702400677	-7.119738782	0.00306687	0.375024793	-1.064776287
MVK	-0.481201967	-0.481201967	-6.035393885	0.005344126	0.375024793	-1.488757624
ERO1L	0.538388683	0.538388683	6.301147634	0.004628852	0.375024793	-1.37440505
MT2A	-0.623985647	-0.623985647	-7.419436623	0.00266551	0.375024793	-0.965591307
PPL	-0.597462787	-0.597462787	-6.847695277	0.003499482	0.375024793	-1.161056508
RPL23AP32	0.555144433	0.555144433	6.385824182	0.004426562	0.375024793	-1.339489844
BFSP1	-0.630058553	-0.630058553	-8.058531113	0.002008944	0.375024793	-0.775689442
ZNF185	-0.486279223	-0.486279223	-5.993409611	0.005469527	0.375024793	-1.507509583
PDLIM3	-0.925174677	-0.925174677	-8.694369817	0.00154638	0.375024793	-0.612114424
YIPF3	-0.507092533	-0.507092533	-6.265064201	0.004718586	0.375024793	-1.389502179
RSPO3	1.157758667	1.157758667	11.89384389	0.000518152	0.375024793	-0.054126678
PRDX4	0.490511353	0.490511353	6.248898043	0.004759498	0.375024793	-1.396308933
WASH1	-0.536065517	-0.536065517	-6.450105522	0.004280384	0.375024793	-1.313456659
SLC25A1	-0.703138807	-0.703138807	-6.22016181	0.004833329	0.375024793	-1.408474354
XBP1	0.565604397	0.565604397	7.307856953	0.002806708	0.375024793	-1.001710435
SEMA5B	1.1786122	1.1786122	10.32688273	0.000850267	0.375024793	-0.282242451
SPON2	-0.468322073	-0.468322073	-6.004043895	0.005437417	0.375024793	-1.502741667
CXXC4	-0.854780467	-0.854780467	-10.02709985	0.000942365	0.375024793	-0.334646309
ANXA3	-0.77534688	-0.77534688	-9.290635019	0.001228915	0.375024793	-0.478176873
ADM	0.97174338	0.97174338	12.2835602	0.000462575	0.375024793	-0.007338504
ALDH6A1	-0.5709618	-0.5709618	-7.359079731	0.002740744	0.375024793	-0.985012805
QPCTL	-0.734308233	-0.734308233	-7.781708118	0.002264839	0.375024793	-0.854546438
POLRMT	-0.78819134	-0.78819134	-9.815939219	0.001014945	0.375024793	-0.373556122
CXCR7	-0.5180304	-0.5180304	-6.540760828	0.004084406	0.375024793	-1.27742015
CAV1	-1.2627188	-1.2627188	-11.86007675	0.000523359	0.375024793	-0.058344899
PIR	0.568020533	0.568020533	7.303182634	0.002812827	0.375024793	-1.003244118
UBA1	-0.531366197	-0.531366197	-6.873340305	0.003455541	0.375024793	-1.151713664
NAV3	1.249295383	1.249295383	6.052126451	0.005295156	0.375024793	-1.481337533
