Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
NA	0.682356583	0.682356583	7.818104484	0.002163936	0.462838808	-0.867713903
NA	-1.191214333	-1.191214333	-10.52122705	0.000767612	0.462838808	-0.296520192
NA	1.5623831	1.5623831	8.345310419	0.001726507	0.462838808	-0.7278387
NA	-1.274439233	-1.274439233	-13.535953	0.000314399	0.462838808	0.057861269
NA	-1.2631312	-1.2631312	-10.24470051	0.000843071	0.462838808	-0.340854216
XLOC_006883	0.816059277	0.816059277	8.076506824	0.001933939	0.462838808	-0.797032691
XLOC_013837	-0.843149537	-0.843149537	-8.375583068	0.001704946	0.462838808	-0.720309045
NA	0.823632857	0.823632857	8.930625146	0.001363773	0.462838808	-0.590991752
XLOC_002749	-1.4373413	-1.4373413	-10.0491747	0.000902174	0.462838808	-0.373777783
KLK11	-0.7847863	-0.7847863	-7.896290025	0.002090861	0.462838808	-0.845878992
ACOX2	0.927120637	0.927120637	10.75195122	0.000711104	0.462838808	-0.261412013
CXCR4	1.091329367	1.091329367	12.27530297	0.000445001	0.462838808	-0.066064979
RAMP3	-0.941108667	-0.941108667	-8.328807327	0.001738406	0.462838808	-0.73196539
ANXA3	-0.89468935	-0.89468935	-9.991900952	0.000920476	0.462838808	-0.383680426
LGI1	-0.85062091	-0.85062091	-8.646094083	0.001526625	0.462838808	-0.655269477
ADM	0.741873217	0.741873217	7.803232855	0.002178199	0.462838808	-0.871912295
SOCS2	-0.70006328	-0.70006328	-8.582722673	0.001566197	0.462838808	-0.670151679
CAV1	-1.189937067	-1.189937067	-12.04877139	0.000475388	0.462838808	-0.091580957
CSGALNACT1	1.119195233	1.119195233	9.897727072	0.000951605	0.462838808	-0.40022556
FGB	1.283230133	1.283230133	12.25142208	0.000448086	0.462838808	-0.068703438
CYP26A1	0.848910977	0.848910977	10.23901409	0.000844719	0.462838808	-0.341792846
EVL	-0.7628692	-0.7628692	-8.558563137	0.001581625	0.462838808	-0.675881467
PKIB	-0.87263696	-0.87263696	-10.01470475	0.000913133	0.462838808	-0.379723326
GOLM1	0.800037083	0.800037083	8.414449309	0.001677761	0.462838808	-0.710717597
NEB	-1.0449421	-1.0449421	-10.41887991	0.000794501	0.462838808	-0.312634077
HMCN1	-1.078292267	-1.078292267	-12.83323559	0.000380035	0.462838808	-0.007666677
CYTH4	0.739014667	0.739014667	8.295976336	0.001762388	0.462838808	-0.740221262
LGALS1	-0.795302543	-0.795302543	-8.495583796	0.001622756	0.462838808	-0.690965623
GDF9	-1.114707147	-1.114707147	-8.531109842	0.00159939	0.462838808	-0.682430426
RBM24	-0.75968238	-0.75968238	-8.985822339	0.00133477	0.462838808	-0.578986692
DHX57	0.90611472	0.90611472	11.00856897	0.000654311	0.462838808	-0.224250068
ADCY8	1.707276767	1.707276767	12.96711166	0.000366274	0.462838808	0.00547049
BMP5	-0.74952968	-0.74952968	-8.873895637	0.001394418	0.462838808	-0.603484129
LRP8	0.955749943	0.955749943	10.45770775	0.000784161	0.462838808	-0.306480825
SCARB1	0.798744847	0.798744847	9.888394791	0.000954762	0.462838808	-0.401883145
NDRG1	1.690360967	1.690360967	20.272622	7.41E-05	0.462838808	0.415893871
ABCC3	0.85332458	0.85332458	10.34735047	0.000814006	0.462838808	-0.324099851
EPAS1	0.80300142	0.80300142	9.96435632	0.000929445	0.462838808	-0.388485642
DKK1	-1.030998947	-1.030998947	-10.59054798	0.000750053	0.462838808	-0.285797217
OR51D1	1.2739289	1.2739289	13.07703338	0.000355446	0.462838808	0.016019061
CMTM7	0.86736865	0.86736865	8.414214983	0.001677923	0.462838808	-0.710775171
FAM162A	0.713890883	0.713890883	7.993840808	0.002004002	0.462838808	-0.819185975
AKR1C1	0.977687467	0.977687467	11.01095733	0.00065381	0.462838808	-0.223913153
ZBP1	0.626340887	0.626340887	7.774069001	0.002206516	0.462838808	-0.880187915
SOX9	1.0754995	1.0754995	10.28553819	0.000831353	0.462838808	-0.334145898
SERPINA3	1.02596712	1.02596712	12.05916413	0.000473937	0.462838808	-0.090386106
GPX2	0.931234313	0.931234313	11.40463391	0.000577481	0.462838808	-0.170517632
GPR112	-1.572544967	-1.572544967	-16.62843307	0.000150824	0.462838808	0.268201992
STMN4	0.8123106	0.8123106	8.280682952	0.001773702	0.462838808	-0.744088189
GPRC5B	1.486275033	1.486275033	12.68022968	0.000396579	0.462838808	-0.02308293
STARD4	-1.091646833	-1.091646833	-8.442231726	0.001658664	0.462838808	-0.703913113
RASGRF1	1.0922892	1.0922892	8.208881087	0.001828068	0.462838808	-0.762425069
DHRS3	0.73088219	0.73088219	8.580809562	0.001567412	0.462838808	-0.670604265
RIMS1	-0.823551147	-0.823551147	-8.843968632	0.001410937	0.462838808	-0.610138061
NLRP8	-0.695162703	-0.695162703	-7.993333028	0.002004442	0.462838808	-0.819323364
CACNA2D4	0.820906	0.820906	8.916899585	0.001371109	0.462838808	-0.593999843
MS4A6A	-1.360070667	-1.360070667	-7.85755044	0.002126672	0.462838808	-0.856648168
KRT86	-0.959732167	-0.959732167	-11.44054733	0.000571095	0.462838808	-0.165850802
HOXA13	1.232285567	1.232285567	12.82750408	0.000380639	0.462838808	-0.008236348
ABCC13	-1.532789	-1.532789	-7.874865326	0.002110571	0.462838808	-0.851822832
LINC00174	-0.842774533	-0.842774533	-8.379598395	0.001702111	0.462838808	-0.719314211
ACTG2	-1.580558133	-1.580558133	-16.17643273	0.000166452	0.462838808	0.243679453
GPR133	-1.323764733	-1.323764733	-16.33238244	0.000160837	0.462838808	0.252336746
RPL27A	-0.85866392	-0.85866392	-8.403404203	0.00168543	0.462838808	-0.713434711
GLA	0.7003489	0.7003489	7.796863153	0.002184344	0.462838808	-0.873714977
LDHA	0.933239633	0.933239633	11.23661487	0.000608593	0.462838808	-0.192796263
OTX2	0.90963202	0.90963202	9.807667784	0.000982633	0.462838808	-0.416359573
EFEMP1	-1.644604	-1.644604	-18.34535106	0.00010607	0.462838808	0.347406642
AQP6	-1.2562161	-1.2562161	-9.205375494	0.001226855	0.462838808	-0.53265622
NAALADL1	0.716491413	0.716491413	7.832574755	0.002150171	0.462838808	-0.863642762
LDHD	-0.825561357	-0.825561357	-8.784534029	0.001444482	0.462838808	-0.62348489
CDH18	-0.953814067	-0.953814067	-8.667191388	0.001513732	0.462838808	-0.650361813
MAOB	-1.320153967	-1.320153967	-11.92253544	0.000493468	0.462838808	-0.106285668
TAGLN	-0.77327065	-0.77327065	-7.763923284	0.002216476	0.462838808	-0.883080128
ANXA1	-1.2587765	-1.2587765	-14.50890865	0.000245505	0.462838808	0.136105323
C13orf15	0.704051693	0.704051693	7.852381271	0.002131509	0.462838808	-0.85809249
DHX57	0.85300065	0.85300065	8.84755094	0.001408946	0.462838808	-0.609339239
CAV1	-0.740865653	-0.740865653	-8.296713383	0.001761845	0.462838808	-0.740035241
WFDC2	1.232437533	1.232437533	10.00342145	0.000916757	0.462838808	-0.381678917
PCSK1	0.854278217	0.854278217	8.419567001	0.001674222	0.462838808	-0.709460944
LOC100129502	-1.573994167	-1.573994167	-8.194163791	0.00183947	0.462838808	-0.766220959
PDK4	0.810776813	0.810776813	7.815498668	0.002166427	0.462838808	-0.868448496
NUPR1	-0.77956042	-0.77956042	-7.88914468	0.002097409	0.462838808	-0.847858033
TMEM123	0.866653337	0.866653337	10.29978715	0.000827312	0.462838808	-0.331818632
KCNJ5	1.033169943	1.033169943	10.92258939	0.000672676	0.462838808	-0.236487209
CEACAM1	1.3245545	1.3245545	12.97956194	0.000365027	0.462838808	0.006675929
STEAP1	1.252178367	1.252178367	9.152047162	0.001252019	0.462838808	-0.543704912
ETS1	0.810780087	0.810780087	8.499425117	0.001620209	0.462838808	-0.690039431
SNHG1	-0.982847453	-0.982847453	-11.95043577	0.000489398	0.462838808	-0.103004962
MALL	0.752203357	0.752203357	9.188151235	0.001234912	0.462838808	-0.536210677
EFNB3	0.679184883	0.679184883	7.861456289	0.002123027	0.462838808	-0.855557983
ACVRL1	0.873990713	0.873990713	9.559262444	0.001075126	0.462838808	-0.462501485
PRINS	1.447852467	1.447852467	10.68491869	0.000726961	0.462838808	-0.271442012
AK4	0.831115653	0.831115653	9.796589038	0.000986538	0.462838808	-0.418365729
SCN2B	1.6203882	1.6203882	9.354415368	0.001159845	0.462838808	-0.502452002
USHBP1	1.090892467	1.090892467	10.23291775	0.000846491	0.462838808	-0.342800376
TMEM56	-1.1524211	-1.1524211	-8.045935516	0.001959483	0.462838808	-0.805176136
LOH12CR2	-1.4742787	-1.4742787	-13.10572798	0.000352686	0.462838808	0.018738133
LOC100288911	-0.96170951	-0.96170951	-8.35818214	0.001717297	0.462838808	-0.724630803
