Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
NA	-0.715474023	-0.715474023	-9.093223813	0.001353943	0.05302873	-0.137074254
XLOC_007052	-0.766458287	-0.766458287	-9.74463293	0.001065856	0.05302873	0.119384933
XLOC_001537	-2.2977344	-2.2977344	-27.84509872	2.63E-05	0.05302873	3.104046776
XLOC_000787	0.80050904	0.80050904	9.444513714	0.001187773	0.05302873	0.003920241
XLOC_000787	0.9955436	0.9955436	12.51012567	0.000445992	0.05302873	1.003924954
XLOC_001512	1.202857057	1.202857057	8.886075664	0.001465891	0.05302873	-0.223325694
XLOC_002997	1.013906833	1.013906833	11.98810355	0.000517822	0.05302873	0.858514189
NA	1.0579578	1.0579578	10.25449109	0.000892964	0.05302873	0.305691609
NA	-1.268399033	-1.268399033	-11.78189708	0.000550237	0.05302873	0.79860131
XLOC_010813	1.296674167	1.296674167	12.15867612	0.000492828	0.05302873	0.906996303
NA	1.469436667	1.469436667	13.2685099	0.000362753	0.05302873	1.200318453
NA	0.993759567	0.993759567	11.52339113	0.000594618	0.05302873	0.721412173
XLOC_008823	2.395194533	2.395194533	24.08102535	4.40E-05	0.05302873	2.823649829
NA	-0.813552663	-0.813552663	-9.391583027	0.001211084	0.05302873	-0.016912404
NA	-0.816497677	-0.816497677	-10.38830505	0.000853609	0.05302873	0.35264264
XLOC_009474	-1.4508207	-1.4508207	-10.66352652	0.000779361	0.05302873	0.446794697
NA	-1.836653533	-1.836653533	-19.95744943	8.58E-05	0.05302873	2.391912565
NA	-1.213251667	-1.213251667	-11.41101504	0.000615332	0.05302873	0.687113202
NA	-0.983612417	-0.983612417	-11.29763123	0.000637172	0.05302873	0.652038138
XLOC_000787	0.98666697	0.98666697	11.72246959	0.000560055	0.05302873	0.78106416
XLOC_001537	-3.2270643	-3.2270643	-21.43650126	6.66E-05	0.05302873	2.565449988
NA	-1.229935967	-1.229935967	-15.19765858	0.000224936	0.05302873	1.631745272
NA	-1.807722967	-1.807722967	-11.82241393	0.000543668	0.05302873	0.810487888
NA	0.924905153	0.924905153	9.481607576	0.001171777	0.05302873	0.018434718
NA	-0.801549743	-0.801549743	-9.92572573	0.000999936	0.05302873	0.186938603
NA	-0.938217933	-0.938217933	-9.898511241	0.001009504	0.05302873	0.176885802
NA	0.86080584	0.86080584	10.84998496	0.000733688	0.05302873	0.508794968
NA	-1.769570467	-1.769570467	-13.23874051	0.000365627	0.05302873	1.19292124
NA	-1.5187183	-1.5187183	-14.77319426	0.000248562	0.05302873	1.544363368
XLOC_000787	0.890943343	0.890943343	9.38047813	0.001216048	0.05302873	-0.021301329
ZNF598	0.8340883	0.8340883	10.20414564	0.000908367	0.05302873	0.287823
TCEB2	0.76442692	0.76442692	9.434323629	0.001192216	0.05302873	-7.93E-05
PMP22	-3.077697433	-3.077697433	-39.07019129	7.86E-06	0.05302873	3.58927122
ZNF285	-0.958667353	-0.958667353	-9.172194242	0.001314135	0.05302873	-0.10481038
ATG4D	0.76066945	0.76066945	9.430388081	0.001193938	0.05302873	-0.001625371
CCDC130	0.930385957	0.930385957	11.82488963	0.00054327	0.05302873	0.811212364
KLK11	3.171993733	3.171993733	32.77783549	1.47E-05	0.05302873	3.365489533
ZFP36L2	0.918455693	0.918455693	10.90356737	0.000721196	0.05302873	0.526352494
MSH6	-0.876726067	-0.876726067	-9.928017569	0.000999135	0.05302873	0.187783605
SMOX	1.133538133	1.133538133	14.41955596	0.000270713	0.05302873	1.468482889
PNRC2	-1.038526017	-1.038526017	-9.923352767	0.001000765	0.05302873	0.186063431
TMEM59	-0.711786983	-0.711786983	-8.929560373	0.001441443	0.05302873	-0.205022319
