Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
SPANXA1	5.539565067	5.539565067	52.26642517	1.51E-06	0.076616207	3.662228438
XLOC_001537	-3.499376433	-3.499376433	-27.13422324	1.79E-05	0.089701979	3.035195547
PMP22	-3.054462733	-3.054462733	-32.08619606	9.52E-06	0.089701979	3.260025033
KLK11	3.3217054	3.3217054	22.73157774	3.48E-05	0.089701979	2.735841412
AUTS2	-2.077796767	-2.077796767	-21.48765418	4.31E-05	0.089701979	2.626315189
S100A14	2.901212367	2.901212367	23.96034325	2.86E-05	0.089701979	2.831912152
SEMA3B	2.1279068	2.1279068	21.99942533	3.94E-05	0.089701979	2.672991274
RCN1	-2.148095333	-2.148095333	-22.47561995	3.64E-05	0.089701979	2.714373858
EPAS1	-2.0907542	-2.0907542	-21.34514209	4.41E-05	0.089701979	2.612892213
AREG	3.628486233	3.628486233	29.59685398	1.29E-05	0.089701979	3.158384055
DHRS3	-2.0170452	-2.0170452	-21.33834647	4.42E-05	0.089701979	2.612247392
CDH26	2.721129267	2.721129267	26.64133191	1.92E-05	0.089701979	3.007273467
BTG3	-2.1696574	-2.1696574	-22.00059582	3.94E-05	0.089701979	2.673095364
STEAP1	-3.967710367	-3.967710367	-36.02067669	6.16E-06	0.089701979	3.385781167
SCD	2.302231167	2.302231167	21.40478275	4.37E-05	0.089701979	2.618532758
SEMA3D	-2.140965067	-2.140965067	-21.83863117	4.05E-05	0.089701979	2.658578205
TCIRG1	2.089466067	2.089466067	21.69131539	4.16E-05	0.089701979	2.645172179
SPANXB2	2.682203767	2.682203767	26.64429314	1.92E-05	0.089701979	3.007444831
LXN	-3.1879726	-3.1879726	-28.77250432	1.44E-05	0.089701979	3.119950254
ANG	-2.188608267	-2.188608267	-22.79251246	3.45E-05	0.089701979	2.740874672
NAB2	2.126556567	2.126556567	21.97141319	3.96E-05	0.089701979	2.67049665
FOXI1	3.180175267	3.180175267	26.48406401	1.96E-05	0.089701979	2.998108254
C10orf81	-3.481051367	-3.481051367	-22.88729853	3.40E-05	0.089701979	2.748645869
MGP	2.0569338	2.0569338	22.26949624	3.76E-05	0.089701979	2.696695945
NA	2.681437767	2.681437767	25.05149495	2.42E-05	0.089701979	2.908455249
XLOC_001537	-2.232475833	-2.232475833	-18.99641327	6.84E-05	0.094331393	2.361362394
GOLM1	-2.303659933	-2.303659933	-19.46068244	6.24E-05	0.094331393	2.416015475
BPIFB1	-3.7955461	-3.7955461	-17.74234467	8.83E-05	0.094331393	2.199553828
BMP5	2.181791167	2.181791167	18.88535973	6.99E-05	0.094331393	2.347889781
CALHM2	1.7158902	1.7158902	18.17640273	8.07E-05	0.094331393	2.258035964
MGP	2.069025	2.069025	19.32801125	6.41E-05	0.094331393	2.400667497
BASP1	2.1095637	2.1095637	17.69231753	8.92E-05	0.094331393	2.192635007
KRT86	2.185197333	2.185197333	19.85285913	5.79E-05	0.094331393	2.460167224
KLK8	1.700887933	1.700887933	17.71469985	8.88E-05	0.094331393	2.195735166
