Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
NA	-4.332206987	7.606798481	-37.22230413	7.09E-11	3.50E-06	12.90577776
LAMA1	-3.55871974	6.59377158	-27.47869995	9.68E-10	2.39E-05	11.6268144
ARHGAP28	-2.373402867	6.120704444	-22.33037915	5.72E-09	7.86E-05	10.50992088
ANTXR1	2.022924873	6.141427627	22.05146252	6.37E-09	7.86E-05	10.43619128
HPGD	-2.362386537	4.683218778	-18.9749971	2.29E-08	0.000179084	9.505287279
MAF	-2.225934747	6.274376037	-18.79810175	2.48E-08	0.000179084	9.444384615
MCCC2	-2.020845828	9.915088412	-18.46918242	2.88E-08	0.000179084	9.328740185
SEMA6D	-2.83595177	6.780127413	-18.26062299	3.17E-08	0.000179084	9.253753823
IGF1R	-1.874871977	6.180903545	-18.19924341	3.26E-08	0.000179084	9.231434727
TNFAIP8	-1.677839387	7.198916556	-17.83411132	3.87E-08	0.000191368	9.096256803
FAM65B	-1.586728584	6.446818345	-17.05905176	5.64E-08	0.00025334	8.795057204
ABCC4	-1.89020235	5.802908522	-16.23884626	8.55E-08	0.000345288	8.453643815
NA	1.354577113	9.379675336	16.12183916	9.09E-08	0.000345288	8.402916834
KLK2	-2.040911604	7.012400946	-15.79836706	1.08E-07	0.000362939	8.259925931
PIK3R3	1.29519002	10.06556842	15.68191258	1.15E-07	0.000362939	8.207436116
TMPO	-1.38080835	7.334033578	-15.51742196	1.25E-07	0.000362939	8.132361691
KLK2	-2.549767391	9.901059218	-15.44266822	1.31E-07	0.000362939	8.097877603
C6orf52	1.306790792	8.318573028	15.36517187	1.36E-07	0.000362939	8.061883895
HPGD	-1.525921435	4.968496886	-15.14996444	1.53E-07	0.000362939	7.960605646
INPP4B	-1.874566288	5.78090583	-15.12000763	1.56E-07	0.000362939	7.946351483
LAMC1	-1.295472653	10.07520951	-15.05731227	1.61E-07	0.000362939	7.916394457
PMEPA1	-1.960157403	9.279253039	-14.97363568	1.69E-07	0.000362939	7.876146679
KLK2	-2.314907484	9.612635972	-14.77090812	1.90E-07	0.000362939	7.77736026
SLC1A1	1.382719486	6.936388534	14.76869133	1.90E-07	0.000362939	7.776269951
HOMER2	-1.624634104	7.130805565	-14.6846414	1.99E-07	0.000362939	7.734767685
SLC16A6	-1.49298487	7.960986708	-14.64062868	2.04E-07	0.000362939	7.71290768
TRPM8	-3.243143485	6.717488147	-14.58447043	2.11E-07	0.000362939	7.684887255
CENPN	-1.862632551	8.404534514	-14.56340705	2.13E-07	0.000362939	7.674340386
CCDC92	1.345773338	7.604001854	14.52777961	2.18E-07	0.000362939	7.656454588
