Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
NA	2.27363785	7.862399461	30.04800952	3.21E-08	0.001723025	7.996403641
SULT2B1	1.816216592	9.182637764	21.16602628	3.07E-07	0.003053456	6.829805992
ABHD4	2.110711496	6.617822822	20.80063946	3.43E-07	0.003053456	6.760469178
GPAT3	1.725526295	8.267395833	20.12646554	4.24E-07	0.003053456	6.626384946
TRAM2	1.293707364	8.825504022	19.50362641	5.18E-07	0.003053456	6.494965217
SLC22A3	1.782437761	6.680570415	19.47541648	5.23E-07	0.003053456	6.488832621
RBP4	1.974490927	7.234352583	19.38113093	5.40E-07	0.003053456	6.468219151
ATG4A	1.164213811	7.608775893	19.12122529	5.88E-07	0.003053456	6.410453407
TMC7	1.268679734	8.452533299	18.97329967	6.18E-07	0.003053456	6.37694592
PHKA1	1.375054383	8.288394358	18.82550364	6.50E-07	0.003053456	6.343001501
TBC1D2	1.21009906	8.113658566	18.79115518	6.58E-07	0.003053456	6.335045064
EMP3	1.598944864	7.109469827	18.6793782	6.83E-07	0.003053456	6.308974673
VSIG10L	1.727174742	9.661170759	17.99740795	8.67E-07	0.003207683	6.143804261
CDCP1	1.258976285	9.398670458	17.82377241	9.22E-07	0.003207683	6.100008686
SEC24D	1.617445146	8.079762078	17.80782907	9.27E-07	0.003207683	6.095950679
SLC7A11	1.51120611	11.25232909	17.62839575	9.89E-07	0.003207683	6.049848606
EPAS1	1.672664676	7.861952644	17.51226805	1.03E-06	0.003207683	6.019584003
PORCN	1.079468885	6.930185219	17.39557091	1.08E-06	0.003207683	5.988826801
NA	1.823571596	9.557444262	16.99360417	1.25E-06	0.0035273	5.880173383
SLC16A4	2.130097318	7.169885573	16.67177287	1.41E-06	0.003784977	5.790049366
DAB2	1.496460024	5.042548018	16.17048444	1.71E-06	0.00431425	5.643840521
ABHD3	1.044476139	7.476713221	16.04710987	1.80E-06	0.00431425	5.606724322
LAMC2	1.625953657	7.730830546	15.93426438	1.88E-06	0.00431425	5.572372096
ZNF185	1.419969755	8.293752877	15.87081048	1.93E-06	0.00431425	5.552884071
EHD2	1.176301328	9.148218354	15.58540382	2.17E-06	0.004464189	5.463673503
DHRS9	2.570785414	6.356296892	15.56306458	2.19E-06	0.004464189	5.456581718
FAM114A1	1.659396023	7.542410133	15.41805828	2.32E-06	0.004464189	5.410155605
CFTR	-1.968156476	8.027957837	-15.39927637	2.34E-06	0.004464189	5.404092112
LAT	1.008038622	7.62682851	15.31244355	2.42E-06	0.004464189	5.375908139
ME1	0.979330897	10.37317298	15.1993949	2.54E-06	0.004464189	5.338839253
MAOB	2.101671495	7.096278674	15.11944392	2.63E-06	0.004464189	5.312363433
MLPH	1.028655163	7.807630568	15.08612508	2.66E-06	0.004464189	5.301265736
NTSR1	0.930997886	10.24865465	14.62829799	3.24E-06	0.005069346	5.14485823
NA	0.980964053	9.827124127	14.59770642	3.28E-06	0.005069346	5.134141081
AQP5	-1.151322617	8.43073198	-14.57866123	3.31E-06	0.005069346	5.127451771
