Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
MT1G	6.097819139	8.275810484	51.28053458	1.26E-09	6.75E-05	11.54935466
CDK1	-2.200959057	7.486091994	-38.70039015	7.62E-09	0.000101541	10.56587369
CENPI	-2.369003056	7.362683834	-35.00001569	1.45E-08	0.000101541	10.14516454
KIF11	-2.369301752	9.358347428	-34.58375829	1.56E-08	0.000101541	10.09270009
MELK	-2.176796095	7.700951491	-34.26377994	1.66E-08	0.000101541	10.05159536
LGR5	-2.986588841	6.61961684	-34.01564769	1.74E-08	0.000101541	10.01924625
ZWINT	-1.964254144	7.210139048	-33.8128337	1.80E-08	0.000101541	9.99249271
TOP2A	-2.440527606	9.858566094	-33.64137568	1.86E-08	0.000101541	9.969653056
LOC645553	4.616431417	7.955911271	33.62337934	1.87E-08	0.000101541	9.967243877
OIP5	-2.385479079	6.542002373	-33.39165381	1.95E-08	0.000101541	9.936018582
NDRG1	2.578548595	7.347608471	31.90913595	2.61E-08	0.000101541	9.726931785
MT1H	5.262003108	5.944626596	31.4596883	2.86E-08	0.000101541	9.66020361
HMOX1	2.962142534	8.79983078	30.85933348	3.23E-08	0.000101541	9.568504391
ASNS	2.115788056	8.171412844	30.63895013	3.38E-08	0.000101541	9.534084532
GPAT3	2.381668571	8.595466971	30.60898803	3.40E-08	0.000101541	9.529372941
TRIP13	-1.958312833	8.257301354	-30.32511882	3.61E-08	0.000101541	9.484348571
NA	3.470268634	8.070110035	29.85781836	3.99E-08	0.000101541	9.408683642
SCEL	2.106636769	8.563078686	29.72774184	4.10E-08	0.000101541	9.387272297
SLC12A2	-1.950218808	10.27905732	-29.44951773	4.35E-08	0.000101541	9.340953561
HJURP	-1.713632126	8.161026813	-29.04577849	4.75E-08	0.000101541	9.272450783
NUSAP1	-2.410096961	9.650771393	-28.7673298	5.06E-08	0.000101541	9.224296929
SRXN1	2.412050984	9.658037885	28.73950266	5.09E-08	0.000101541	9.21944312
SLC7A11	2.017990317	11.50572119	28.69566661	5.14E-08	0.000101541	9.211781504
