"Symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
NA	1.43279968915425	6.41298676903426	13.8909646857117	3.90591355013745e-08	0.00210772584765262	2.66261737721935
"DEPTOR"	2.43184197068288	9.08845399950114	12.981952976912	7.71001681811659e-08	0.00210772584765262	2.53369816194969
"ALPP"	1.94379889734566	6.80430667571285	12.3328121934907	1.2866958469434e-07	0.00234500318105435	2.42737047573153
"TGFA"	1.65175309797659	8.99278224649373	11.8789607167756	1.86723096653955e-07	0.00255227132738875	2.3447744852318
"HES2"	1.37938073820136	8.5712328532546	10.9840001554444	4.04100806835629e-07	0.0044188423227476	2.15849695930907
"CAPS"	1.10166004496844	8.61011849924393	10.7031135913382	5.20657236186123e-07	0.00474448906474605	2.09271699762337
"CAPS"	0.931708387110914	11.1075679661359	10.2692403451961	7.78836890524323e-07	0.00608327242705962	1.98326443506381
"CA2"	1.0231715925254	8.51102195505113	8.76193867020729	3.5513490795042e-06	0.0242712513652365	1.51320530483023
"IL6R"	0.884126186001826	6.88408523850837	8.60080302240623	4.22726641723736e-06	0.0256806434847169	1.45308828612014
"NRTN"	1.18826130842243	7.67445173020868	8.22787799591139	6.38919429129011e-06	0.029597367512059	1.30528520017278
NA	0.893678095349381	8.77823471941881	8.14511535614326	7.01600291883408e-06	0.029597367512059	1.27075290545138
"IL6R"	1.22591002980605	5.79728128075435	8.14332842180645	7.03024907074731e-06	0.029597367512059	1.27000011009127
"CAPS"	1.00383781258332	10.1313717512868	8.1424422465682	7.03732560872002e-06	0.029597367512059	1.26962667053455
"ESPN"	1.0785839118804	8.07264013232146	7.85549526402358	9.79009279291377e-06	0.0338597606727996	1.14463853780535
"PIPOX"	1.07518698556402	7.38537483361486	7.84689042233564	9.88884758301909e-06	0.0338597606727996	1.14076204638999
"INHBE"	0.771297148204773	6.84012940383957	7.83453353718089	1.00325497687032e-05	0.0338597606727996	1.13518183603442
"NRP1"	1.12246175350888	5.81835905660177	7.79335392897703	1.05279548502532e-05	0.0338597606727996	1.1164708455357
"CA12"	0.836738522213761	8.80673889608099	7.61824742465043	1.29498142571656e-05	0.0379225831045573	1.03489630047496
NA	1.10111209244647	9.1795227543141	7.60358041312716	1.31784010788585e-05	0.0379225831045573	1.02791294686279
"DOK7"	0.699898659337704	8.33148589731855	7.28085447217808	1.94883333317883e-05	0.0532762312457761	0.868106339777101
NA	1.29917626215492	4.12870623260179	7.16317514808716	2.25447466583166e-05	0.0586968582639742	0.806796633606971
"ANO1"	1.65982546286959	5.12657305416803	7.12487509529564	2.36478799596655e-05	0.0587703562179415	0.786478808960402
"RBBP8"	0.636455403231849	10.7322006434024	6.99264414163483	2.7926219273063e-05	0.0663854799458574	0.714925960219484
"TGFA"	0.940951597123758	7.15947796353515	6.84571458458645	3.36783310583738e-05	0.0767234479423578	0.632797707346501
"GSAP"	0.745421931560831	8.71316262667387	6.78588553149874	3.63751567592442e-05	0.0795524678324671	0.598543604314426
"MXRA5"	-0.588247448247301	9.10071456922163	-6.74298791576444	3.84513705330304e-05	0.0808587955343629	0.573688481552201
"CA12"	0.679712547701246	8.28471851259792	6.68765405414224	4.13196478133809e-05	0.0836722868220963	0.541259657439792
"PGR"	0.645613744418377	5.7724290601035	6.58260976157097	4.74172953753443e-05	0.092590736594534	0.478539186600086
"TGFA"	0.725700328405841	7.0118595510622	6.55468618806554	4.91961811426092e-05	0.0927517656542124	0.461607467588091
"ATP2C1"	0.840994459272268	7.47895845958444	6.49468374068963	5.32658510371325e-05	0.097077013515174	0.424851189058368
"ESPN"	0.856412538014309	8.92648303847682	6.44337582437072	5.70329494323451e-05	0.100589564845596	0.393012824781525
"FGFR2"	-0.710158384248302	8.81424897687435	-6.41565782791893	5.9186179490603e-05	0.101125136364022	0.375654691699704
"MLPH"	1.04896664494443	7.68911640263191	6.2855915622827	7.05228736817943e-05	0.107282838786056	0.292697854381415
"ELF3"	-0.577111428003819	6.85875338997627	-6.27321388164939	7.171725193471e-05	0.107282838786056	0.284672530174033
"CA12"	0.794571321178244	9.35571002597683	6.22265339331252	7.6826121511593e-05	0.107282838786056	0.251651343558185
"DHRS3"	0.80112439282137	9.27068918525207	6.21942834239665	7.71649721322803e-05	0.107282838786056	0.249531952944523
"FGFR2"	-0.638600147836851	9.27553463253945	-6.21823473199877	7.7290788614514e-05	0.107282838786056	0.248747154091728
"PLXDC2"	0.691637616653873	4.4470993907393	6.2113093650733	7.80251323844894e-05	0.107282838786056	0.244189459034486
"WNT2B"	0.611778467365658	5.25172569545987	6.20859258882057	7.83152498118638e-05	0.107282838786056	0.242399515944739
"EGR1"	0.809912145514017	9.58013233623129	6.19348432421116	7.9949856750769e-05	0.107282838786056	0.232424979952818
"FRZB"	-0.872580730102445	6.51495406518025	-6.18266131862376	8.1143290753155e-05	0.107282838786056	0.225258200578795
"GRAMD3"	0.601718292391981	6.30584276744218	6.17134063808535	8.24120572293435e-05	0.107282838786056	0.217742718102873
"PLXNA4"	-0.636638489765528	7.24622393528485	-6.10130299853383	9.0749524815304e-05	0.115241459249093	0.170808618970659
"PLXDC2"	0.605459133179634	5.07936509963253	6.08559195057088	9.2741183483495e-05	0.115241459249093	0.160175975436331
