"Symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"GDF15"	4.31962276847752	8.56484835513118	42.3487802288295	9.1358890291871e-14	4.99504732670805e-09	20.236713609467
"DNAJB9"	2.90317719854061	6.84689927970839	32.0980320300149	2.01728278209404e-12	4.43056421082504e-08	18.1630585347701
"INHBE"	3.72506742509026	8.48591916801487	31.4814749443	2.50373517681657e-12	4.43056421082504e-08	18.0024833716674
"EDN1"	-2.86764975552064	9.27888623231811	-30.7597271997113	3.2413821386923e-12	4.43056421082504e-08	17.8080206493996
"CYP1B1"	-3.77731908858431	7.70111659536587	-28.7752576917891	6.80557521942992e-12	6.35412637471616e-08	17.2345098193657
"EDN1"	-2.64337485203162	9.1365127307023	-28.5292607647498	7.4868463616473e-12	6.35412637471616e-08	17.159181705412
"SLFN5"	2.32501279938949	8.18023375589683	27.980949959564	9.28795213772215e-12	6.35412637471616e-08	16.9877025593853
"VANGL1"	-3.02226013205795	7.51366636179394	-27.9784143766322	9.29730425198523e-12	6.35412637471616e-08	16.9868978940628
"DDIT3"	3.20201003315406	10.3046211969726	27.5896423464011	1.08600699647666e-11	6.59749250359569e-08	16.862220754821
"FAM129A"	2.99318091257829	7.75891663171209	27.1833926344123	1.28037578576859e-11	6.85300328520176e-08	16.7291254752893
"HERPUD1"	2.58546069187636	11.5068053424299	26.9432698795047	1.41283732865255e-11	6.85300328520176e-08	16.649071604366
"DNAJB6"	-3.51082632768867	6.58757545196745	-26.7916854597077	1.50408851252713e-11	6.85300328520176e-08	16.597995394593
"DNAJB9"	2.19746111108408	9.41083753262902	25.7981137790728	2.28675923386178e-11	9.54841670316377e-08	16.2525180172693
"LAMP3"	3.19176411465809	7.22066025248442	25.6428225568453	2.44495352252936e-11	9.54841670316377e-08	16.1967910922686
"CHAC1"	2.78621894546663	9.5808003191185	25.4569476735713	2.65012878206383e-11	9.65971941062264e-08	16.1294539296455
"PHLDA1"	-3.13099660807637	6.34228405499269	-25.2020929001559	2.9624786333685e-11	1.00457600410356e-07	16.0359857145613
"SARS"	2.35208045446668	8.60900653908439	25.0818865901127	3.12351020937551e-11	1.00457600410356e-07	15.9914353365316
"CYP1B1"	-2.41227119743239	7.50887062327773	-24.7658570071443	3.59410872168946e-11	1.09171052421317e-07	15.8728644446354
"LOC728730"	2.81865758933525	7.09690951871044	24.4058234299939	4.22618857911462e-11	1.21614137138469e-07	15.7351806589443
"NPAS3"	-2.70246908199517	8.40076997016316	-23.9312704793905	5.25088935955949e-11	1.43546187866957e-07	15.5493421280537
"HIST1H2AC"	-2.34072340297868	7.96068948349718	-23.184926075011	7.45120494638464e-11	1.87072471930643e-07	15.2466215893538
"MXD1"	1.89293043867117	7.60278733858504	22.9369620694829	8.3901269497997e-11	1.87072471930643e-07	15.1431103292191
NA	2.91280314918236	8.51141826357651	22.9004044294441	8.53911215030813e-11	1.87072471930643e-07	15.1277223010595
NA	-3.68130537954508	6.02306399988407	-22.891157127676	8.57725225461811e-11	1.87072471930643e-07	15.123824658079
"CCDC71L"	-2.05565735182668	6.46906272825045	-22.8491293390523	8.75294301832302e-11	1.87072471930643e-07	15.1060837482844
"SRSF8"	-3.33460260026662	7.01979322886609	-22.7636593266582	9.12242740448694e-11	1.87072471930643e-07	15.0698697250692
"PCK2"	3.0024247459732	9.50051539800079	22.714618823519	9.34205796633562e-11	1.87072471930643e-07	15.0490088589925
"ASNS"	2.46219704313686	11.8038903770994	22.6628200438722	9.58030034578512e-11	1.87072471930643e-07	15.0269092738116
"GPR155"	2.10117928315226	5.20888258322891	22.40890773787	1.08477248964928e-10	2.04517020246809e-07	14.917598177326
"PEX13"	2.27465968351614	8.06624458645089	22.1930147385774	1.20693013006572e-10	2.17124196422146e-07	14.8233545144766
"NRG1"	2.2161492931091	8.59772903659092	22.1531759479195	1.23106540266786e-10	2.17124196422146e-07	14.8058313097798
"CSTA"	2.07674148276823	6.82625151782594	22.0294066246686	1.30945617166848e-10	2.23732863081169e-07	14.7511251568077
"CLGN"	2.27490608157076	8.07555780180075	21.7903262735128	1.47669086942854e-10	2.34986255278723e-07	14.6442998865039
NA	2.10358770639331	7.75607682492398	21.7813082459131	1.48343738185673e-10	2.34986255278723e-07	14.6402404727361
NA	-2.69631281924387	7.79266866297777	-21.7537587905239	1.50425586369553e-10	2.34986255278723e-07	14.6278256312159
"STAG1"	-1.94285418959056	7.92460391409224	-21.1832942939694	2.01523708523303e-10	3.01411757229349e-07	14.366065159986
"CYP1B1"	-3.08554151151716	7.82151311726664	-21.1600367402355	2.03973205623885e-10	3.01411757229349e-07	14.3552002934883
"NPAS3"	-2.37652751380117	8.10968366053566	-21.041079103772	2.17018479157799e-10	3.07934790929362e-07	14.2993875050832
"SOX6"	-2.59141179663829	7.41203879658113	-21.0180107376906	2.19651702720533e-10	3.07934790929362e-07	14.2885173098971
"CDH6"	-1.99754406141793	11.3536095672443	-20.9510836330021	2.27489843239344e-10	3.10950179477778e-07	14.256893365162
"TNS3"	-1.80830470120391	9.1210148915209	-20.7399567058001	2.54275199633077e-10	3.31713524870135e-07	14.1562799843378
"PDSS2"	2.02433319212289	7.12603741434575	20.7359598840404	2.54814230352916e-10	3.31713524870135e-07	14.1543626879093
"TNFRSF10B"	1.98700388401235	9.85716607412888	20.6625129353873	2.64943980384221e-10	3.36879351802495e-07	14.1190457938198
"HES6"	2.24425949195525	9.36612318343424	20.6069686441913	2.72895125336428e-10	3.39103204040209e-07	14.0922311574462
"SESN2"	2.09348689648701	9.32243894127897	20.5029491993937	2.88491993845896e-10	3.50517772522763e-07	14.0417668857357
"PLPP5"	2.03560689820112	10.5929285560163	20.413106904401	3.02744256555403e-10	3.59837874503623e-07	13.9979187597401
"COL4A3BP"	-1.75475973479525	9.28902733278087	-20.2810804148403	3.25095396025384e-10	3.78182782503997e-07	13.9330379207186
"MEOX1"	-3.82818253578879	7.33346161867998	-19.9110681010146	3.97867762821137e-10	4.53196248588451e-07	13.7483382363265
"PTK2"	2.82387808912655	6.4639143838384	19.8092625737154	4.20869891398293e-10	4.69613496167381e-07	13.6967652744953
"MAL"	-2.13828207382389	10.5700366751774	-19.7317666984365	4.39347670289223e-10	4.72343356855809e-07	13.6572853747524
"GADD45A"	2.26294182083847	10.587007904467	19.7198471797182	4.42267096393669e-10	4.72343356855809e-07	13.6511959251496
"SOX6"	-2.11329978205292	7.26066884346882	-19.6917455806088	4.49233736744437e-10	4.72343356855809e-07	13.6368212504132
"PHLDA1"	-3.63432473419687	7.95190580137464	-19.5289196535678	4.92020714554004e-10	5.07570425815852e-07	13.5530279152072
"NEDD9"	-1.71125757661843	9.42510712281701	-19.3778445057262	5.35701710190483e-10	5.42397981567864e-07	13.4745054323728
"AREG"	1.8806831157175	5.25163044487344	19.2968587155151	5.60837927834712e-10	5.5055383907435e-07	13.4321011435569
"WNT5A"	-1.95702645465223	6.65228457690318	-19.2872758238047	5.63896021731387e-10	5.5055383907435e-07	13.427069046163
"ATF3"	3.30275579008239	9.65128668049194	19.2368034137486	5.80304638140364e-10	5.53509339413506e-07	13.4005145615319
"KCNJ16"	-2.77804272947872	6.07546249419314	-19.1968356486036	5.93666255386671e-10	5.53509339413506e-07	13.3794260238242
"LARP1B"	1.74958443804342	8.62890323582385	19.1848598800032	5.97734671368683e-10	5.53509339413506e-07	13.3730966595035
"GTF3C4"	-1.77597224090569	7.48110283940922	-19.0966040611214	6.28667804979846e-10	5.53509339413506e-07	13.3263024562211
NA	-2.25357617527305	8.71779550021468	-19.0727346974204	6.37329633332056e-10	5.53509339413506e-07	13.3136011823949
"KIF20A"	-1.9817656398008	9.02545094008857	-19.0722196999715	6.37517941059314e-10	5.53509339413506e-07	13.3133269298329
"MICB"	1.9106271262221	8.85823493111685	19.0714799379773	6.377885392419e-10	5.53509339413506e-07	13.3129329671465
"FAM129A"	1.97384485410987	7.45310170663123	19.0134890065385	6.59394412476256e-10	5.63318585970927e-07	13.2819914895978
"LIX1"	-2.06003167634676	6.77946351180103	-18.9157120012988	6.97645712707828e-10	5.82607074705474e-07	13.2295602936485
"GSAP"	-3.25510138341327	6.73125840477302	-18.901792834136	7.03284260275469e-10	5.82607074705474e-07	13.2220695465557
"ZHX2"	-1.67262545159495	9.03107405166716	-18.7712626042319	7.58636704073086e-10	6.19081519331283e-07	13.1514954194743
"HIST1H2BC"	-2.54509087343038	6.59971209336187	-18.6903924632017	7.95293295614217e-10	6.39450896142755e-07	13.107471779208
"STAU2"	1.75124488117624	7.95158625580588	18.5521202663552	8.62504783169276e-10	6.77422250517568e-07	13.0316636051987
"SERPINI1"	1.52501161502036	6.88899018423406	18.5427087814186	8.6729872037e-10	6.77422250517568e-07	13.0264789539973
"ZC3H4"	-1.75059885810212	8.90916632829493	-18.4225383131021	9.31121688068525e-10	7.17029271762629e-07	12.9599989140948
"ZNF618"	-1.49341186944716	8.75185835373204	-18.3794345933739	9.55242661004395e-10	7.25387395700213e-07	12.9360261509484
"PRIMA1"	-2.06262831224195	8.90522508464906	-18.2054604197246	1.0597292949951e-09	7.84739943751038e-07	12.8385783027354
"SDPR"	-2.27424073631291	5.24883681561072	-18.2017197379913	1.06210801714818e-09	7.84739943751038e-07	12.8364708192622
"HSPA13"	1.69568155686699	10.3508002553641	18.1644345727073	1.08613742093062e-09	7.85297080931347e-07	12.8154362103885
"PALMD"	-1.95231379830666	6.75870392348287	-18.1561017215262	1.09158807774636e-09	7.85297080931347e-07	12.810728144851
"DCLK1"	-2.12335407911053	6.47925365122009	-18.1274565287814	1.11055315650435e-09	7.88564854959419e-07	12.7945239134521
"HSPA5"	1.76830439123207	8.39740325675714	18.0391505934396	1.17130526511572e-09	8.21039940643617e-07	12.7443776875524
"KLHL14"	-2.73813905550564	8.21666269527258	-17.9597464088214	1.22902305242202e-09	8.50592853052833e-07	12.6990365372619
"HOXA7"	-1.9657643829386	6.04769712667104	-17.9197014211707	1.25929675776027e-09	8.60650627881785e-07	12.6760797907095
"LZTS1"	-1.59015028795172	7.85275037203187	-17.8795550792751	1.29046175376109e-09	8.71061683788739e-07	12.6530038084335
"STAG1"	-2.16257545940674	8.59847771561602	-17.8542544523462	1.31053189253411e-09	8.71906810913848e-07	12.6384295455181
"CDH6"	-1.68114704974159	10.2205174263685	-17.8379959712907	1.32360796169821e-09	8.71906810913848e-07	12.6290510456162
"NMRAL1P1"	1.91890785034944	7.9179384917226	17.701724758712	1.43894485047312e-09	9.36355157154277e-07	12.5500454245639
"CDH6"	-2.41590367235616	8.76119764007969	-17.6640481793906	1.47272750463708e-09	9.36355157154277e-07	12.5280751044425
"PPP1R10"	-1.64842625151087	8.13315904514898	-17.6639440995711	1.47282201216768e-09	9.36355157154277e-07	12.5280143360223
"OSBPL6"	1.65135919702728	7.68579362798568	17.6280526346103	1.5058086481273e-09	9.46322848693792e-07	12.5070334480765
"SAT1"	1.65825440814132	11.3434471398191	17.5664157126896	1.5643443429939e-09	9.63074649261406e-07	12.4708852015243
"ADAMTS5"	-2.27498392069318	6.63667460690945	-17.5629651592735	1.56769353057641e-09	9.63074649261406e-07	12.4688571501814
"LIX1"	-1.72169955484658	8.01030282385292	-17.5332481788635	1.59686193173066e-09	9.70093623526375e-07	12.451371711244
"SLFN5"	1.66095552598085	7.45536021287006	17.476298756834	1.65442052358982e-09	9.94015847552457e-07	12.4177653951845
"GOSR2"	2.44655249509811	5.7688143432353	17.341603432704	1.79972431223161e-09	1.06329937134427e-06	12.3377678546095
"BRWD1"	1.49084045811183	8.05776865167243	17.3337356251259	1.80862993205335e-09	1.06329937134427e-06	12.333072623994
"SLC39A10"	-1.64961073088983	8.85788379176769	-17.279117984422	1.87178683071176e-09	1.07918631974622e-06	12.3004100745263
"GSAP"	-3.14534566143004	6.80616071556116	-17.2762833229647	1.87512940788096e-09	1.07918631974622e-06	12.2987116010999
"ADNP"	-1.64864597704714	7.7970831794773	-17.2594832405616	1.89507324615317e-09	1.07930343472317e-06	12.2886386550642
NA	-2.33801240884336	5.77708387571854	-17.2154180973548	1.9484869063854e-09	1.08341000614831e-06	12.2621638817999
"SLFN5"	2.57871418491798	8.15574288447235	17.2093362879944	1.95598646193663e-09	1.08341000614831e-06	12.2585036803762
"FAM117B"	-2.20225551216465	6.92735887727467	-17.2046955845788	1.96173005228501e-09	1.08341000614831e-06	12.2557097646613
"GFPT1"	1.58297071453902	8.84603338662697	17.0925411488762	2.10626008401819e-09	1.15159770093695e-06	12.1879202446422
"HIST1H2BK"	-1.72707782046488	10.2716196410483	-17.0674321089283	2.14017662869599e-09	1.1582371261893e-06	12.1726728951813
"WIPI1"	1.83712100803943	8.33658559770276	17.0505520300914	2.16331082277442e-09	1.1582371261893e-06	12.1624079339803
