Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
CEACAM6	3.351531318	7.241756431	27.95325287	2.70E-08	0.000601205	8.786690824
CEACAM6	2.99896485	7.826490193	22.93077023	1.03E-07	0.000957326	7.982377765
CEACAM5	2.693658127	4.812617283	22.1798671	1.29E-07	0.000957326	7.832981007
CEACAM7	2.629486092	3.498709503	20.31260115	2.33E-07	0.000976782	7.41958042
LGALS1	2.461937954	4.09593345	19.96466867	2.62E-07	0.000976782	7.335249945
CYP1A1	2.294286671	7.178763811	19.95068988	2.63E-07	0.000976782	7.331810143
ARG2	1.980239572	3.680782225	18.08040621	5.09E-07	0.00125207	6.832593618
ATF3	2.146381898	5.978768093	17.97198187	5.30E-07	0.00125207	6.801103648
UGT2B17	-2.408665734	4.686703531	-17.93276339	5.38E-07	0.00125207	6.789639379
PLAUR	1.957362175	4.914379676	17.77482662	5.71E-07	0.00125207	6.743069464
PCK1	3.169078624	5.785388777	17.35182194	6.71E-07	0.00125207	6.615092809
GPC5	-2.568043311	4.853483773	-17.33850466	6.74E-07	0.00125207	6.610985268
EMP1	1.885871452	6.049898835	17.03757998	7.58E-07	0.001299362	6.51685563
AKAP12	2.495375386	3.963159869	16.84368802	8.19E-07	0.001302497	6.454847673
EMP1	2.504978076	7.053648523	16.41104074	9.74E-07	0.001320106	6.312508669
ALDOB	-1.828716743	6.417402402	-16.38338257	9.85E-07	0.001320106	6.303217815
GBA3	-2.0114706	5.599234986	-16.19572626	1.06E-06	0.001320106	6.239557949
GPRC5A	1.819589262	6.766514759	16.18901184	1.07E-06	0.001320106	6.23725988
CD24	1.965389511	4.36128735	15.73310505	1.29E-06	0.001440528	6.077857836
TACSTD2	1.731341681	6.105602673	15.65505577	1.33E-06	0.001440528	6.049889959
APOH	-1.719893685	10.52976227	-15.55651799	1.39E-06	0.001440528	6.014289707
SI	-1.978584648	9.683182435	-15.50451503	1.42E-06	0.001440528	5.995369865
SPARC	1.874608254	4.185303429	15.16970536	1.65E-06	0.001573737	5.871333283
BTNL8	-1.76527515	6.384655296	-15.10105938	1.70E-06	0.001573737	5.845417432
CCND2	1.633905805	4.216108503	14.88346586	1.87E-06	0.001600542	5.762152053
S100P	2.160521113	7.045967123	14.68595454	2.04E-06	0.001600542	5.685071176
CPS1	-1.742400785	7.288352438	-14.67299539	2.05E-06	0.001600542	5.679962946
FHL2	1.980748813	5.131876254	14.54311753	2.18E-06	0.001600542	5.628417478
MGAM	-1.694830815	4.334512793	-14.5317637	2.19E-06	0.001600542	5.62388094
PDE10A	2.348121505	3.552980641	14.43107724	2.29E-06	0.001600542	5.583434144
FOS	-1.790636629	5.786781349	-14.41186141	2.31E-06	0.001600542	5.575670488
DUSP5	1.794102	6.357523977	14.3864416	2.34E-06	0.001600542	5.565378245
PI3	-1.601663964	7.764972373	-14.33861995	2.39E-06	0.001600542	5.545947453
SLC2A2	-2.291420548	5.724121229	-14.29297591	2.44E-06	0.001600542	5.527317912
ATRN	-1.75526748	7.012106898	-14.0902432	2.69E-06	0.001709213	5.443574487
GPRC5A	1.617951536	6.819576161	13.88451428	2.96E-06	0.001791623	5.356895178
KLF4	1.544210367	5.929785821	13.87348114	2.98E-06	0.001791623	5.352197421
FMO1	-1.564401422	4.025421705	-13.73456054	3.18E-06	0.001864592	5.292611975
CA2	-2.02849817	6.147394459	-13.23159931	4.07E-06	0.002260781	5.069950585
MYC	1.787029582	6.833527533	13.20282112	4.13E-06	0.002260781	5.056872244
PI3	-1.813944673	7.246537244	-13.06393055	4.43E-06	0.002260781	4.993223165
PSD3	-1.58637579	3.922458679	-13.06312154	4.43E-06	0.002260781	4.99284983
DIO1	-1.429606877	5.911499129	-13.04993224	4.46E-06	0.002260781	4.986759109
PON3	-1.749528615	7.677402433	-13.04675424	4.47E-06	0.002260781	4.985290329
COL2A1	-1.886869305	8.616430954	-12.91895014	4.76E-06	0.002329883	4.925834035
RARRES1	-1.58292122	4.731597862	-12.89222347	4.83E-06	0.002329883	4.913303766
IER3	2.29212279	6.752634145	12.83864874	4.96E-06	0.002329883	4.888084714
TFF2	-1.534575288	7.535701552	-12.76631945	5.15E-06	0.002329883	4.853820886
NA	1.568177607	7.662572573	12.7408871	5.22E-06	0.002329883	4.841713564
KRT20	2.104572074	6.233461257	12.73764659	5.23E-06	0.002329883	4.840168655
ARL14	1.469899565	5.524623055	12.56973786	5.71E-06	0.002492556	4.759421277
ID1	1.560796024	7.32385395	12.5323968	5.82E-06	0.002492909	4.741276312
SULT2A1	-1.403042336	5.815346938	-12.46040012	6.04E-06	0.002537811	4.706096178
ALDOB	-1.577703833	6.661000417	-12.42682886	6.15E-06	0.002537811	4.689603658
IL1B	-1.375877264	4.223005626	-12.27653035	6.66E-06	0.002685899	4.615069207
CEACAM1	1.34445334	7.54703597	12.25190898	6.75E-06	0.002685899	4.602749518
AREG	1.605904965	7.899377461	12.13984011	7.17E-06	0.002802744	4.54627871
CEACAM1	1.378605452	6.105449453	12.0391294	7.57E-06	0.002896443	4.494972075
C3orf52	1.661668029	5.660440782	11.99861399	7.74E-06	0.002896443	4.474180639
TP53TG1	-1.471066219	5.476112423	-11.98492981	7.80E-06	0.002896443	4.467138564
ATP5C1	1.814522673	5.856344226	11.9157401	8.10E-06	0.002959071	4.431379245
PRSS23	1.537737601	7.45594606	11.86199619	8.35E-06	0.002994163	4.40342502
CAV1	1.455514975	3.644666385	11.75507125	8.86E-06	0.002994163	4.347342179
SLC2A3	1.324862933	9.038917162	11.75087088	8.88E-06	0.002994163	4.345126267
AKR1D1	-1.625828182	5.962208023	-11.74676335	8.90E-06	0.002994163	4.342958396
GDF15	1.374573495	5.340413945	11.72214316	9.02E-06	0.002994163	4.329944826
NA	1.308194287	9.764723454	11.7021265	9.12E-06	0.002994163	4.31933985
CROT	-1.280907443	7.429297688	-11.69703962	9.15E-06	0.002994163	4.316641243
OCA2	-1.754886736	5.045092399	-11.65903547	9.34E-06	0.002994163	4.296434389
CEACAM1	1.356898484	6.715266573	11.64032461	9.44E-06	0.002994163	4.286456213
ANXA1	1.313670947	3.580090678	11.60448881	9.63E-06	0.002994163	4.267290877
AQP3	-1.346025624	7.961395136	-11.59658403	9.68E-06	0.002994163	4.263053614
ETFDH	-1.322601667	3.347587118	-11.54837463	9.94E-06	0.00303126	4.23713524
ATP8A1	-1.476783585	4.450767079	-11.52629077	1.01E-05	0.00303126	4.225218553
PMAIP1	1.385096586	3.29979823	11.49353571	1.03E-05	0.003046935	4.207492474
NA	-1.345944247	5.360591579	-11.43198823	1.06E-05	0.003114087	4.174018783
RBP4	-1.293010998	9.63961744	-11.3595714	1.11E-05	0.003196353	4.134353925
CYP3A5	1.408613449	6.038463728	11.34113022	1.12E-05	0.003196353	4.124204488
FABP6	-1.395711818	6.879634962	-11.28994695	1.15E-05	0.00324479	4.095930677
COL2A1	-2.085135398	7.88138691	-11.27113546	1.17E-05	0.00324479	4.085500496
MALT1	1.251827335	5.354049225	11.21384262	1.20E-05	0.003273085	4.053605231
NA	-2.631691956	4.419332461	-11.21020953	1.21E-05	0.003273085	4.051576108
ATP10D	-1.37370102	3.180781265	-11.15970228	1.24E-05	0.003273085	4.023285697
IGFBP6	1.60235604	5.244783039	11.15205671	1.25E-05	0.003273085	4.018989923
NA	1.322039084	9.765697582	11.13144517	1.26E-05	0.003273085	4.007391563
DENND1A	1.244106353	5.051511093	11.1161763	1.28E-05	0.003273085	3.99878311
DLGAP5	1.230537355	5.742318557	11.11207868	1.28E-05	0.003273085	3.996470516
CD24	1.26006385	6.990570222	11.02258109	1.35E-05	0.003410701	3.945706679
MAFF	1.505891136	6.644561912	10.94063828	1.41E-05	0.003472638	3.898798923
TRIM16	1.261160364	4.771672739	10.93709051	1.42E-05	0.003472638	3.896758677
NR2F2	-1.197104609	6.417405008	-10.93557838	1.42E-05	0.003472638	3.895888845
TRIB3	1.210706815	7.826770147	10.90235391	1.45E-05	0.003503482	3.87674121
UPB1	-1.245833069	8.257320951	-10.86424496	1.48E-05	0.003545547	3.85469406
MT1F	-1.606813341	6.996483018	-10.81881971	1.52E-05	0.00359651	3.828295539
FSCN1	1.281283269	4.262552557	10.80492702	1.53E-05	0.00359651	3.820196017
TM4SF1	1.549016381	8.341271436	10.78668191	1.55E-05	0.003598302	3.809540515
SDC2	-1.201911717	6.757243587	-10.72582229	1.61E-05	0.00365026	3.773844765
FGB	-1.268584457	10.14214967	-10.67774724	1.66E-05	0.00365026	3.745480525
PNLIPRP2	-1.227375179	5.322116559	-10.67156629	1.66E-05	0.00365026	3.741823018
LIPC	-1.669179505	6.701026884	-10.66886513	1.67E-05	0.00365026	3.740223864
PCLO	-1.199273639	3.603537026	-10.66244465	1.67E-05	0.00365026	3.736420904
PHLDA2	2.081312578	5.939144835	10.65441488	1.68E-05	0.00365026	3.731660991
NA	-1.284556563	6.261737452	-10.62253993	1.71E-05	0.00365026	3.712725
C2	-1.29288928	5.448239502	-10.60554376	1.73E-05	0.00365026	3.702601184
GATM	-1.295968945	7.662486277	-10.60382891	1.73E-05	0.00365026	3.701578687
ITIH2	-1.860636125	4.934719352	-10.59964559	1.74E-05	0.00365026	3.69908354
TPD52L1	-1.22369187	6.888812873	-10.58217162	1.76E-05	0.003655005	3.688648854
PLP2	1.166688016	6.333061976	10.54305923	1.80E-05	0.003709057	3.665220466
GSAP	-1.176762547	6.004673569	-10.51353973	1.83E-05	0.003742353	3.64747187
SULT2A1	-1.377542847	6.049949597	-10.47448095	1.88E-05	0.00379875	3.623899572
KMT5B	-1.32316086	7.232573064	-10.45382393	1.90E-05	0.003812921	3.611392081
STUM	-1.246699983	4.289074644	-10.41096024	1.95E-05	0.003880654	3.585348304
MKI67	1.184093202	6.645482486	10.35664023	2.02E-05	0.003946634	3.552167177
CEL	-1.618474337	6.635914039	-10.34975095	2.03E-05	0.003946634	3.547944721
CEACAM1	1.25450401	6.683325093	10.34147352	2.04E-05	0.003946634	3.542867229
MUC13	1.166726588	6.666647363	10.31478716	2.07E-05	0.003949194	3.526465889
EPHA2	1.292023112	4.727695209	10.31288046	2.07E-05	0.003949194	3.525292194
SLC2A3	1.124496322	9.790621285	10.23056232	2.18E-05	0.004123714	3.474383993
SDC2	-1.26349497	7.671211527	-10.21046408	2.21E-05	0.004138245	3.461884132
OSR2	-1.420301451	4.061870746	-10.19839491	2.23E-05	0.004138245	3.454364491
SLC22A4	-1.239517125	6.884699518	-10.17785112	2.26E-05	0.004157788	3.441541655
FRMD4B	1.4618539	4.418685999	10.14490097	2.31E-05	0.004184041	3.42091408
CYP2B7P	-1.313489886	5.695651069	-10.14211371	2.31E-05	0.004184041	3.419165731
PLK1	1.10732821	5.346994719	10.09189992	2.39E-05	0.004285253	3.387575568
RGL1	-1.163798053	6.45335768	-10.06094272	2.43E-05	0.004335972	3.368011969
TM4SF1	1.332901926	9.454150726	10.00792012	2.52E-05	0.004450488	3.334346973
DNASE1	-1.092479903	7.904914114	-9.943295473	2.62E-05	0.004603465	3.293045491
NCAPG	1.102414291	4.79218808	9.907853647	2.69E-05	0.004608819	3.270267703
PHLDA1	1.11619086	4.330048974	9.871887955	2.75E-05	0.004608819	3.24706064
RGS2	1.268173902	5.861444851	9.870332734	2.75E-05	0.004608819	3.246055014
CYP4F3	-1.239817586	3.949846376	-9.858170719	2.77E-05	0.004608819	3.238184839
CD24	1.181189939	4.282028067	9.853590031	2.78E-05	0.004608819	3.23521784
ATRN	-1.232038819	7.465324602	-9.849137401	2.79E-05	0.004608819	3.232332324
NES	1.298687276	4.673790289	9.838222489	2.81E-05	0.004608819	3.22525284
SEMA3C	-1.10358605	7.161644246	-9.835482735	2.82E-05	0.004608819	3.223474454
MAOB	-1.122716588	7.610644296	-9.825812642	2.83E-05	0.004608819	3.217193182
ACYP2	-1.147662447	4.55685185	-9.81483499	2.85E-05	0.004608819	3.2100543
ISG20	1.089711084	5.652992933	9.813889879	2.86E-05	0.004608819	3.209439272
NA	1.368177525	4.580154222	9.75588559	2.97E-05	0.004753232	3.171567773
SDC2	-1.310171076	5.400742653	-9.729866808	3.02E-05	0.004800882	3.154499346
MAFF	1.160796613	4.795902894	9.692084921	3.09E-05	0.004847026	3.129624911
SLC20A1	1.062647048	8.516196552	9.68034685	3.12E-05	0.004847026	3.121875293
GCNT3	1.124678079	6.287509499	9.674039142	3.13E-05	0.004847026	3.117706619
ORM1	-1.241419048	6.687775745	-9.654278498	3.17E-05	0.004847026	3.104627828
MLN	-1.173145469	5.844101243	-9.653939683	3.17E-05	0.004847026	3.104403325
NA	1.570873217	3.343218517	9.652026928	3.18E-05	0.004847026	3.103135747
TNFSF10	-1.166668073	5.978595375	-9.634090185	3.21E-05	0.004851066	3.09123575
CLC	1.334191401	3.18242375	9.630314335	3.22E-05	0.004851066	3.08872761
ABCA1	-1.067268906	7.201522229	-9.579325056	3.33E-05	0.004985258	3.054752249
TACC1	1.102846588	6.726352012	9.537555816	3.43E-05	0.00502855	3.02677357
SLC46A3	-1.051503979	5.281590612	-9.534485579	3.44E-05	0.00502855	3.024711761
CPS1	-1.675479244	5.907095595	-9.519436328	3.47E-05	0.00502855	3.01459506
SPRY4	1.202937443	5.038851926	9.505193747	3.50E-05	0.00502855	3.005004669
NA	1.049491867	8.196886161	9.500854341	3.51E-05	0.00502855	3.002079592
SLC2A3	1.094773329	10.2556009	9.49634128	3.53E-05	0.00502855	2.999035926
APOM	-1.066500973	10.4502749	-9.493928344	3.53E-05	0.00502855	2.99740797
ENO2	1.643022922	5.503703908	9.488573157	3.54E-05	0.00502855	2.993793341
SERPIND1	-1.263498764	6.791431409	-9.470396874	3.59E-05	0.0050294	2.981508305
FAXDC2	-1.102515375	6.674842844	-9.469568741	3.59E-05	0.0050294	2.980947978
PTGS2	1.098547832	2.368961267	9.449948323	3.64E-05	0.005041148	2.967657018
TSPAN7	-1.429975883	5.647297614	-9.437089867	3.67E-05	0.005041148	2.958930491
POLQ	1.207571757	4.063188888	9.432788489	3.68E-05	0.005041148	2.956008455
AQP3	-1.039478143	5.237678704	-9.429411206	3.69E-05	0.005041148	2.953713175
GSAP	-1.340278713	5.061539161	-9.414807274	3.73E-05	0.005060306	2.943777804
KLF6	1.421033329	6.147255313	9.393750458	3.78E-05	0.005077315	2.929423177
NEK2	1.23626253	4.468333698	9.391350569	3.79E-05	0.005077315	2.927784955
TPX2	1.199184938	7.812234973	9.383214377	3.81E-05	0.005077315	2.922227648
RAB29	-1.039730027	4.564512304	-9.351146922	3.89E-05	0.005108334	2.900273981
CHST3	-1.065193907	4.596354492	-9.349753279	3.89E-05	0.005108334	2.899318052
HKDC1	1.065561559	6.434193536	9.335999205	3.93E-05	0.005108334	2.889875645
FN1	1.246613922	5.735159195	9.335136839	3.93E-05	0.005108334	2.889283119
LINC00483	1.045128387	4.163225488	9.329245093	3.95E-05	0.005108334	2.885233378
TM4SF1	1.498771441	8.77967021	9.322608981	3.97E-05	0.005108334	2.880668712
GEM	1.10796231	4.57354411	9.299605021	4.03E-05	0.005159713	2.864818453
HSD3B1	-1.185320529	7.038925937	-9.2791745	4.09E-05	0.005183755	2.850706211
ANXA13	-1.161983235	5.791303745	-9.27620539	4.10E-05	0.005183755	2.848652561
