Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
ID1	-0.877403838	7.186097678	-9.638477876	8.28E-07	0.044374179	3.217257068
HRG	-1.237594221	4.729889879	-7.339402188	1.23E-05	0.272097447	1.943346549
ABCB1	-1.423453209	8.695063146	-6.906837639	2.17E-05	0.272097447	1.630582992
MT1F	0.631162861	8.695934927	6.808925846	2.48E-05	0.272097447	1.555931308
NOX1	-1.93527333	7.838200746	-6.746506642	2.70E-05	0.272097447	1.507570103
SPRY1	-0.573159095	7.068038276	-6.632826473	3.16E-05	0.272097447	1.417926733
ETV4	-0.887740213	7.07315298	-6.549530637	3.55E-05	0.272097447	1.350940285
TOP1	-0.542688188	10.33167606	-6.152685633	6.25E-05	0.366488059	1.016165375
NA	0.774926315	2.991251822	6.124617899	6.51E-05	0.366488059	0.991483107
NA	-0.663566154	10.21437823	-6.09128589	6.84E-05	0.366488059	0.961995236
AREG	-1.093890075	7.856823936	-5.959388943	8.30E-05	0.392999595	0.843415834
AREG	-1.10930759	7.971599824	-5.919876169	8.80E-05	0.392999595	0.80729867
NA	1.275394906	5.905449882	5.791514869	0.000106522	0.429761345	0.688054617
LINC01058	0.689253058	5.618212876	5.756879702	0.000112216	0.429761345	0.655374097
SLC7A6	-0.620949708	7.877573017	-5.674078144	0.000127177	0.451391411	0.576366847
RNU5A-1	-0.699444798	3.557304456	-5.490656603	0.000168387	0.451391411	0.396892825
CLYBL	0.582834438	6.545857375	5.477111777	0.000171946	0.451391411	0.383393832
LIN54	-0.651879168	8.157281366	-5.314125198	0.000221607	0.451391411	0.218283471
NA	-0.658834192	8.644283609	-5.313959912	0.000221664	0.451391411	0.218113513
NA	0.51022219	4.453087906	5.124352294	0.000299185	0.451391411	0.019765253
SNORD82	0.5387966	10.80261733	5.122189016	0.000300219	0.451391411	0.017463153
NA	-0.698626675	5.837991349	-5.08771134	0.000317222	0.451391411	-0.019346411
NA	0.426907125	7.093281727	5.086506865	0.000317834	0.451391411	-0.020636412
DDX21	-0.665104678	9.619155609	-5.082512144	0.000319873	0.451391411	-0.024916752
NA	0.694404309	4.381509985	5.079658499	0.000321338	0.451391411	-0.027976277
NA	0.669670937	2.318735865	5.075635663	0.000323415	0.451391411	-0.032291963
NA	0.400663712	11.56035928	5.061130081	0.000331023	0.451391411	-0.047878923
NA	1.022549442	5.014040106	5.053667152	0.000335011	0.451391411	-0.055913715
NA	-0.480135166	8.455779006	-5.048512061	0.000337795	0.451391411	-0.061469979
NA	-0.861443333	5.79600676	-5.019842133	0.00035373	0.451391411	-0.092462786
IRF2BPL	0.40050492	6.246783501	5.009479098	0.000359683	0.451391411	-0.10370373
ZBED5-AS1	0.465762421	5.737675407	4.958254789	0.000390701	0.451391411	-0.159566158
LUM	-0.976970513	4.944929744	-4.950903288	0.000395378	0.451391411	-0.167624066
NA	0.874834765	3.550616263	4.941547306	0.000401417	0.451391411	-0.177893864
NA	1.414496882	6.774157804	4.937844651	0.000403834	0.451391411	-0.181962741
NA	-0.525571166	2.700240316	-4.924599884	0.000412604	0.451391411	-0.196538767
IER3	-0.48578202	7.702207674	-4.916965572	0.000417751	0.451391411	-0.204955506
IER3	-0.48578202	7.702207674	-4.916965572	0.000417751	0.451391411	-0.204955506
IER3	-0.48578202	7.702207674	-4.916965572	0.000417751	0.451391411	-0.204955506
IER3	-0.48578202	7.702207674	-4.916965572	0.000417751	0.451391411	-0.204955506
NA	-0.443610323	3.551748783	-4.903856679	0.000426746	0.451391411	-0.219433639
IER3	-0.45651812	7.707483953	-4.894972825	0.000432957	0.451391411	-0.229263908
NA	0.421607174	7.98339066	4.869093111	0.000451601	0.451391411	-0.257985752
NA	0.667335739	3.527428995	4.862871516	0.000456207	0.451391411	-0.264909496
NA	0.515532314	11.24599401	4.852766082	0.000463796	0.451391411	-0.276170995
ANKRD1	-0.621945983	6.773241619	-4.841951179	0.000472064	0.451391411	-0.288244512
MIR3916	-0.507017465	7.801818401	-4.839998867	0.000473573	0.451391411	-0.290426387
FAM85A	0.645499165	4.857926211	4.837551466	0.000475472	0.451391411	-0.293162581
MAFTRR	0.535921973	7.595085087	4.805213564	0.000501328	0.451391411	-0.329422613
SSTR5-AS1	0.492267977	5.320089333	4.800261301	0.000505416	0.451391411	-0.33499295
MT1X	0.838183362	6.212215832	4.798864721	0.000506575	0.451391411	-0.33656467
LINC00854	0.372585529	5.60678466	4.780242573	0.000522303	0.451391411	-0.357557313
NA	-0.529750867	3.245393282	-4.765840327	0.000534818	0.451391411	-0.373837734
ACSM3	0.527913296	7.170063933	4.764725752	0.0005358	0.451391411	-0.375099289
