Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
CENPE	-2.797560284	7.138326241	-45.84320372	2.31E-10	1.07E-06	14.36020329
AURKA	-3.907666667	9.407833333	-44.49774174	2.88E-10	1.07E-06	14.18780172
SMC4	-2.782428571	9.205277778	-43.77620099	3.25E-10	1.07E-06	14.09186971
CCNB1	-3.583787879	11.64374242	-43.1685198	3.60E-10	1.07E-06	14.00911347
NMU	-4.5245	9.533083333	-42.48114606	4.05E-10	1.07E-06	13.91327239
ARHGAP11A	-2.869666667	6.965875	-42.28647001	4.19E-10	1.07E-06	13.88568778
PLK1	-3.777416667	8.237541667	-41.60731962	4.72E-10	1.07E-06	13.78789393
SGOL2	-2.367740741	6.987537037	-40.35066104	5.92E-10	1.07E-06	13.60031628
"BUB1B;PAK6"	-4.571666667	9.008166667	-39.68763478	6.69E-10	1.07E-06	13.49773171
RACGAP1	-2.846416667	7.473375	-39.32273025	7.16E-10	1.07E-06	13.44016644
SPAG5	-3.12625	9.403736111	-39.2730182	7.23E-10	1.07E-06	13.43226225
BUB1	-2.752516667	7.023491667	-39.05417777	7.54E-10	1.07E-06	13.3972883
SULF2	3.1535	7.007194444	38.40627793	8.53E-10	1.07E-06	13.29201306
ERCC6L	-3.5355	8.818416667	-37.89649129	9.41E-10	1.07E-06	13.20731688
PTTG3P	-3.615333333	7.957666667	-37.76597645	9.65E-10	1.07E-06	13.1853635
FAM111B	-3.287166667	8.881583333	-37.49279071	1.02E-09	1.07E-06	13.13905059
GPSM2	-2.261738095	6.884892857	-37.10674347	1.10E-09	1.07E-06	13.07275888
TTK	-3.220565217	7.138876812	-36.97537119	1.13E-09	1.07E-06	13.04997078
BUB1B	-3.105296296	7.454981481	-36.73294509	1.18E-09	1.07E-06	13.00760975
UBE2T	-2.871888889	11.78894444	-36.67130148	1.20E-09	1.07E-06	12.99677381
TP53I3	5.421277778	12.09541667	36.61771047	1.21E-09	1.07E-06	12.987332
FAM83D	-3.008611111	8.43825	-36.47289026	1.25E-09	1.07E-06	12.96171728
PTTG1	-4.351666667	10.3225	-36.36089499	1.28E-09	1.07E-06	12.94180782
MLF1IP	-3.950333333	10.38190741	-36.27139724	1.30E-09	1.07E-06	12.92583432
TCF19	-3.6995	7.731083333	-34.96981314	1.70E-09	1.35E-06	12.68698426
CKAP2L	-2.550916667	6.7215	-34.53212855	1.87E-09	1.42E-06	12.60382191
KIF20A	-3.136928571	7.362607143	-33.55982365	2.30E-09	1.69E-06	12.4136959
CENPF	-3.830607843	7.994735294	-33.16990408	2.51E-09	1.72E-06	12.33529347
CENPW	-3.01775	11.415375	-33.1506895	2.52E-09	1.72E-06	12.33139717
ZWINT	-3.491444444	9.858333333	-33.01002794	2.60E-09	1.72E-06	12.30277931
PIF1	-3.01025	7.749375	-31.88672723	3.36E-09	2.15E-06	12.0681115
POC1A	-2.504111111	9.293944444	-31.66607976	3.53E-09	2.15E-06	12.02069835
HMMR	-4.276404762	7.996988095	-31.61461935	3.58E-09	2.15E-06	12.00957649
HELLS	-2.512941176	7.359176471	-31.4417918	3.72E-09	2.15E-06	11.9720456
NEIL3	-2.0291	6.39735	-31.24814994	3.90E-09	2.15E-06	11.92966501
ANLN	-3.393859649	7.319157895	-31.23060132	3.91E-09	2.15E-06	11.92580696
ASPM	-2.258845238	6.467613095	-31.05993154	4.07E-09	2.18E-06	11.88813375
NEAT1	1.968	13.96983333	30.71487999	4.42E-09	2.29E-06	11.81111933
C5orf34	-2.180805556	6.905902778	-30.5884204	4.56E-09	2.29E-06	11.78260587
FAM54A	-2.909592593	6.98512963	-30.42770485	4.74E-09	2.29E-06	11.74614268
RFC5	-2.317962963	9.473685185	-30.33706071	4.84E-09	2.29E-06	11.72546494
SMC2	-2.491222222	8.304055556	-30.24814082	4.95E-09	2.29E-06	11.70510125
NCAPH	-3.676111111	8.176111111	-30.23542012	4.96E-09	2.29E-06	11.70218161
PRR11	-2.234305556	7.908402778	-30.1272338	5.10E-09	2.29E-06	11.67728534
DSCC1	-2.215433333	8.508883333	-29.96336537	5.30E-09	2.31E-06	11.63935071
MCM6	-2.537944444	9.158305556	-29.91337024	5.37E-09	2.31E-06	11.6277229
GMNN	-2.347333333	10.81833333	-29.72289066	5.63E-09	2.37E-06	11.58318712
APOBEC3H	3.564111111	8.397611111	29.50275159	5.94E-09	2.45E-06	11.53124995
MCM4	-3.092416667	9.403597222	-29.36647043	6.15E-09	2.46E-06	11.49884359
HMGB2	-2.978066667	9.350566667	-29.32161235	6.22E-09	2.46E-06	11.48813396
MCM5	-3.53525	11.66720833	-29.2062363	6.40E-09	2.49E-06	11.46049056
PSMC3IP	-2.911277778	8.725361111	-29.06733842	6.63E-09	2.53E-06	11.42702307
DEPDC1	-3.718833333	8.506416667	-28.93190745	6.86E-09	2.57E-06	11.3941911
CENPA	-4.099666667	7.958666667	-28.77554582	7.14E-09	2.58E-06	11.35603732
DLGAP5	-3.799958333	7.526604167	-28.77202347	7.15E-09	2.58E-06	11.35517475
OIP5	-4.052066667	9.640366667	-28.43918113	7.79E-09	2.74E-06	11.27304905
CHEK1	-3.188272727	8.450409091	-28.34724958	7.97E-09	2.74E-06	11.25014819
KANK3	2.566666667	8.872	28.32863217	8.01E-09	2.74E-06	11.24549887
MKI67	-2.982230769	7.525346154	-28.03465839	8.65E-09	2.90E-06	11.17156319
GINS2	-3.572333333	11.0805	-27.85950518	9.06E-09	2.91E-06	11.12703992
RAD51AP1	-2.95947619	7.550357143	-27.83824502	9.11E-09	2.91E-06	11.12161145
RMI2	-3.225	9.445722222	-27.83058601	9.13E-09	2.91E-06	11.11965454
RFC4	-2.673060606	10.92019697	-27.66496105	9.54E-09	2.91E-06	11.07716877
KIF11	-2.160652778	6.686798611	-27.60168368	9.70E-09	2.91E-06	11.06085179
PLK4	-2.0164	6.578688889	-27.56534112	9.79E-09	2.91E-06	11.05145891
KIF20B	-2.160430556	7.402479167	-27.4737546	1.00E-08	2.91E-06	11.02771839
MNS1	-2.448166667	8.007483333	-27.45555997	1.01E-08	2.91E-06	11.02299017
PSRC1	-2.772555556	8.5595	-27.40580978	1.02E-08	2.91E-06	11.01004143
CEP55	-3.252166667	7.31385	-27.36566941	1.03E-08	2.91E-06	10.99957224
MCM3	-2.5311	8.67345	-27.34158027	1.04E-08	2.91E-06	10.99328014
NCAPG2	-2.013434783	7.300007246	-27.30410116	1.05E-08	2.91E-06	10.98347666
CDCA3	-4.835133333	10.62496667	-27.28093554	1.06E-08	2.91E-06	10.9774087
FIGNL1	-1.760666667	8.487416667	-27.08071759	1.12E-08	3.02E-06	10.92469232
CENPI	-2.198358974	6.778641026	-27.04215664	1.13E-08	3.02E-06	10.91448315
