Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
CDT1	-0.332303167	7.596760492	-7.052441004	7.66E-06	0.000157467	3.818016923
LPP	-1.309053342	9.933797479	-11.77060859	2.09E-08	2.88E-06	9.818800039
SNIP1	1.812206546	9.012660841	7.629817171	3.27E-06	8.39E-05	4.692314659
LOC143666	0.291199048	7.362087448	6.805055885	1.12E-05	0.000209419	3.429510538
GADD45G	2.464357853	8.55428354	10.5701146	7.67E-08	6.44E-06	8.513944669
TGOLN2	-0.908444484	10.3057183	-9.41403972	3.02E-07	1.57E-05	7.127074307
GALNT11	-0.886395812	8.785371125	-10.93307241	5.11E-08	5.04E-06	8.922137314
CWF19L1	0.434498866	8.845324238	7.46783128	4.13E-06	9.97E-05	4.451541863
MPHOSPH10	1.431069215	9.478761276	9.027875518	4.90E-07	2.18E-05	6.632146779
LMBRD1	-0.466887315	10.55713932	-7.233160017	5.84E-06	0.000128155	4.096511095
IL4R	-0.158463319	7.25026389	-7.04938526	7.69E-06	0.000157922	3.813269509
POPDC3	0.69196097	7.826389074	7.687054201	3.01E-06	7.91E-05	4.776562317
KIAA0363	-0.541971803	7.539553146	-11.86577123	1.89E-08	2.73E-06	9.916883564
FBXO32	1.231423934	8.121120413	13.9857167	2.48E-09	8.08E-07	11.92295322
FN3KRP	-0.581150134	9.227294882	-8.059058871	1.78E-06	5.49E-05	5.313755199
SUCLG2	-0.762335539	9.10829556	-6.891366713	9.79E-06	0.000189629	3.566018882
RAB2A	0.969584227	9.467327396	8.974590276	5.25E-07	2.29E-05	6.562530996
SLC26A4	-1.099045594	8.298059503	-9.350899392	3.26E-07	1.65E-05	7.047286368
MANSC1	-0.338681857	7.726151148	-8.60890435	8.46E-07	3.24E-05	6.075855048
GLIPR2	-0.340691725	8.008492629	-9.513416246	2.67E-07	1.44E-05	7.251769517
C14ORF2	0.671018322	8.393918335	10.31914179	1.02E-07	7.67E-06	8.224354736
PAAF1	-0.389444192	8.067765474	-8.773060578	6.82E-07	2.74E-05	6.296266969
CLK1	1.802469929	8.436037958	8.208470461	1.45E-06	4.77E-05	5.524545325
SH3D19	-0.918768684	8.497542004	-7.832442117	2.45E-06	6.87E-05	4.988635063
MSH4	0.508642355	7.381217718	8.358291343	1.18E-06	4.14E-05	5.733115535
HNRPDL	1.610443433	9.100452105	7.078881724	7.36E-06	0.000152732	3.859041798
CDK2	-0.185803652	7.275142868	-7.932894862	2.12E-06	6.22E-05	5.133563018
HES4	2.094846288	9.0904513	9.149680627	4.20E-07	1.95E-05	6.790065333
TEX10	1.435380975	8.390279829	9.916044274	1.64E-07	1.05E-05	7.746163402
MRLC2	-0.386312008	12.53156956	-6.797606142	1.13E-05	0.000211593	3.417679599
ZDHHC20	0.407758554	7.383792877	8.994933862	5.11E-07	2.26E-05	6.589147813
ZMAT3	-0.713851412	8.758301278	-9.311929966	3.42E-07	1.70E-05	6.997823015
HMGB2	-0.961480339	8.718563855	-9.502032732	2.70E-07	1.46E-05	7.237540213
ADCY9	-0.409493605	7.525551677	-7.679638395	3.04E-06	7.96E-05	4.765671179
ATP1B3	0.328789393	8.624982516	7.671828596	3.08E-06	8.02E-05	4.754193613
RGL1	-1.551496784	9.027803679	-10.62033261	7.24E-08	6.26E-06	8.571160453
OAT	-0.330675046	9.390497724	-6.447805139	1.96E-05	0.000320003	2.853433959
C5ORF21	-0.849729061	8.68295749	-10.01882498	1.45E-07	9.68E-06	7.869654665
TIGA1	0.914374511	10.56210701	21.21476631	1.23E-11	3.86E-08	16.88271689
CASK	0.384047866	7.958791673	8.870283528	6.01E-07	2.53E-05	6.425309429
C1ORF58	0.428047101	7.340990623	6.834687567	1.07E-05	0.000202957	3.476492266
LOC646786	0.437412461	8.367560764	11.74100964	2.15E-08	2.95E-06	9.788139535
TMED2	-0.398245255	10.99966188	-7.634518313	3.25E-06	8.36E-05	4.699250539
WDR19	-0.558170835	8.233029584	-6.935474826	9.15E-06	0.000179809	3.635381254
ZCCHC11	-0.360275666	7.500317812	-7.892675756	2.25E-06	6.49E-05	5.075692913
PTBP1	-0.354671558	10.80485173	-6.531670073	1.71E-05	0.000289421	2.990273955
PIK4CA	-0.367058198	8.922000289	-11.2978859	3.44E-08	3.87E-06	9.320247328
SLC7A11	0.805768808	7.439599196	9.894370576	1.68E-07	1.07E-05	7.719983509
LOC642755	-0.744752486	9.092394471	-7.991559126	1.96E-06	5.86E-05	5.217601809
RNF181	0.487921635	10.03383633	9.422543999	2.98E-07	1.56E-05	7.137787401
RPL17	0.820054928	10.18144826	13.85982926	2.78E-09	8.30E-07	11.81267036
EIF4B	0.308885574	10.37989012	7.718672923	2.88E-06	7.67E-05	4.822917991
FLCN	0.54670616	7.473702689	8.021556955	1.88E-06	5.69E-05	5.26040519
FANCI	-0.434767167	7.535236955	-7.864059994	2.34E-06	6.67E-05	5.034391874
SC65	-0.996851365	8.910899202	-9.208665324	3.90E-07	1.85E-05	6.865935087
SNAI2	-1.00120163	8.952110211	-10.65549595	6.96E-08	6.14E-06	8.611080888
ATP2A2	0.563284636	8.246446411	8.896776183	5.80E-07	2.46E-05	6.460281455
SAPS2	0.597139557	8.61834985	6.985868364	8.47E-06	0.000169835	3.714298821
ADCY7	-0.335210522	7.584128956	-7.567074047	3.58E-06	8.97E-05	4.599466904
DHX9	0.38628459	7.877384424	8.991976064	5.13E-07	2.26E-05	6.585280891
SLC39A10	-0.247818192	7.452467382	-6.53011584	1.72E-05	0.000289773	2.987746937
GOT1	1.328208764	9.596345822	9.493728833	2.73E-07	1.47E-05	7.227151544
SLC41A1	0.155110955	7.738236527	6.519119868	1.75E-05	0.000293758	2.969858975
NOTCH2NL	0.626994491	7.998687764	12.18652965	1.37E-08	2.25E-06	10.24205201
METTL7A	-1.070740898	9.470050474	-8.766849445	6.87E-07	2.76E-05	6.287985367
GOSR2	1.531741142	8.769507567	10.25363857	1.10E-07	8.04E-06	8.147758559
ZMYM3	-0.225038171	7.207667013	-7.998698207	1.94E-06	5.83E-05	5.227798826
RIT1	1.038778702	8.024249236	11.2461668	3.63E-08	3.99E-06	9.264530557
BNC2	-0.583359877	7.64855516	-7.183333813	6.29E-06	0.000134911	4.020172017
NMT2	-0.66439414	7.979889035	-7.030884808	7.91E-06	0.000160939	3.784499762
TCEAL8	-0.587212483	9.6173503	-11.63400793	2.41E-08	3.13E-06	9.676689006
C16ORF59	-0.322424213	7.239374499	-10.84100041	5.66E-08	5.46E-06	8.81975429
