Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
C15orf23	0.9025	10.90171429	14.9020423	1.96E-07	0.001780075	7.323934559
SGOL2	0.781111111	7.968571429	14.51377266	2.44E-07	0.001780075	7.160253215
KIF4A	0.894791667	9.447142857	14.17977618	2.96E-07	0.001780075	7.013954014
CCNB1	1.108863636	12.90181818	13.51162348	4.41E-07	0.001780075	6.705068606
BIRC5	0.83875	11.33261905	12.70326214	7.32E-07	0.001780075	6.300031986
GPSM2	0.930952381	8.013163265	12.50592383	8.32E-07	0.001780075	6.195539656
FAM209B	0.685833333	5.468571429	12.48395876	8.44E-07	0.001780075	6.183766252
CCNA2	0.9125	9.503928571	12.40278991	8.90E-07	0.001780075	6.140007826
SNORD1A	1.008333333	6.912857143	12.38065292	9.03E-07	0.001780075	6.128004608
CENPA	1.125833333	9.52	12.29756029	9.54E-07	0.001780075	6.082683335
CDC20	1.465833333	11.96928571	12.24495633	9.88E-07	0.001780075	6.053772442
DLGAP5	0.937604167	9.477232143	11.97646809	1.18E-06	0.001888314	5.903516806
HIST1H4E	-0.624166667	12.85	-11.91016868	1.24E-06	0.001888314	5.865706658
CENPF	0.745196078	9.898571429	11.79185693	1.34E-06	0.001901873	5.7975241
CCNB2	0.997083333	11.50309524	11.68836619	1.44E-06	0.001906998	5.737126462
PBK	0.739444444	11.30809524	11.56976214	1.57E-06	0.001942244	5.667026755
HMMR	1.046488095	10.14989796	11.41569593	1.75E-06	0.002038027	5.574536026
ARHGAP11A	0.770208333	7.848035714	11.32049901	1.87E-06	0.00205995	5.516563677
DEPDC1	0.791666667	9.395714286	11.18862049	2.06E-06	0.002145688	5.435196143
EBLN2	1.28	9.591428571	11.02390365	2.32E-06	0.002297973	5.331810908
MIS18A	0.540416667	10.94339286	10.73299705	2.88E-06	0.002615772	5.144320323
NUF2	0.972797619	9.474693878	10.69140334	2.97E-06	0.002615772	5.116989257
SAP30	0.834583333	10.83857143	10.6168925	3.14E-06	0.002615772	5.067694403
G2E3	0.554444444	8.720714286	10.59006056	3.21E-06	0.002615772	5.049837217
CCL20	0.536458333	5.468214286	10.47334426	3.50E-06	0.002615772	4.971501894
NDC80	0.843645833	10.309375	10.43749596	3.60E-06	0.002615772	4.947225185
UBE2T	0.512916667	12.48642857	10.41927904	3.65E-06	0.002615772	4.934849207
KIF18A	1.032	7.591714286	10.37459833	3.78E-06	0.002615772	4.904381764
SCLT1	0.78328125	8.312589286	10.35809149	3.83E-06	0.002615772	4.893085165
TPX2	0.961845238	9.812959184	10.30062572	4.00E-06	0.002643783	4.853585629
NEK2	1.091666667	9.482142857	10.24370861	4.18E-06	0.002674498	4.814197621
PRC1	0.736969697	10.96779221	10.11110828	4.64E-06	0.002875262	4.721397411
KIF14	0.749691358	7.32	9.999241782	5.07E-06	0.003046943	4.64196192
KIF23	0.735882353	8.805798319	9.900443401	5.49E-06	0.003072363	4.570919237
CCDC18	0.697644928	7.978074534	9.893344033	5.52E-06	0.003072363	4.565781942
CENPE	0.683031915	8.714133739	9.820345361	5.86E-06	0.003072363	4.512704136
KIF20B	0.602291667	8.325833333	9.795700698	5.98E-06	0.003072363	4.494679777
"APOBEC3B;APOBEC3A"	0.613333333	11.76714286	9.79219201	5.99E-06	0.003072363	4.492109295
NCAPG	0.699916667	9.931785714	9.781357459	6.05E-06	0.003072363	4.484165018
SNHG7	0.758611111	9.322380952	9.71608119	6.38E-06	0.003159187	4.436082879
CKAP2L	0.547395833	7.796964286	9.390967353	8.35E-06	0.004035443	4.190892659
CIT	0.4004	6.2288	9.149495789	1.03E-05	0.004837049	4.002429497
AURKA	1.272777778	10.47952381	9.031542785	1.14E-05	0.005231504	3.908333774
GAS2L3	0.7625	6.754285714	8.975975793	1.19E-05	0.005366138	3.863533199
NUP35	0.613666667	9.06	8.878781371	1.30E-05	0.005614806	3.784433184
SPC25	0.747738095	9.417755102	8.873680593	1.30E-05	0.005614806	3.780255881
GTSE1	0.908214286	9.268979592	8.768926892	1.43E-05	0.006029688	3.693885368
ASPM	0.565714286	7.437193878	8.710377096	1.51E-05	0.006202409	3.645122818
HJURP	0.5955	10.27028571	8.676078413	1.55E-05	0.006202409	3.616393534
C1orf135	0.451875	8.765714286	8.668166512	1.57E-05	0.006202409	3.609749078
HSPA1B	0.3925	12.87428571	8.642199219	1.60E-05	0.006224532	3.587895923
KIF20A	0.945535714	8.519591837	8.529534837	1.77E-05	0.006729112	3.492264578
TTK	0.840253623	8.373478261	8.513753391	1.80E-05	0.006729112	3.478762192
TMPO	0.439375	8.801904762	8.463268293	1.88E-05	0.006916404	3.435389951
DEPDC1B	0.845	7.941038961	8.425922303	1.95E-05	0.006926702	3.403130339
CENPW	0.562291667	11.70714286	8.422033061	1.96E-05	0.006926702	3.399762186
HMGB2	0.7335	11.05514286	8.39338221	2.01E-05	0.006987164	3.374899818
SNORD12B	1.16	7.052857143	8.344888242	2.10E-05	0.007181562	3.332615832
CDK5RAP2	0.465833333	7.894395604	8.288354994	2.22E-05	0.007440616	3.282998793
AURKAPS1	0.900833333	9.101428571	8.233731349	2.33E-05	0.007699662	3.234724571
RFX5	-0.53	9.607142857	-8.179265454	2.45E-05	0.007968268	3.18626108
ERCC6L	0.4775	9.597857143	8.147618927	2.53E-05	0.007968268	3.157950358
CDCA2	0.737444444	8.819619048	8.13212678	2.57E-05	0.007968268	3.144050332
NUSAP1	0.511916667	10.78685714	8.12875828	2.57E-05	0.007968268	3.141024446
FAM64A	1.002916667	11.33642857	8.100614938	2.64E-05	0.008057726	3.115693715
LYAR	0.493229167	10.65142857	8.064428178	2.74E-05	0.008111027	3.082992049
CCDC150	0.569492754	6.19310559	8.061803101	2.74E-05	0.008111027	3.080614021
CEP128	0.424875	6.870285714	8.01903052	2.86E-05	0.008324777	3.041756445
CHAC1	-0.771458333	9.6125	-7.983899038	2.95E-05	0.008484997	3.009684394
CENPK	0.524583333	8.733095238	7.964386205	3.01E-05	0.008522058	2.991809704
KIF11	0.455555556	7.399345238	7.941256846	3.08E-05	0.008574057	2.970565341
C5orf34	0.382569444	7.296666667	7.928829754	3.12E-05	0.008574057	2.959125533
KCNN2	-0.4671875	10.91303571	-7.88267932	3.26E-05	0.008770423	2.916484952
CKAP2	0.497166667	9.261428571	7.870569086	3.30E-05	0.008770423	2.905254715
DTNBP1	0.325972222	8.705714286	7.833853161	3.42E-05	0.008770423	2.871102076
CDC25C	0.472777778	8.325714286	7.825803897	3.44E-05	0.008770423	2.863593662
PRR11	0.749861111	8.824880952	7.824548827	3.45E-05	0.008770423	2.862422237
GDPD1	-0.406742424	7.926363636	-7.822982811	3.45E-05	0.008770423	2.860960331
SGOL1	0.593263889	8.794285714	7.785707226	3.58E-05	0.008980601	2.826077669
CDCA3	0.8875	12.10114286	7.756681093	3.68E-05	0.009037836	2.798801281
CKS2	1.14625	14.45	7.753727732	3.69E-05	0.009037836	2.796020359
KDM5B-AS1	-0.6725	8.625714286	-7.71846322	3.82E-05	0.009242767	2.762734782
RAD51B	0.381969697	6.722207792	7.675844473	3.99E-05	0.009518429	2.722309676
VDAC2	0.347083333	11.41	7.659823073	4.05E-05	0.009518429	2.707056627
C1orf96	0.494791667	9.123571429	7.652400686	4.08E-05	0.009518429	2.699979741
BUB1	0.849375	8.078357143	7.635088527	4.15E-05	0.009570863	2.683447651
MKI67	0.704807692	8.787362637	7.609129814	4.26E-05	0.009708422	2.658590802
TRAIP	0.526944444	9.013333333	7.55869243	4.48E-05	0.010094077	2.610060664
"BUB1B;PAK6"	0.944166667	10.28285714	7.491907349	4.79E-05	0.010673464	2.545323036
