Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
GPSM2	0.777619048	7.87	12.68148018	2.51E-06	0.033138829	3.791908405
CDC20	1.146666667	11.705	12.18286137	3.34E-06	0.033138829	3.650989588
KIF4A	0.6075	9.239583333	10.18741957	1.19E-05	0.075673253	2.956260055
SNORD1A	0.843333333	6.758333333	9.832662072	1.53E-05	0.075673253	2.806337783
CCNB1	0.891212121	12.71378788	9.204822492	2.42E-05	0.079103622	2.517289014
CCNB2	0.790555556	11.32861111	8.959607352	2.92E-05	0.079103622	2.395460013
C15orf23	0.693333333	10.73266667	8.858766139	3.15E-05	0.079103622	2.343805904
FAM209B	0.623333333	5.388333333	8.842930442	3.19E-05	0.079103622	2.335610082
CCNA2	0.695	9.33	8.445289503	4.38E-05	0.093478773	2.122047779
EBLN2	1.05	9.385	8.354518221	4.72E-05	0.093478773	2.071132446
ARHGAP11A	0.531666667	7.67375	7.828591755	7.34E-05	0.132184127	1.75919161
TP53I3	0.859444444	10.14027778	7.614020198	8.85E-05	0.132933932	1.623158422
AURKA	1.016666667	10.26055556	7.561113474	9.27E-05	0.132933932	1.588795038
CENPF	0.605490196	9.775490196	7.529607238	9.54E-05	0.132933932	1.568174009
HLA-DMB	-0.378333333	8.829166667	-7.225534708	0.000125543	0.132933932	1.362962665
PDXDC2P	0.371666667	8.39	7.203834145	0.000128075	0.132933932	1.347878466
ZNF581	-0.396666667	10.12166667	-7.168017491	0.000132381	0.132933932	1.322851206
ACER2	0.426666667	6.725	7.166179592	0.000132606	0.132933932	1.321562542
SGOL2	0.591481481	7.817962963	7.068344744	0.000145239	0.132933932	1.25233738
RASAL1	0.445	5.5675	7.066992135	0.000145422	0.132933932	1.251371629
GPR87	0.5	5.411333333	7.065277998	0.000145656	0.132933932	1.250147409
KIF20A	0.632857143	8.295714286	7.051165722	0.000147593	0.132933932	1.240053992
APOBEC3B	0.406666667	10.15333333	6.973390744	0.000158797	0.133030835	1.183958939
BIRC5	0.585555556	11.14611111	6.957979891	0.000161127	0.133030835	1.172749091
HMMR	0.804047619	9.953928571	6.912029243	0.000168307	0.133400386	1.139136875
TUBA1C	-0.423333333	15.825	-6.820660944	0.000183669	0.139977094	1.07145908
PBK	0.57962963	11.17537037	6.710940681	0.00020422	0.149874871	0.988682377
GSTO2	-0.3275	7.624583333	-6.670958848	0.000212336	0.150265693	0.958104369
GTSE1	0.632857143	9.066428571	6.615530399	0.000224189	0.151888668	0.915342207
NEK2	0.825	9.270833333	6.589709646	0.00022996	0.151888668	0.895273824
HIST2H2BF	0.406666667	7.696666667	6.482545079	0.000255748	0.160610934	0.810966285
MIS18A	0.369166667	10.81916667	6.468437537	0.000259377	0.160610934	0.799744562
SAP30	0.503333333	10.61333333	6.421045902	0.000271992	0.160724382	0.761835412
KIF2C	0.577037037	8.76962963	6.379460381	0.000283626	0.160724382	0.728300053
MDM2	0.657222222	9.214444444	6.378525994	0.000283894	0.160724382	0.727543625
NDC80	0.620625	10.13760417	6.280982784	0.000313448	0.172527172	0.647866321
POLH	0.382666667	7.531666667	6.175357224	0.000349369	0.187101189	0.559978679
FAM64A	0.666666667	11.09666667	6.072905271	0.00038863	0.19435262	0.473106828
CDK5RAP2	0.320128205	7.788269231	6.057877236	0.000394791	0.19435262	0.46022794
CKS2	0.916666667	14.25333333	6.049059765	0.000398456	0.19435262	0.452655118
CENPA	0.819166667	9.28625	6.040281769	0.000402143	0.19435262	0.445104183
"RAB11FIP4;MIR4724"	-0.486666667	8.56	-6.016672188	0.000412247	0.19449216	0.424735323
AMY2B	0.516666667	5.848333333	5.980663645	0.000428204	0.197322579	0.393501434
PRC1	0.615757576	10.85454545	5.940296783	0.000446914	0.199619307	0.35824462
FOS	0.471111111	5.906666667	5.926868818	0.000453337	0.199619307	0.346459419
PRR11	0.5225	8.657638889	5.903043785	0.000464987	0.200298227	0.3254787
MKI67	0.463846154	8.616538462	5.879763828	0.000476692	0.200971486	0.304890714
"SNORA84;MIR3651"	0.613333333	8.52	5.834575343	0.000500358	0.203451792	0.264680209
TPX2	0.684761905	9.605714286	5.82947352	0.000503111	0.203451792	0.260119816
SNHG7	0.638888889	9.208333333	5.709704385	0.00057281	0.227004579	0.151850901
H1F0	0.406666667	10.24333333	5.688174558	0.00058644	0.227849295	0.132140445
KIF18A	0.764	7.384	5.658122239	0.000606071	0.228802845	0.10450033
UBD	0.445	5.635833333	5.635504459	0.000621325	0.228802845	0.083599793
DTNBP1	0.281666667	8.660277778	5.632277532	0.000623535	0.228802845	0.080610976
ZNF16	-0.35	9.32	-5.615371892	0.000635261	0.228867091	0.064924587
VDAC2	0.36	11.39166667	5.596853565	0.000648385	0.229424191	0.047687398
LGALS8	0.321388889	9.83125	5.576516526	0.000663146	0.229852414	0.028691598
DLGAP5	0.773125	9.328020833	5.55314988	0.000680566	0.229852414	0.006780823
APBB1	-0.35	7.991666667	-5.526666561	0.000700924	0.229852414	-0.018162886
CITED1	-0.331666667	6.6525	-5.522224699	0.000704404	0.229852414	-0.02235804
TRIM68	-0.342666667	8.041333333	-5.489247431	0.000730846	0.229852414	-0.05360746
RHBG	-0.293333333	5.917777778	-5.429173646	0.000781882	0.229852414	-0.111005688
NKX3-2	-0.343333333	6.091666667	-5.424074758	0.000786392	0.229852414	-0.115905658
TYMS	0.317142857	12.80761905	5.421096932	0.00078904	0.229852414	-0.118769358
PLCB4	-0.287701149	8.73408046	-5.418094555	0.000791719	0.229852414	-0.121658195
ARL4D	-0.29	7.135	-5.409680014	0.00079928	0.229852414	-0.129762704
KIF23	0.534117647	8.652352941	5.396048685	0.0008117	0.229852414	-0.142917392
CCDC83	0.42969697	6.22	5.395821202	0.000811909	0.229852414	-0.143137189
POLQ	0.397356322	6.74408046	5.375825128	0.000830521	0.229852414	-0.162492233
SCLT1	0.583333333	8.156666667	5.367597491	0.000838316	0.229852414	-0.170475962
SNORD121A	0.343333333	5.538333333	5.353130729	0.000852217	0.229852414	-0.184541972
NRTN	-0.315555556	9.832222222	-5.341033198	0.000864038	0.229852414	-0.196331937
KIF14	0.577407407	7.180308642	5.337073185	0.000867947	0.229852414	-0.200196731
TTK	0.594347826	8.190507246	5.325985397	0.000878995	0.229852414	-0.21103225
HIST1H4E	-0.66	12.87666667	-5.324998643	0.000879986	0.229852414	-0.211997578
SNORD12B	0.82	6.8	5.321760191	0.000883246	0.229852414	-0.215166889
HJURP	0.406666667	10.13333333	5.308689522	0.00089654	0.229852414	-0.227976851
ANLN	0.430701754	8.513421053	5.297215923	0.000908393	0.229852414	-0.239245872
G2E3	0.428333333	8.618055556	5.289563773	0.000916394	0.229852414	-0.24677421
PLK1	0.6225	9.547916667	5.263988958	0.000943703	0.232804363	-0.272008678
CCL20	0.468333333	5.395833333	5.25669078	0.000951661	0.232804363	-0.2792305
UBE2T	0.406666667	12.39666667	5.236595943	0.000973955	0.235352599	-0.299162844
CDCA3	0.514666667	11.85133333	5.221169361	0.000991461	0.235974234	-0.314512281
GPR126	-0.312307692	9.48974359	-5.194550445	0.00102249	0.235974234	-0.341095515
SLC45A1	-0.33	6.856666667	-5.173091561	0.001048284	0.235974234	-0.362615644
LRIG1	-0.256	8.340333333	-5.163510882	0.001060031	0.235974234	-0.372249664
HSPA4L	0.29	8.352592593	5.159374799	0.001065147	0.235974234	-0.376413741
HEXIM2	-0.266666667	10.775	-5.141851748	0.001087126	0.235974234	-0.394088638
CKAP2	0.390333333	9.1725	5.138848127	0.001090944	0.235974234	-0.397123693
PSRC1	0.667777778	9.080555556	5.124922198	0.001108837	0.235974234	-0.411216057
CHAC1	-0.4925	9.807083333	-5.123945228	0.001110104	0.235974234	-0.412205982
KDM5B-AS1	-0.373333333	8.823333333	-5.116025771	0.001120437	0.235974234	-0.420236646
SPACA4	0.37	5.401666667	5.110400852	0.00112784	0.235974234	-0.425947251
PTAFR	0.267777778	5.659444444	5.102454408	0.001138391	0.235974234	-0.434024234
CDCA8	0.608666667	9.503	5.067223264	0.001186496	0.235974234	-0.46996819
C12orf5	0.342	8.891666667	5.066606705	0.001187357	0.235974234	-0.470599175
WNT3	-0.288333333	7.754166667	-5.051234565	0.001209062	0.235974234	-0.486352679
ZNF497	-0.414444444	8.235	-5.046009194	0.001216539	0.235974234	-0.491717203
COX8C	0.416666667	5.545	5.037647471	0.00122861	0.235974234	-0.500311656
DEPDC1B	0.579393939	7.747878788	5.033563321	0.001234554	0.235974234	-0.504513981
DDIT3	0.402	10.76033333	5.029176181	0.001240974	0.235974234	-0.509031355
MCPH1	0.264722222	7.616805556	5.024407258	0.001247994	0.235974234	-0.513945715
RACGAP1	0.520833333	8.3175	5.02103907	0.001252979	0.235974234	-0.517419054
TRAIP	0.37	8.897222222	5.020511618	0.001253762	0.235974234	-0.517963154
TACC3	0.512380952	9.169047619	5.013178288	0.001264698	0.235974234	-0.525533066
TRIM13	-0.285714286	7.616666667	-5.005259077	0.001276626	0.235974234	-0.533718479
IGF2R	-0.335833333	8.66875	-5.001006741	0.001283082	0.235974234	-0.538118353
"APOBEC3B;APOBEC3A"	0.556666667	11.695	4.990961977	0.001298476	0.235974234	-0.548524385
WEE1	0.281794872	7.985769231	4.978068106	0.001318534	0.235974234	-0.561908293
GAS2L3	0.531428571	6.584285714	4.974775282	0.001323711	0.235974234	-0.565331004
FBXW7	0.335	7.228690476	4.96468348	0.001339717	0.235974234	-0.575832911
KCNN2	-0.336666667	11.01166667	-4.957489568	0.001351257	0.235974234	-0.583330243
SCARNA10	0.463333333	6.045	4.95269959	0.001359001	0.235974234	-0.588327366
NEURL3	0.7	7.006666667	4.952638948	0.001359099	0.235974234	-0.588390656
SNORD30	-0.53	7.405	-4.938091363	0.001382922	0.235974234	-0.603592608
CDCA2	0.417555556	8.607	4.93554087	0.001387146	0.235974234	-0.606261717
DEPDC1	0.635	9.260833333	4.931817193	0.001393338	0.235974234	-0.610160657
C2orf55	-0.287777778	6.018333333	-4.918050227	0.001416496	0.237863253	-0.624597106
BUB1	0.5755	7.88075	4.901317282	0.001445215	0.240646447	-0.642189398
CDR2	0.276	7.724666667	4.888750517	0.001467204	0.242272024	-0.655434503
HIST1H3I	-0.653333333	8.166666667	-4.870603222	0.001499609	0.24557651	-0.674611304
DHRS4L1	-0.31	8.251666667	-4.861566788	0.001516038	0.246231942	-0.684182406
OTX1	-0.231111111	6.458888889	-4.853764192	0.001530383	0.246540981	-0.692458459
C1orf96	0.443333333	9.0625	4.838117064	0.001559601	0.248188209	-0.709087993
DYNLL1	0.326666667	15.13	4.834913514	0.001565659	0.248188209	-0.712498103
PDCD4	-0.259666667	9.2205	-4.811041657	0.001611618	0.250564661	-0.737967311
C11orf82	0.313888889	8.064722222	4.807390033	0.001618778	0.250564661	-0.741872321
NUF2	0.669047619	9.253333333	4.794680181	0.001643973	0.250564661	-0.755482837
KIFC1	0.501333333	9.535333333	4.792888755	0.001647558	0.250564661	-0.757403549
CKAP2L	0.391666667	7.68	4.79068467	0.001651982	0.250564661	-0.759767496
SUOX	-0.353333333	9.191111111	-4.786518002	0.001660379	0.250564661	-0.764238762
CCDC18	0.53884058	7.84884058	4.782182785	0.001669167	0.250564661	-0.768894222
ITGB7	-0.34	7.078333333	-4.76122239	0.001712378	0.255118561	-0.791450777
ZNF812	0.606666667	8.553333333	4.751721246	0.001732368	0.256170727	-0.80170156
ASPA	0.251111111	5.175555556	4.737438578	0.001762902	0.258754882	-0.817141802
AURKAPS1	0.683333333	8.928333333	4.723006893	0.001794356	0.261434964	-0.832780579
