"Symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"SLC7A11"	4.43409301085563	8.27609545713333	43.3276704275302	1.40372005599194e-08	0.000205484180412153	8.89138571442824
"SLC7A11"	4.60042581689833	6.36730829429198	39.361683562527	2.46118903357917e-08	0.000205484180412153	8.66120423011061
"AKR1C3"	3.0001623830018	10.5218084732225	38.5805893137151	2.76721524997288e-08	0.000205484180412153	8.60951076598293
NA	3.33066807238753	8.7476211527459	35.0887860013159	4.81778157254225e-08	0.000245133944526453	8.34725436334653
"AKR1C2"	2.49044662605122	11.6108110152787	32.7429653587734	7.21712944112962e-08	0.000245133944526453	8.13729762282944
"HMOX1"	4.6445096665166	8.83028048472266	32.1309864913196	8.05757173710781e-08	0.000245133944526453	8.0772786858085
NA	2.62848405593005	7.59988134724757	31.9207584911653	8.37233508692603e-08	0.000245133944526453	8.0561175039255
"GPX2"	2.53520207280141	7.56302855338761	31.6475617347739	8.80312230646686e-08	0.000245133944526453	8.02819067392589
NA	2.56694011297901	7.82690241362774	30.8190102151516	1.02772954120386e-07	0.000254385899882204	7.9404353038052
"TRIM16"	2.46146378465347	9.79180882700866	26.7856134552379	2.32841076733279e-07	0.00051553216636689	7.43743013296169
NA	2.21331927759583	7.04436398705564	26.3786089267619	2.54560929659999e-07	0.00051553216636689	7.37859004326936
"AKR1C1"	1.83507631131927	12.0719648033101	24.3163271494674	4.0884973864332e-07	0.00075899546897977	7.05308479598049
"AKR1C2"	1.81210353079274	12.690112331668	23.7217305667778	4.72157535875293e-07	0.0007781331219965	6.94994115133185
"AKR1C1"	1.78911236530924	12.716535504037	23.2408584301244	5.31848416659365e-07	0.0007781331219965	6.86318534050105
"ME1"	2.03262593721734	10.107724119708	23.0841698419815	5.53173334359009e-07	0.0007781331219965	6.83424681033717
"EED"	-1.92843550920625	6.02700169550048	-22.8558421816462	5.86064335390818e-07	0.0007781331219965	6.79147207356306
"TXNRD1"	1.78010423024131	11.6782996014264	22.5878737032052	6.27624113736889e-07	0.0007781331219965	6.74033658221703
"ABCB6"	2.06416296422789	8.57906960387974	22.5809793751515	6.28737989672622e-07	0.0007781331219965	6.73900743663685
NA	2.38842793105846	7.87813803354776	21.3977020168037	8.59356196662562e-07	0.000967181633145365	6.50035946150331
"TANC2"	1.62639641452733	8.73413387001531	21.3594530495671	8.68323053503941e-07	0.000967181633145365	6.49228218228326
"GREB1"	2.19960672079354	6.46051470334578	20.9168391686432	9.8046195034564e-07	0.00104008337465952	6.39706863958904
"CALR"	-1.60607866185929	9.56413268948439	-20.2626829282864	1.17875166798829e-06	0.00115531241007808	6.25024816448539
"FECH"	1.560674938808	9.22950481114577	20.2212723030678	1.19280807253202e-06	0.00115531241007808	6.24069966556648
"ABCC3"	1.53476946670086	7.75391431870975	19.9781386295136	1.27940013289772e-06	0.00118754986502344	6.18400798032765
"GCLC"	1.49549315249995	9.3800668962749	19.827484358655	1.33674085090573e-06	0.00119114303742508	6.1483319151746
NA	2.44871617734236	8.17918622317994	19.622173812524	1.41979006031442e-06	0.00119210764910833	6.09902424159147
"GCLM"	1.86854144710983	9.58418423241945	19.5285913882987	1.4596355484759e-06	0.00119210764910833	6.07628179796104
"ZMYM2"	1.62305589861897	4.64509556801697	19.4404534500188	1.49836217511484e-06	0.00119210764910833	6.05470725961767
"FECH"	1.58317373460712	7.1138918171526	19.275615580964	1.5740591186416e-06	0.00120914879261996	6.01394910263078
NA	1.51207505218426	9.9805565077812	18.9994863849822	1.71111289703827e-06	0.00127061540024405	5.94445711436618
"WASL"	1.4074861008576	9.27770087201716	18.7859453014722	1.82671611187888e-06	0.00130934868444637	5.88964869354761
"AK4"	1.40290799067676	8.85856883695532	18.548009275313	1.9664308552078e-06	0.00130934868444637	5.82745426834691
"OSGIN1"	1.68527391103365	7.27058136138401	18.5268628576325	1.97944117930445e-06	0.00130934868444637	5.82186847064703
"ME1"	1.52420193763924	11.5226509931115	18.4963729498153	1.99837748669823e-06	0.00130934868444637	5.81379767780875
"NR1D2"	1.39656931659198	6.40201865403819	18.1256768018895	2.24639359846915e-06	0.0014297974340885	5.71405039960314
NA	1.49384814063152	8.37358801256601	17.9460924675016	2.37937781833859e-06	0.00147237221275358	5.66462717458197
"ABCC3"	1.4146065990379	9.58921984504473	17.7965511083103	2.49716882602046e-06	0.00150349810641237	5.62291022840593
"MOB1A"	1.41706429842044	9.35788362189169	17.6605691827859	2.61022783387068e-06	0.00153021172250361	5.58452530111122
"PIR"	1.52614192144193	9.46061063004348	17.4247200939471	2.82081387148096e-06	0.00155900329933307	5.51691291560633
"RGCC"	1.67258726244067	4.88383700918449	17.3775373571621	2.86528879742012e-06	0.00155900329933307	5.50322642249846
"EEF1D"	-1.72136653064395	6.54047746731021	-17.3593734974189	2.88262813451129e-06	0.00155900329933307	5.49794315133802
"GLRA3"	-1.42365052675102	5.94569103778658	-17.2640620124075	2.97564639969916e-06	0.00155900329933307	5.47008814180549
"G6PD"	1.55766570738445	9.13941945847425	17.2304785563048	3.00925357414921e-06	0.00155900329933307	5.4602201724099
"IFI6"	1.46930572867318	8.63008213789403	17.0684192780115	3.17778976435179e-06	0.00160890051319238	5.41220834807025
"CABYR"	1.44884252018286	6.38855878380351	16.9921684795177	3.2608861635999e-06	0.00161428357925589	5.38939057824235
"GCLC"	1.27584317377418	10.2818457088424	16.5416336682139	3.80698441408034e-06	0.00184365634331452	5.25151985400692
"FUT9"	-1.34705296450917	5.74260481743085	-16.2593356046071	4.20359998942989e-06	0.00197030730111692	5.16239241114309
"IER3"	-1.28980269725187	10.8294879560873	-16.1847696905951	4.31628465551077e-06	0.00197030730111692	5.1384871751432
"RPS11"	-1.20833539038221	8.66205413809665	-16.1733546107232	4.33384467184671e-06	0.00197030730111692	5.13481400791521
"AKR1B10"	1.45910711944235	5.66789432693546	15.6935030278213	5.1534513419905e-06	0.00229606871091045	4.9770723554657
"EGF"	1.84623894400922	5.7647128179892	15.6079918458573	5.31783603868173e-06	0.00232285163595515	4.94826318881911
"DHX9"	1.2957092306168	9.23176907622292	15.3773314769286	5.79267943475633e-06	0.00242105688172832	4.86946503376686
"IFI27"	2.17320409964125	9.06055970629316	15.3577080900629	5.83531304396736e-06	0.00242105688172832	4.86268709373475
"MTUS1"	1.15751644140169	6.73386416359112	15.3424563304725	5.86870187248415e-06	0.00242105688172832	4.85741099873341
"PHLDA1"	-1.17029434734474	5.71609049721866	-15.2711436928031	6.0278064123835e-06	0.00244148078997577	4.83264693410458
"SLC7A11"	1.40894078999848	5.04269255326859	15.0768027353187	6.48760059728866e-06	0.00258079068760356	4.76435972023525
"HSPA12A"	1.43902146000633	6.69519055166125	14.9332102270428	6.85371686230948e-06	0.00267860088669594	4.71313992750413
"ZFR"	1.40912235737775	7.4558377068664	14.7194557804293	7.44434760318564e-06	0.00279107534572268	4.63566299191913
NA	-1.18512076986961	8.68158687837229	-14.6888171301573	7.53378446314811e-06	0.00279107534572268	4.62443528985147
"ATP7A"	1.09899673071953	6.43034458919337	14.6524417823798	7.64159943782176e-06	0.00279107534572268	4.61106501371012
"RPL37A"	-1.22815059833958	7.43507991218872	-14.6109037355857	7.76692463413951e-06	0.00279107534572268	4.59574333411105
"TAF1D"	-1.18827327547876	6.75077847298749	-14.610566391186	7.76795221236281e-06	0.00279107534572268	4.59561866612513
"UNKL"	1.11289141127444	8.11673995690891	14.4553059707324	8.2581839079842e-06	0.00292012004632006	4.53783512099452
"SF3B1"	1.22587263891254	9.62636480608694	14.3523182537785	8.60329390318171e-06	0.00294980557396998	4.49905430899584
"BNIP3"	1.11217837783119	9.83823324175258	14.3512487240184	8.6069651348049e-06	0.00294980557396998	4.49864965914335
"FOS"	1.17479489654409	8.28478520182482	14.2203793374943	9.0702964741335e-06	0.00301784725408869	4.44883680052016
"AIMP2"	-1.10327680894752	6.35484856528127	-14.2186978864702	9.07643605619886e-06	0.00301784725408869	4.44819290520672
"CYP24A1"	-1.18381900280121	6.46038447776992	-14.1549346235527	9.31287563951451e-06	0.00305092545031566	4.42370207005622
"SYCP2"	1.07501368945202	8.81105038105233	13.9752298793207	1.00188789439146e-05	0.00312649251266848	4.35390270726945
