"Symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"ZFR"	1.80255826032699	7.65255565834102	24.593134299454	7.84753487740347e-07	0.00935445265953688	5.93758792913521
"MIS18BP1"	1.6535019625023	8.55233056231337	24.2889531316664	8.39830557035228e-07	0.00935445265953688	5.90039983011704
"GREB1"	1.94950391647072	6.33546330118437	20.0765634902435	2.36700381460076e-06	0.0103349234505846	5.27125493328013
"EEA1"	1.46339610412361	5.24676070330947	19.5107646017685	2.76429068719176e-06	0.0103349234505846	5.16724069454399
"CALR"	-1.46922507826749	9.63255948128029	-18.5074357838636	3.6804623673959e-06	0.0103349234505846	4.96877501688779
"MOB1A"	1.51363506412421	9.40616900474358	18.2051932629025	4.0238328888562e-06	0.0103349234505846	4.9052128609876
"ASCL1"	1.44564800294594	7.34458923079839	17.9294211509986	4.37052953377178e-06	0.0103349234505846	4.8455952150395
"PRLR"	1.30234399460947	7.400030987267	17.9146952433531	4.39001306039193e-06	0.0103349234505846	4.84236713585446
"DHX9"	1.45353912115429	9.31068402149167	17.7223223861441	4.65418849648055e-06	0.0103349234505846	4.79977381926816
"ASH1L"	1.17785331798077	6.02335426519221	17.1839112699462	5.49944210843732e-06	0.0103349234505846	4.67625841989746
"IGFBP5"	-1.18676627963664	10.7550630279617	-16.9690895336466	5.88641941028735e-06	0.0103349234505846	4.62513731573368
NA	1.19279315410843	10.7085383113499	16.9205314947971	5.97828797208444e-06	0.0103349234505846	4.61343179944713
"BRD3"	-1.19498571813961	7.05709391829299	-16.8930325648243	6.03106364670286e-06	0.0103349234505846	4.60677799231418
"EEF1D"	-1.63024605057432	6.58603770734503	-16.3551131579304	7.18282015765664e-06	0.0113800155560501	4.4729134473798
NA	1.16186629085627	4.86261828177518	16.0429792636014	7.96985132768226e-06	0.0113800155560501	4.39188410955594
"SF3B1"	1.21704812712054	9.62195255019094	15.9681172480268	8.17346361255114e-06	0.0113800155560501	4.37206969851304
"ASCL1"	1.34539275936666	5.79163048971367	15.651208080164	9.10625761200688e-06	0.0119052491031899	4.28651149245195
"MTUS1"	1.02616404103015	6.66818796340535	15.3321841968468	1.01746520127961e-05	0.0119052491031899	4.19755489825107
NA	-1.17499801727556	8.45586593256914	-15.0868939261694	1.1097450573748e-05	0.0119052491031899	4.12715529422124
"AIMP2"	-1.00635290214648	6.40331051868179	-15.0859764869718	1.11010827637906e-05	0.0119052491031899	4.12688863598245
NA	-1.28524753608666	10.16435581783	-14.8401480395329	1.21268664728147e-05	0.0119052491031899	4.05451891871676
"ALDOC"	1.01477119149273	7.23835220915648	14.6787487279234	1.2861211997383e-05	0.0119052491031899	4.0059913435724
"MAP3K2"	1.31717778444125	6.47535367717716	14.5933743445554	1.32707955387456e-05	0.0119052491031899	3.97999025117453
"DDX6"	1.06111681732838	6.93616133990604	14.5911944484161	1.32814531090656e-05	0.0119052491031899	3.97932331714285
"NR1D2"	1.20566365079804	6.30656582114121	14.5750960216305	1.33604716784014e-05	0.0119052491031899	3.97439333610662
"FHL1"	0.951703249128527	6.54049981754954	14.4138536506955	1.41832651274838e-05	0.0120255491900697	3.92455356079059
"PP14571"	-0.99272491475045	6.23711773966011	-14.1473019588622	1.5678201013328e-05	0.0120255491900697	3.84028828711927
NA	-1.05703934292251	8.74562759184584	-14.1144355627633	1.58750986645336e-05	0.0120255491900697	3.82973308857842
"EEF1D"	-1.05098970361117	6.10428354383012	-14.0243584420444	1.64298477608536e-05	0.0120255491900697	3.80061534051664
"SLC7A11"	1.21417084309543	6.66613437325323	14.0220389503141	1.64444313687897e-05	0.0120255491900697	3.79986187744064
"NFAT5"	0.938254563623055	6.16303018859722	13.916789193701	1.71225126316339e-05	0.0120255491900697	3.76547648306977
"WASL"	0.929454338870816	9.03868499102377	13.8761900143219	1.73928412280056e-05	0.0120255491900697	3.75210937240947
"ZFR"	1.56277868826855	7.92999645099762	13.8143924561642	1.78140289658527e-05	0.0120255491900697	3.73165141661114
"MARCKS"	-1.05345720604849	7.07602070112555	-13.6321483071499	1.91278923238515e-05	0.0125327075676012	3.6705269729248
"MUC1"	1.50739667026378	8.10389883759858	13.5230202261141	1.99692424123412e-05	0.0127101375205636	3.63334953732411
"CSNK1G1"	0.878856489380856	6.42964267346609	13.315677206519	2.16909711956222e-05	0.0131446358066289	3.56149645333243
"RPL27A"	-1.02087987288709	8.26153383622965	-13.29955733134	2.18320027313044e-05	0.0131446358066289	3.55584245592344
"MUC1"	0.991905489160126	6.44050831326235	13.1597553736068	2.31014861506602e-05	0.0133319930807141	3.50639025528562
"UGCG"	1.0523457176314	8.64040131640131	13.1344863317933	2.33401144744738e-05	0.0133319930807141	3.49737134436175
