"Symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"FOS"	1.64698403334329	8.52087977022443	21.6002005246347	1.36173624526965e-06	0.0155613499735915	5.09416968219571
NA	1.67671741812431	10.0628776907512	20.5649024496139	1.78576641922219e-06	0.0155613499735915	4.95887537353989
"GABRP"	1.81413914896927	5.91782490430922	19.2117142579888	2.5987094097302e-06	0.0155613499735915	4.75910826559973
"IFI6"	1.72433531118296	8.75759692914892	18.2691945995408	3.42761033416035e-06	0.0155613499735915	4.60227717022275
"MYC"	1.33971691949143	10.8187744134343	18.20681383429	3.49269425272513e-06	0.0155613499735915	4.59133037125095
"CYP4B1"	1.2404289187137	5.73282248260778	16.5408841290057	5.91566019354675e-06	0.0178670400104974	4.2696413378022
"ATP5C1"	-1.89265372248034	6.58913410997763	-16.329060312522	6.34870067482796e-06	0.0178670400104974	4.22431285127638
"BLNK"	1.1784101201088	6.50358710550595	15.2777133557431	9.13856645745826e-06	0.0178670400104974	3.98244366945063
"PROS1"	1.12724675369209	6.6897173707694	15.0539317905745	9.90597711985507e-06	0.0178670400104974	3.92707039115182
"IFI27"	2.12118365708731	9.03454948501619	14.9556441478835	1.02668258371657e-05	0.0178670400104974	3.90228947931289
"ABCA12"	1.18431661806588	7.63441815926717	14.9342386197733	1.03474489248962e-05	0.0178670400104974	3.89685471202518
NA	1.14464429525427	7.33916565990988	14.9223949533279	1.03923773430471e-05	0.0178670400104974	3.89384180139819
"STON1"	1.20986688357284	5.36390162516463	14.9134354898103	1.04265170416334e-05	0.0178670400104974	3.89155982546203
"BCL2"	1.09875972201168	6.3930254140549	14.4563004353844	1.23572525668377e-05	0.0196630368165317	3.77187788893981
"CYFIP2"	1.05595930470892	6.55254946303527	13.7195885058752	1.64304452796926e-05	0.0244014019663808	3.56477397640511
NA	1.01490679633529	7.13790811943174	13.3924680289292	1.87338216800206e-05	0.0260833340978636	3.46675063646397
"PCLO"	0.966458685289305	6.98623773576887	12.3226562155271	2.94182978201095e-05	0.0351268315893188	3.11719868188922
"CEP152"	-0.903755359241692	4.55254163358349	-12.2904953592462	2.98369422335021e-05	0.0351268315893188	3.10595176851154
"RPL37A"	-0.956390024931943	7.57096019889254	-12.2811735323652	2.99595906179942e-05	0.0351268315893188	3.10268332449441
"TRIM2"	0.887054654181875	4.69176178244803	12.0246741938493	3.35785065677046e-05	0.0354317043315031	3.01122218088882
"TYRP1"	1.02594177758344	7.23293461497884	12.0183244137349	3.36744036947404e-05	0.0354317043315031	3.00892010788504
NA	0.876211806459439	5.96457712403423	11.9332252072255	3.49911341425267e-05	0.0354317043315031	2.97788796702088
"VTCN1"	0.845554248904561	4.86511251785754	11.5565234376782	4.15963569826677e-05	0.0359737503310575	2.83639737222302
"IDS"	1.0055547680069	5.02812870339265	11.5203740137088	4.23039932953932e-05	0.0359737503310575	2.82245639542675
"N4BP2L1"	1.37192480062991	6.43494890330722	11.1112754406378	5.13820566175361e-05	0.0359737503310575	2.66005860234293
"BDH2"	0.886014889423484	8.18641675634708	10.9753672879017	5.48906539018703e-05	0.0359737503310575	2.60416573356567
"FHL1"	0.804875049788599	6.46708571787958	10.9512318748461	5.55427138066348e-05	0.0359737503310575	2.59413552098323
"COL5A1"	0.821534309075222	6.21089873825913	10.8775683395639	5.75897372777443e-05	0.0359737503310575	2.56332516826047
"GABBR2"	1.14306654096073	5.64243433512461	10.835021649004	5.88123190952184e-05	0.0359737503310575	2.54539330016875
"ZNF750"	0.79903976869443	6.18695550790595	10.7696728722724	6.07498781334555e-05	0.0359737503310575	2.51765477904701
"RAMP3"	-0.833579214728057	8.04517146483188	-10.7578606681759	6.11080362469461e-05	0.0359737503310575	2.51261531083981
"COL4A6"	0.857263756869792	5.52574534966419	10.7229124236751	6.21822832390725e-05	0.0359737503310575	2.49765915882045
"PDZK1"	0.92443419863747	6.76832827707014	10.681551432762	6.34823668394202e-05	0.0359737503310575	2.47986919568508
"GPLD1"	0.796188738743416	4.63399507737878	10.6063441069056	6.59288609388187e-05	0.0359737503310575	2.44727085938087
"PMP22"	0.839562419283332	7.18532278973123	10.552881617043	6.77352809123379e-05	0.0359737503310575	2.42389928601902
"DZIP3"	0.831274406403976	6.77216833441084	10.5484898582192	6.78862327522317e-05	0.0359737503310575	2.42197200826187
"RORA"	0.957907916680076	4.34024179346274	10.5466332436191	6.79501660937116e-05	0.0359737503310575	2.42115691399059
"PLEKHB1"	0.828941900680777	4.80764933950562	10.5455716699818	6.79867535462344e-05	0.0359737503310575	2.42069076967103
"CEP152"	-0.774715966394627	4.68282997179542	-10.5220171074631	6.88045369553177e-05	0.0359737503310575	2.41033086183854
"ARMCX2"	0.952856864048313	7.46829198647006	10.5102525557334	6.92172992513744e-05	0.0359737503310575	2.40514434520234
"FGFR2"	0.854547790538138	6.8144490272022	10.5084639611706	6.92803062679187e-05	0.0359737503310575	2.40435511500522
"DDX58"	0.845221651285899	6.88934502637288	10.4926017815104	6.98420350953326e-05	0.0359737503310575	2.39734758965115
"SFXN3"	0.818857729406118	7.76735680606984	10.4610592343672	7.09749872375017e-05	0.0359737503310575	2.38336881522106
"ASS1"	0.783269753992863	9.84016136530025	10.4427522220176	7.164241361489e-05	0.0359737503310575	2.37522868097403
"SOAT1"	0.763119927997367	7.12376477855899	10.3019311220756	7.70296550612411e-05	0.0359737503310575	2.31194371398074
"BHLHE40"	0.906036918784363	8.51689004120865	10.2869044488398	7.76320641801702e-05	0.0359737503310575	2.30512008881714
"ACTB"	-0.810990784183316	11.0642469598974	-10.2833525856602	7.77752611143348e-05	0.0359737503310575	2.30350517656918
"SKP2"	0.93595462096197	5.56817907936108	10.2732242072938	7.81852987604977e-05	0.0359737503310575	2.29889592164335
"BCKDHB"	0.778871486521184	6.83761305888953	10.2043006311944	8.10438277580896e-05	0.0359737503310575	2.26736312248309
"CXCL12"	-0.785111350163727	7.64194482792273	-10.1974570629425	8.13342808450759e-05	0.0359737503310575	2.26421621066117
"EIF1"	1.04575154638533	5.19733945640646	10.1451224950016	8.35962138731601e-05	0.0359737503310575	2.24005497880922
NA	0.849611105976909	5.18093996331757	10.0978846672008	8.57013346031173e-05	0.0359737503310575	2.21810013475939
"AZIN1"	-1.04093373205759	5.03061262660061	-10.0814110534227	8.64500232677516e-05	0.0359737503310575	2.21041072317314
"FOXN3"	0.74295366942598	7.04276947362921	10.0650483713874	8.72012621931635e-05	0.0359737503310575	2.20275615894941
"ID1"	-0.784187950362169	10.9167260575702	-9.94823810822256	9.27919949228267e-05	0.0371105401916446	2.14761722569731
"ADGRF1"	-0.820221552121668	5.24503270977307	-9.93826245663867	9.32886048719351e-05	0.0371105401916446	2.14286781666794
"CA4"	0.753793348513399	6.70251117223278	9.88454658563865	9.60167945101201e-05	0.0375257216017885	2.11718296511632
"SYCP2"	0.716141704175399	8.63161438841401	9.80970895292364	9.99750169929472e-05	0.037733889373302	2.08108472162679
NA	0.900146156425875	8.37839140300965	9.8052356256125	0.000100217602713572	0.037733889373302	2.07891533508289
NA	0.725178340202724	7.72628325662788	9.77552656484774	0.000101846301613273	0.037733889373302	2.06447404051804
"F8"	0.93815626439044	5.94567049453111	9.70410764171764	0.000105889998091971	0.037733889373302	2.0295177429978
"AHNAK2"	0.748655091373108	6.27141469647283	9.69513820863702	0.000106411007142048	0.037733889373302	2.02510348268141
"HMGN5"	0.728067688175591	6.30816587455519	9.68997078493118	0.000106712529986893	0.037733889373302	2.02255790483627
