"Symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"RGCC"	2.56758077934173	5.33133376763502	36.563985227456	1.24464293866064e-07	0.000896420289896181	8.12272629476611
"CA4"	2.33547219756362	7.49335059675789	31.3742059416298	2.81564685955308e-07	0.000896420289896181	7.57414137471082
"STON1"	2.32548746341422	5.92171191508532	30.2092724540548	3.44459223150847e-07	0.000896420289896181	7.42766583708541
"SRSF6"	-2.12169899403455	8.62514083220919	-29.3864392912145	3.99045652047585e-07	0.000896420289896181	7.31812671467914
NA	2.60314752458616	6.00451529832843	28.5668136843078	4.63919412744183e-07	0.000896420289896181	7.20365940690947
"SFPQ"	-2.00435907641987	10.7833526754822	-28.511986291352	4.68688937990158e-07	0.000896420289896181	7.1958035039615
"SAT1"	1.94541001219992	8.91318891270657	28.2056355853928	4.96434505250739e-07	0.000896420289896181	7.15143581522071
"ZNF750"	2.10796082014685	6.84141603363215	28.1420667530506	5.02433296818765e-07	0.000896420289896181	7.14212788657529
"FAM120A"	2.40579776907473	4.71436258095933	27.8255948055474	5.33608347846948e-07	0.000896420289896181	7.09526112279741
"ADCY1"	-1.87099901925174	9.76356971562436	-27.4349369792279	5.75312281448593e-07	0.000896420289896181	7.03617138661136
"SENP6"	1.92697085574029	7.84398703806127	27.4112498862344	5.77962922197803e-07	0.000896420289896181	7.03254379090531
"PDS5A"	1.8506636816199	8.46637967251791	27.1113827735971	6.12803110681014e-07	0.000896420289896181	6.98616962868287
"RRAGD"	2.24060232104287	9.03785971685731	26.830112881038	6.47767297504562e-07	0.000896420289896181	6.94190058631972
"RUFY3"	2.43841252113651	4.89686661073384	26.7121274901449	6.63134874687041e-07	0.000896420289896181	6.92310468396508
"RORA"	2.48286249760211	5.10271908392375	26.5876434918392	6.79819837766222e-07	0.000896420289896181	6.9031266039542
"GDF15"	2.49988037162653	9.65913418596099	26.1092006467018	7.48757409826283e-07	0.000896420289896181	6.82491214476796
"E2F8"	-1.80936671383118	8.17025522544585	-25.9203712062707	7.78226065733874e-07	0.000896420289896181	6.79340495738593
"MPHOSPH8"	-1.79858718376343	7.50028411692003	-25.8862058983765	7.83703705223122e-07	0.000896420289896181	6.78766501185468
"PDS5A"	2.24115737771856	8.25523686946902	25.301053883803	8.85009266498755e-07	0.000896420289896181	6.68744750310532
"DNAJB6"	-1.76477801700741	8.05929823656136	-25.2010495483947	9.0383904824679e-07	0.000896420289896181	6.66995211709696
"ICA1"	2.49986751115998	5.58909318180475	25.176820867867	9.08472283288693e-07	0.000896420289896181	6.66569693077253
"LGALSL"	1.8750353990179	6.54453008289901	25.0102261371182	9.41103769672335e-07	0.000896420289896181	6.63626326602537
"BLNK"	1.74530508812421	6.78703458951365	24.2942164446427	1.09817715830638e-06	0.000896420289896181	6.50618852603461
"GCFC2"	1.92237737958841	8.86473514682572	24.2756296764198	1.10265168832042e-06	0.000896420289896181	6.50273286900989
"NR1D2"	1.71295552304234	6.56021175726336	24.2047314216656	1.11991916927365e-06	0.000896420289896181	6.48951389260846
"MYB"	2.82248280470794	6.37750550437481	23.8474052353267	1.21198450275093e-06	0.000896420289896181	6.42197348273223
"SAT1"	1.7326582033957	10.4957899127938	23.8467475470763	1.21216204977116e-06	0.000896420289896181	6.42184774136668
"SUN1"	1.71980125891459	7.64466557104745	23.6836464718523	1.25715993677102e-06	0.000896420289896181	6.39050064393248
"ZFR"	1.64120964678801	7.57188135157153	23.2501927850772	1.38671260673473e-06	0.000896420289896181	6.30557579129946
"PRLR"	1.69520844580376	7.59646321286414	23.2199269550107	1.39633561364977e-06	0.000896420289896181	6.29955658108951
"SLC35F5"	1.81466565219209	6.75830470127903	22.9583560357734	1.48288550671645e-06	0.000896420289896181	6.24703988037798
"SAT1"	1.6226664833137	10.3164543147056	22.865724848139	1.51505010027075e-06	0.000896420289896181	6.22822641127568
"MTMR12"	1.57272743770667	5.45370850805397	22.6898162218823	1.57843694561754e-06	0.000896420289896181	6.19218422947526
"SFPQ"	-1.93651243317897	9.77825556672252	-22.5680603287084	1.62415438882844e-06	0.000896420289896181	6.16699309726941
NA	1.65112601925705	5.58169741995764	22.5016690300969	1.64974398880545e-06	0.000896420289896181	6.15317171269373
"ZMYM5"	1.70630718914706	6.0479681685561	22.4437115663758	1.67247427381242e-06	0.000896420289896181	6.14105663415363
"USP33"	1.83763760289882	7.84579333219252	22.4366101510264	1.6752848191661e-06	0.000896420289896181	6.13956901470744
"PPFIA1"	1.81372637368428	8.07161607171736	22.4349093709169	1.67595877180712e-06	0.000896420289896181	6.13921262838798
"CCDC93"	1.5264262705822	7.35480518874105	22.4056849282184	1.68758962136943e-06	0.000896420289896181	6.13308261100237
"PSMD12"	-1.55659719669239	8.92083051731471	-22.3686830276046	1.70245328705466e-06	0.000896420289896181	6.1253042571465
"BLZF1"	2.0703629487906	4.82949945450236	22.2184922146473	1.76440021113326e-06	0.000896420289896181	6.09353604649749
"CXCL12"	-1.57223950082449	7.24838075259235	-22.1990385571736	1.77261787367048e-06	0.000896420289896181	6.08939810034432
"FBXO22"	1.50274295954902	6.19795463922899	22.152594225324	1.79242110333427e-06	0.000896420289896181	6.07949744151229
"GID4"	1.76070274041869	6.97450027505002	22.1063446476772	1.81240234600152e-06	0.000896420289896181	6.0696079671988
"LCMT2"	-1.4972114946077	8.04265650160648	-21.9465324595949	1.88350785526843e-06	0.000896420289896181	6.0352008605437
"GRB10"	1.50267425216968	7.30848404883941	21.898781962691	1.90539163237985e-06	0.000896420289896181	6.02484914645996
"N4BP2L1"	2.29922093038218	6.89859696818336	21.8945382978916	1.9073510183663e-06	0.000896420289896181	6.02392757846437
"CFAP44"	-2.29494160884427	5.8462956571462	-21.8426422576506	1.9315066622533e-06	0.000896420289896181	6.01263655163946
"KMT5B"	-1.49580342990622	8.8128667615869	-21.4469590047532	2.12810159013443e-06	0.000918187289969843	5.92524694799623
"DNAJA1"	-1.67956338168916	9.12289931662237	-21.343538116286	2.18333643867965e-06	0.000918187289969843	5.9020203130826
"RET"	-1.56190096860658	8.13811097454476	-21.3227906285107	2.19462084231387e-06	0.000918187289969843	5.89734123606021
NA	-1.64790806241669	8.77282934973159	-21.0892749084272	2.32651655425051e-06	0.000918187289969843	5.84422260123285
"WHSC1L1"	1.9506443888739	6.0927364506295	21.0538187695369	2.34735464175701e-06	0.000918187289969843	5.83608354860889
"CYP26B1"	-2.22745257503625	8.66146445422994	-21.0469929769239	2.35139160134881e-06	0.000918187289969843	5.8345144198688
"DBP"	1.86814389390827	7.17800934470536	21.0238401420687	2.36514622486e-06	0.000918187289969843	5.82918657266767
"NRP1"	1.41756943247681	7.98081719314681	21.017731668523	2.36879102264593e-06	0.000918187289969843	5.82777951518115
"WDR59"	1.88020827672179	5.98836040995111	21.0029679874651	2.37762771534462e-06	0.000918187289969843	5.82437635981948
NA	1.58451640456157	8.29092326333243	20.9814518910445	2.39057605684118e-06	0.000918187289969843	5.81941059561802
"RHOQ"	1.41667770511126	7.947651886986	20.6834233156224	2.57881340118589e-06	0.000967175023155891	5.74987354121637
"RXRA"	1.62812974214206	7.62813541875207	20.6440838693001	2.60495135742485e-06	0.000967175023155891	5.74058847336231
"PRKAB2"	1.4895385978706	6.95116849202114	20.4136891723824	2.76448864962348e-06	0.000980028745998843	5.68570348045413
"ORC5"	1.50497036958149	5.84112234717226	20.3963904390873	2.77692776086094e-06	0.000980028745998843	5.6815473359864
NA	-1.78817167625497	9.91289374774585	-20.3860137969421	2.78442117702242e-06	0.000980028745998843	5.67905189461102
"HSPA13"	1.38134506570997	8.98483625916787	20.2608450816239	2.87672508700183e-06	0.000980028745998843	5.64880931547332
"IDS"	1.44927061127213	5.24998662502527	20.2332848526989	2.89753321422326e-06	0.000980028745998843	5.64211515399121
"BHLHE40"	1.6237120842247	8.87572762392882	20.2253880451949	2.90352817865618e-06	0.000980028745998843	5.64019472810984
NA	-1.41199027357738	7.71822738772417	-20.1050575131961	2.9967219493061e-06	0.000996387684547642	5.61080118504959
"WSB1"	1.37480705237938	11.1108562061693	20.0284133179439	3.05792992824285e-06	0.00100178683840391	5.59195070199411
"HNMT"	1.72302503849906	8.37661068283989	19.9713349962913	3.1044760960234e-06	0.00100229585494367	5.57784699935244
"HDAC4"	-1.93856381768998	6.39922155800411	-19.8033539941839	3.24641104978763e-06	0.00102498911116611	5.5360128787288
"DIDO1"	-1.6150961795396	7.09537108059642	-19.7580409339358	3.28600582617528e-06	0.00102498911116611	5.52464375545719
"PCIF1"	1.43254208014783	6.44013017015227	19.6442209032431	3.38801251457871e-06	0.00102498911116611	5.49592645435767
"CYP4B1"	1.66746041562318	5.94633823106252	19.5792753756176	3.4478975546143e-06	0.00102498911116611	5.47943733594044
"POLA1"	-1.32711172106682	7.61368712766957	-19.5677992891446	3.4586093505896e-06	0.00102498911116611	5.47651582175193
"GLA"	-1.37746481826671	10.008375607271	-19.537781486647	3.4868149505246e-06	0.00102498911116611	5.46886290468419
"BMP7"	1.32236105597899	7.88149213278687	19.5262060946187	3.49776425968852e-06	0.00102498911116611	5.46590748334121
