"Symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"EED"	-2.08483286597236	5.94880301711743	-21.7033732751902	4.71391487338107e-07	0.00395564851234659	6.25089170909742
"ATP5C1"	-1.76031128318315	6.65530532962622	-21.5281790044456	4.95240709715233e-07	0.00395564851234659	6.22335545993005
"GABRP"	2.08532855479498	6.05341960722208	21.2718854258417	5.32699445034779e-07	0.00395564851234659	6.18225803619174
"FOS"	1.75233283667761	8.57355417189158	19.5687295248473	8.84859322147999e-07	0.00492800277987274	5.88243274249289
"IFI6"	1.69294147612158	8.74190001161823	18.6121580430151	1.19947229662836e-06	0.00532063197529534	5.69117944084529
NA	1.68878257277552	10.0689102680768	18.0738940296854	1.43303819418108e-06	0.00532063197529534	5.57535842585481
"IFI27"	2.40177922995166	9.17484727144837	16.9065905805226	2.14667193038707e-06	0.00683163008474752	5.30154432732616
"MYC"	1.34583120574814	10.8218315565627	16.3741519282099	2.60455778791423e-06	0.00725271673017067	5.16535199485855
"ANKRD36"	1.12161242180017	6.9419069954481	13.707183906105	7.58802395455736e-06	0.0134191641386437	4.35419547467338
"MIS18BP1"	1.60479761600948	8.52797838906696	13.5835330106847	8.01104073477128e-06	0.0134191641386437	4.31054660147303
"MTUS1"	1.3941844926569	6.85219818921872	13.5821736698087	8.01584055244052e-06	0.0134191641386437	4.31006338801182
NA	-1.18664008470725	7.24040272236871	-13.4418904853946	8.52957131417606e-06	0.0134191641386437	4.25979769120009
NA	-1.2719770257071	8.40737642835337	-13.2453138074762	9.3149595350713e-06	0.0134191641386437	4.18801242347477
"RPL27A"	-1.07657770657853	8.23368491938393	-13.1713499082399	9.63191819881685e-06	0.0134191641386437	4.16058703916818
"RAPGEF2"	1.29203114824022	4.78098368644289	13.0475858956281	1.01906368334691e-05	0.0134191641386437	4.11417844656524
"PLEKHB1"	1.15032195795669	4.96833936814358	13.0123080658362	1.03567029821998e-05	0.0134191641386437	4.10083010300307
"BCL2"	1.08558389073281	6.38643749841546	13.0080560905016	1.03769293402926e-05	0.0134191641386437	4.09921762807395
NA	-1.12608328226948	8.71110562217236	-12.912694219738	1.08427954614888e-05	0.0134191641386437	4.06284754416846
"STON1"	1.10484747344184	5.31139192009913	12.423567060735	1.36486390448179e-05	0.0150671358394013	3.86992070760345
"MOB1A"	1.33741300906764	9.31805797721529	12.127783817071	1.57516890565698e-05	0.0150671358394013	3.74785037108056
"PRLR"	1.39722920196709	7.4474735909458	12.0969102349557	1.59920689810557e-05	0.0150671358394013	3.73486460576605
"ZNF814"	-0.995837527155528	5.13700797708112	-12.0085236145614	1.67040495715383e-05	0.0150671358394013	3.69742779763003
"RPL37A"	-1.1288637254016	7.48472334865771	-11.8358694408822	1.82032995983578e-05	0.0150671358394013	3.62316920751375
"DLG1"	1.07897166534955	6.66351491836857	11.7980745224155	1.85519167299546e-05	0.0150671358394013	3.60671129207759
"RPS11"	-0.965156722259923	8.78364347215779	-11.6203130123708	2.02987090356046e-05	0.0150671358394013	3.52831092596475
NA	0.984833094609024	7.25926005958726	11.6180377437396	2.03222688771264e-05	0.0150671358394013	3.52729669882298
"KMT2A"	1.08185385724032	8.04637105322747	11.5185842207618	2.13836589816562e-05	0.0150671358394013	3.4826952389273
"SF3B1"	1.23636339142509	9.63161018234321	11.4864995080386	2.1739645673725e-05	0.0150671358394013	3.46819342950127
"BLNK"	0.963623130672469	6.39619361078778	11.41467451946	2.25616786391407e-05	0.0150671358394013	3.43552786529731
"ABCA12"	0.983748596771334	7.53413414861989	11.3680233262958	2.31148448695014e-05	0.0150671358394013	3.41416064915922
"CALR"	-1.56051051123251	9.58691676479778	-11.2567788192494	2.4498368608308e-05	0.0150671358394013	3.36272436702651
"GREB1"	1.56603901053357	6.14373084821579	11.2031132225598	2.51998707078223e-05	0.0150671358394013	3.33766445654811
"CEP152"	-0.923649628968506	4.54259449872008	-11.1397828733954	2.6057764624063e-05	0.0150671358394013	3.30788270493066
"ZFR"	1.43358368847109	7.46806837241307	11.0663858980663	2.70945639125786e-05	0.0150671358394013	3.27308153956942
"EEF1D"	-1.40387105124792	6.69922520700822	-11.0370540375635	2.75221762622596e-05	0.0150671358394013	3.25908739682966
"PROS1"	0.910492345993145	6.58134016691992	10.9891537493308	2.82373633454638e-05	0.0150671358394013	3.23612736278287
"CEP350"	0.948850516908537	6.76115731750102	10.9701896744718	2.85264270010086e-05	0.0150671358394013	3.22700047837733
"NR1D2"	0.950955545830217	6.1792117686573	10.9566472065076	2.87349434868552e-05	0.0150671358394013	3.22047002131702
"MCL1"	-0.987753216380138	6.9121987305283	-10.9552139674685	2.87571142473846e-05	0.0150671358394013	3.21977825669702
"AIMP2"	-0.890022320943791	6.46147580928313	-10.8855060682697	2.98596671897093e-05	0.0150671358394013	3.185987616874
"IER3IP1"	-0.886311782266791	6.82864283647367	-10.8819346591263	2.99174573485788e-05	0.0150671358394013	3.18424867920007
"CYFIP2"	0.920748345189168	6.4849439832754	10.8421931886359	3.05693220795336e-05	0.0150671358394013	3.16484734134749
"TANC2"	1.35491471498877	8.59839302024604	10.807917947827	3.11447289233002e-05	0.0150671358394013	3.14803907512339
"LGALS3BP"	0.9152067793606	7.43001474571284	10.7853438479073	3.15305322117261e-05	0.0150671358394013	3.13693056971262
"JUN"	-0.954615216594794	5.6333309396736	-10.7539012855598	3.20771374141489e-05	0.0150671358394013	3.12140696051638
"BRD3"	-1.07671758088778	7.1162279869189	-10.6835186951967	3.33408316859757e-05	0.0150671358394013	3.08644148921499
"CYP24A1"	-0.897899608977058	6.603344174682	-10.6726561300116	3.3540943750505e-05	0.0150671358394013	3.08101822401344
"PARD6B"	-1.01112341715726	6.69996695755176	-10.6487997416067	3.39853179489089e-05	0.0150671358394013	3.06908231490188
"MARCKS"	-1.01711342075274	7.09419259377343	-10.6444174514287	3.40676842479494e-05	0.0150671358394013	3.06688596153178
"NFAT5"	1.11527665543943	6.2515412345054	10.6323105015969	3.4296438329474e-05	0.0150671358394013	3.06081196907965
"EEA1"	1.47025372608846	5.2501895142919	10.6219266680858	3.44940489208361e-05	0.0150671358394013	3.05559527541966
"TAF1D"	-1.03825666363197	6.82578677891089	-10.5537438302323	3.58247595325093e-05	0.0153474647712636	3.02117570524581
"FCMR"	0.917615141728566	5.16266456179456	10.51935209515	3.65184125871724e-05	0.0153494467397064	3.00370471313847
"MCL1"	-0.907282967517322	5.48862140954157	-10.4827465786425	3.72738118358553e-05	0.0153768278938398	2.98502778793535
"ATP6V0E1"	-1.15161017959971	8.93788520290247	-10.4084900540352	3.88622959102839e-05	0.0154695330944288	2.94688091473199
"PDZK1"	1.01363944378855	6.81293089964568	10.4025272260225	3.89932064472586e-05	0.0154695330944288	2.94380253000804
"EBP"	-1.26279182383147	6.62793221461458	-10.3760007986175	3.95817832913965e-05	0.0154695330944288	2.9300804335167
"GNL3L"	-0.868807858289593	6.85395627647548	-10.289416892839	4.15755451088135e-05	0.015512447768137	2.88497624489483
"EIF5"	0.917929108543973	7.34749677508159	10.2725557880277	4.19771580766544e-05	0.015512447768137	2.87613640323839
"ZNF467"	-0.845950951788129	5.22853743310121	-10.2673880413948	4.21011433152258e-05	0.015512447768137	2.87342338636768
"NBN"	0.917383985456508	10.564677142837	10.2322367734227	4.29558016626818e-05	0.015512447768137	2.85492309859732
NA	0.873589070685505	10.8460519076077	10.2036169654982	4.36664660897884e-05	0.015512447768137	2.83980062229407
"SYCP2"	0.874316793207212	8.71070193292992	10.1955330466631	4.386965073361e-05	0.015512447768137	2.83551939763963
"EIF1"	1.04382379098033	5.19637557870396	10.1508290009504	4.50131574199555e-05	0.0156680954350679	2.81176638370746
"C19orf66"	0.900614180588302	5.98661065868781	10.1153962376073	4.59439857672114e-05	0.0157460641682487	2.7928454487368
"N4BP2L1"	1.10764462109529	6.30280881353991	10.001043047896	4.91031664922616e-05	0.0163713084054403	2.7312077342978
"IL6ST"	1.12060948802464	4.30962882605411	9.99634847147035	4.9238122869529e-05	0.0163713084054403	2.72865843155616
"CLU"	0.924494791107882	9.27508737388145	9.96978882461147	5.00097484642349e-05	0.0163833406843788	2.71420746097798
"MSMB"	0.947039867849407	9.51535062501518	9.93091201937784	5.11645147997817e-05	0.0165187231332571	2.69296789676671
"NRIP1"	1.16543279926553	10.218942084258	9.89358103423124	5.23024065892209e-05	0.0165472503283205	2.67247515743197
NA	-0.801832168004466	6.79833177320372	-9.83718478309815	5.40772565154765e-05	0.0165472503283205	2.64133376985514
"MUC1"	1.15064905443527	7.92552502968433	9.82013051865333	5.46275839741727e-05	0.0165472503283205	2.63187300996801
NA	-0.955545522024263	10.3292068248612	-9.81269856886234	5.48694260402034e-05	0.0165472503283205	2.6277438173632
"COL4A3"	1.09492600816071	5.10914954805465	9.80971533229074	5.49668503072999e-05	0.0165472503283205	2.62608524325714
"CTTN"	-1.01580033058663	7.18165791846079	-9.7642986803462	5.64749521774175e-05	0.0167186723009618	2.6007580330375
"H2AFX"	-0.842740828831952	7.09968458821322	-9.74772146126151	5.70372624174303e-05	0.0167186723009618	2.59147732407966
"ATRX"	0.939263704057511	9.44138374632747	9.7041275289955	5.85470804608483e-05	0.0167751703487408	2.56697846482506
NA	-1.21322873421426	7.09202602720875	-9.66322040142404	6.00059006134321e-05	0.0167751703487408	2.54386641438724
NA	0.793959037066596	5.29010223807736	9.65474504648235	6.03133637047999e-05	0.0167751703487408	2.53906295568967
"ID1"	-0.853989004966282	10.8818255302681	-9.62260023024192	6.14961182460215e-05	0.0167751703487408	2.52079774043994
"HNRNPH1"	-0.899034678704156	11.5636014828343	-9.6135397964708	6.18343094217082e-05	0.0167751703487408	2.51563599334962
"SLC16A6"	0.843410732225708	7.97650775851918	9.6097574349863	6.19761245644091e-05	0.0167751703487408	2.51347941904938
NA	-0.84535468095843	4.42896137319096	-9.59133316346701	6.26723058772804e-05	0.0167751703487408	2.50295971327823
"KLHL24"	1.41559550921094	6.55097682763229	9.57611302665232	6.32542222603684e-05	0.0167751703487408	2.49425089783501
"MED18"	-1.11197430558948	6.68600968801745	-9.5041918887778	6.60896792860325e-05	0.0173209386524111	2.45286967862021
