"Symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"MSMB"	-2.53176728149599	7.83798747349697	-28.2796830744321	4.3961459646016e-07	0.00361026696592014	6.69070609634103
"IFI27"	-3.01180022943522	9.62620449646702	-28.0769988755602	4.56941433823241e-07	0.00361026696592014	6.66812179233581
"GABBR2"	2.34224223306334	6.05803684752737	26.8301030138533	5.83246744815779e-07	0.00361026696592014	6.52177233720534
"IFI6"	-2.53344418805087	9.18009085824482	-25.6409235956891	7.43993433511133e-07	0.00361026696592014	6.36933708238002
"MSMB"	-2.75724082106147	7.69350639308562	-24.0934353045166	1.03900982871321e-06	0.00361026696592014	6.14974967864316
"NUSAP1"	2.056916402022	8.72602634621026	23.207857148769	1.27002105490949e-06	0.00361026696592014	6.01200783587171
"DEPDC1"	2.17959069221423	8.08440214779137	22.6848392212122	1.43501048833056e-06	0.00361026696592014	5.92612644167482
"TNS3"	2.49159830957518	7.82909550098082	22.1405305988323	1.63436613793409e-06	0.00361026696592014	5.8329440105873
"SERPINA3"	-1.88802872816698	11.0440946762428	-21.8901982311545	1.73696336431358e-06	0.00361026696592014	5.7887286594881
"AOX1"	1.9089545562971	5.62904655257957	21.6625985803961	1.83691677468347e-06	0.00361026696592014	5.74775952210746
NA	-1.83682085623222	5.52409152696759	-21.3124061925754	2.00433170991838e-06	0.00361026696592014	5.68325282017312
"EPAS1"	1.84555025503525	9.33660092893568	20.977292439833	2.18169486141919e-06	0.00361026696592014	5.61980330901488
NA	-1.81688779436316	9.55986567207639	-20.9675562342666	2.1871193108068e-06	0.00361026696592014	5.6179341402238
"NT5E"	1.76472131700884	8.39891414552575	20.8241839113529	2.26887541064246e-06	0.00361026696592014	5.59023825219121
"MYO6"	1.909172065112	9.56705271741104	20.4258374147814	2.51572710850267e-06	0.00361955729963259	5.5115741111834
"AMIGO2"	-1.68596948745154	11.879014837928	-19.8231007685466	2.9524541417949e-06	0.00361955729963259	5.38756420620916
NA	-1.81725133780133	8.58245506956109	-19.3370671357052	3.37103027474147e-06	0.00361955729963259	5.28296459967665
"PIK3R1"	2.03580059107435	6.64993562128446	18.9584016709093	3.74635900604762e-06	0.00361955729963259	5.19847568335375
NA	-1.75304395333419	5.57041608781136	-18.8409400039424	3.87268787567298e-06	0.00361955729963259	5.17171531600761
"ISG20"	-1.61101999664538	9.36788058954008	-18.7664840160161	3.95537464191725e-06	0.00361955729963259	5.15461447916222
NA	-1.78214772654221	8.04697395187427	-18.6143492642979	4.13091019721815e-06	0.00361955729963259	5.11933528991954
"SCNN1A"	1.85999092269403	7.04059910208669	18.5138726347045	4.25189919220097e-06	0.00361955729963259	5.09578403380522
"SULF1"	1.5860476034709	6.90073645135397	18.428814752926	4.35760757675259e-06	0.00361955729963259	5.07568870891791
"PTGER4"	-1.59180747740425	9.68320090243172	-18.4070333819857	4.38517492678211e-06	0.00361955729963259	5.07051926142633
"IGFBP3"	1.72481471159314	6.28164358602773	18.3522080325619	4.45548186560853e-06	0.00361955729963259	5.05746471870782
"S100A7"	-1.58289447482591	5.23128534807571	-18.1627159702581	4.70896437975889e-06	0.00361955729963259	5.01186975235391
NA	-1.82156686702222	5.84443183289751	-18.0586070402825	4.85547914202861e-06	0.00361955729963259	4.98650196307257
"RBM3"	1.83915455641181	10.8828952908197	17.8935725263624	5.09893540774315e-06	0.00361955729963259	4.94581962519279
NA	-1.73678524302643	7.42253974835771	-17.8555177000357	5.15710406735108e-06	0.00361955729963259	4.93635626568084
"ABCA12"	-2.38707705130751	5.92323089815597	-17.835105072538	5.18862894501707e-06	0.00361955729963259	4.93126726421194
"TGFBI"	1.57382687981423	9.73109204875407	17.8200395460721	5.21204204664759e-06	0.00361955729963259	4.92750555917772
NA	-1.51823031753824	5.5019934008012	-17.744464708448	5.33139381239766e-06	0.00361955729963259	4.90856104733932
