"Symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"TNFRSF11B"	-4.39174559158349	5.8235974763851	-50.6909104721239	2.74574213111169e-08	0.00034294189630762	8.85427577928685
"SLC7A11"	5.92615917833401	7.44663722696619	47.2639153995827	3.96720525313525e-08	0.00034294189630762	8.68636110026623
"HMOX1"	5.8927020750922	10.0314628747217	43.5820817916639	6.0757464731239e-08	0.00034294189630762	8.47353013980632
"CYP26B1"	-3.71038076389238	7.89998568566864	-43.4709965590539	6.15777521762572e-08	0.00034294189630762	8.46650866819972
"EMP1"	3.00055440429204	5.60196366360258	36.3218055482993	1.58218778803408e-07	0.000597603016438942	7.92177873816621
"ARMCX1"	-3.45118012466877	6.81078452999978	-36.2033111678626	1.60956057756146e-07	0.000597603016438942	7.91095031242505
"OSGIN1"	2.87171951495887	7.90158514463014	33.9527801569028	2.25414557821227e-07	0.00071736572922621	7.69165494387732
"GDF15"	2.54443002357452	10.0039724169155	31.2016882725325	3.51116875103709e-07	0.000773765456843461	7.38399840667375
"TRIM16"	2.79539818569346	10.1653223551915	30.1336914663683	4.21444842321914e-07	0.000773765456843461	7.25106839370452
"AMIGO2"	-2.42314509009989	11.5104270366038	-29.4862209532656	4.72254168099958e-07	0.000773765456843461	7.16639787353252
"AHNAK"	2.95465263178771	8.56549989933686	29.3631609975552	4.82717399053372e-07	0.000773765456843461	7.14994087926618
"EPAS1"	2.64959023990799	9.73862092137205	29.2242363311377	4.94862549087696e-07	0.000773765456843461	7.13121930513159
"SLC7A11"	5.4145498562689	8.92624424474526	29.1665084558198	5.000158964869e-07	0.000773765456843461	7.12339491575845
"TXNIP"	-3.09501683036076	8.12267473718193	-28.8566072522027	5.28796606390783e-07	0.000773765456843461	7.08093442477331
"GCLM"	2.51043333921623	10.169963980831	28.6294984635724	5.51143627274394e-07	0.000773765456843461	7.04932138289687
NA	2.33327737580647	8.21104503781408	28.5841309913317	5.55741226803222e-07	0.000773765456843461	7.0429553072885
"SLC1A4"	3.37812226790522	7.29203014894982	27.0092834134301	7.47744092041919e-07	0.000941069593727423	6.8109328217706
"DNAJC12"	-2.41189806766891	8.46571933195771	-26.654043475174	8.01401249098121e-07	0.000941069593727423	6.7554770507912
"CREM"	2.26581574897024	8.20885515450731	26.4429407466084	8.35455779777024e-07	0.000941069593727423	6.72194807416327
"CDH11"	-2.32314707122241	5.92948621082056	-26.3863225373148	8.44880005142006e-07	0.000941069593727423	6.71288155005852
"BCL6"	2.37249698381043	8.61214730880281	25.8563743875306	9.39506465336489e-07	0.000953664331307239	6.62646945006589
"SLC1A4"	2.4742484290094	7.69384785892954	25.8442947922485	9.41806135869249e-07	0.000953664331307239	6.62446663281422
"ASNS"	2.18385981989691	10.6734244862444	25.2493768182098	1.06381754768287e-06	0.00103037667433614	6.52394428460279
"ELF3"	2.07833979788373	8.61612554882063	24.9821620729984	1.12468683788079e-06	0.00104394369531126	6.47756318059317
"MRPS12"	2.14743690665748	7.00678928233133	24.7099789391778	1.19099156784249e-06	0.00105765058688279	6.42951149762171
NA	-2.16018545554322	5.69535977554398	-24.426099896658	1.26515590538428e-06	0.00105765058688279	6.3785064382944
"ME1"	1.9949030614308	10.3969988492923	24.3647932008183	1.28188561502156e-06	0.00105765058688279	6.36737021613801
"SOCS2"	-1.96863087224149	6.76810548412897	-24.0046371314589	1.3856504967193e-06	0.00110243343269342	6.30106282680059
"TXNRD1"	2.03160200905532	11.80234598123	23.5768425869931	1.52216417013762e-06	0.00116586447161949	6.22028872938718
"EPHA2"	2.21494548785601	8.30069272655208	23.4374830461997	1.57004687114893e-06	0.00116586447161949	6.19349099845165
"C5orf15"	-2.09884466316654	9.60294558672728	-23.1508760206098	1.6742690013161e-06	0.00117714969340523	6.13761222210347
NA	2.75501541459031	9.10277105493197	23.1070337714609	1.6909274224073e-06	0.00117714969340523	6.12897227694493
"TXNIP"	-2.38944045442157	8.37951442326417	-22.5717307023656	1.91108565643158e-06	0.00121501743940313	6.02145909100504
"SCNN1A"	2.27191090088518	7.24655909118227	22.5105947634655	1.93833815255245e-06	0.00121501743940313	6.00893804888779
"SLC7A5"	1.85614403440347	9.833224457696	22.4320556578328	1.97402914680267e-06	0.00121501743940313	5.99277844730969
"ACOX2"	2.61304851756578	6.62977693323584	22.3013779473768	2.03516000743225e-06	0.00121501743940313	5.96570463857944
"E2F5"	-2.07030965687152	7.12501516216584	-22.2055552958919	2.08141798031219e-06	0.00121501743940313	5.94570267750829
"CREM"	2.02278894329352	8.31403134554312	22.1717305769358	2.09804429471801e-06	0.00121501743940313	5.9386117063006
"DHRS2"	1.94249444806574	9.77127603130615	22.1133526995687	2.12711227439611e-06	0.00121501743940313	5.92633589860128
"PAN2"	-1.8436276985784	7.8372553447789	-21.987971055927	2.19117684269873e-06	0.00122032116311999	5.89980868633931
"AREG"	-1.81713216231564	10.8156925896498	-21.8782633755207	2.24912057334811e-06	0.00122204046371892	5.87641503930554
"IVNS1ABP"	-1.78850152108361	8.45454163297008	-21.6179260098071	2.39406702612833e-06	0.00122526047494953	5.82020960720532
"PER2"	-1.76180181556557	8.18287570269938	-21.5804832249664	2.41581491942217e-06	0.00122526047494953	5.81204484299785
"HS3ST3A1"	-2.52290862397929	9.27609537622779	-21.4593154874777	2.48781933164267e-06	0.00122526047494953	5.78548155531465
"ELF3"	1.82201332407119	8.63173964081391	21.4208006632764	2.51123896542213e-06	0.00122526047494953	5.77699250849574
"PCLO"	1.75959742434847	7.40588160103143	21.3082038370949	2.58122279860193e-06	0.00122526047494953	5.7520480360152
NA	1.72012653856057	7.7030525846549	21.1042532295602	2.71397913768458e-06	0.00122526047494953	5.70637810285372
"ISG20"	-1.79367278413571	9.27655419579491	-21.0755197837266	2.73332751806774e-06	0.00122526047494953	5.69989295196531
"H1F0"	-1.71393985682156	9.11165371851035	-20.9173934859175	2.84278560501076e-06	0.00122526047494953	5.66397583846433
"HIST1H2BJ"	2.17812947968271	5.65489653743947	20.8168195572758	2.9151162740642e-06	0.00122526047494953	5.64092880746787
