"Symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"CYP1A1"	6.85328399412179	8.16272330007976	63.107955277844	6.69480187679094e-11	1.45401113042197e-06	14.4111376007009
NA	6.1492973383022	6.6368507803376	55.4972338519453	1.64213538863382e-10	1.45401113042197e-06	13.9323971448937
"KMO"	5.48162176825946	6.45629971582854	54.1155432437351	1.95808833831571e-10	1.45401113042197e-06	13.830815807694
"PSMB9"	4.74905345322315	6.97600105973625	47.2025769216871	5.08124776674055e-10	2.3540576144692e-06	13.2366047632919
"BIRC3"	5.57811100582663	6.17952737494579	46.9390215119278	5.28360554488755e-10	2.3540576144692e-06	13.2107113525617
"TNFAIP3"	4.90662955230167	7.50613387731504	44.986746461242	7.10543058622618e-10	2.58930425345898e-06	13.0103550085787
"CCL2"	4.49503831702506	5.92098025184043	44.1211064037404	8.13625253589481e-10	2.58930425345898e-06	12.9164429692843
"HIST1H4H"	4.39022125680833	9.82077635265734	41.1606629376905	1.32031363544671e-09	3.67657835710578e-06	12.5693009882914
"RELB"	4.09106731593774	7.50779189787977	39.9826352081344	1.61639877268314e-09	4.00094616211804e-06	12.4189868489692
"HLF"	3.89651607983117	6.39848784640159	38.7956138123673	1.9940155372388e-09	4.15699125101624e-06	12.2598332785166
"KMO"	5.12989619683241	6.369555304681	38.6345263332886	2.05265088482195e-09	4.15699125101624e-06	12.2376126970011
"BHLHE41"	4.10622120994347	7.11520126713882	36.9731213266056	2.7877375654713e-09	5.09887527043402e-06	11.9992732459727
"HS3ST3A1"	-3.70644516797636	8.5130082415231	-36.4510754106822	3.07785463503886e-09	5.09887527043402e-06	11.9207807249866
"IGFBP5"	-3.63493273291749	11.0961524849142	-36.2407218766419	3.20439259263259e-09	5.09887527043402e-06	11.888644146832
"TNFAIP3"	5.23374768780287	8.57424777024333	35.7131568063149	3.54875510883641e-09	5.27037450396991e-06	11.8067295094445
"GADD45G"	3.55452552504785	8.48845025334307	35.0716558515552	4.02589295577787e-09	5.27700588962287e-06	11.704521026535
"S100A8"	4.35607271057648	7.88009219104974	35.0702915216682	4.02698299248502e-09	5.27700588962287e-06	11.7043005389661
"IRF1"	3.54219195461671	7.97655962481691	33.545216489619	5.4868004294907e-09	6.79052517598691e-06	11.4492184904629
NA	3.55510387855799	9.2330341808955	32.9137032181697	6.26217266186046e-09	7.34223265201397e-06	11.3383333614359
"LTB"	3.71099144239419	7.50312684770707	32.2537857039207	7.20921957812567e-09	8.02998922709528e-06	11.2189816116103
NA	3.63632738375033	9.61951777544568	31.5463887345347	8.41086569671214e-09	8.92232643455506e-06	11.0869313164985
NA	4.17823700766118	8.21010557759014	30.1743971630876	1.1455910899324e-08	1.16001512320109e-05	10.8179876149428
"STC1"	-4.22667346251301	7.57554630550908	-29.5547632832684	1.3231802129487e-08	1.22132983056402e-05	10.6906498082609
"LMCD1"	2.96820040664348	8.38883704016222	29.3531569940468	1.3875944539586e-08	1.22132983056402e-05	10.6483930453456
"SCD"	-2.94417342886015	8.37959336684269	-29.087522574526	1.47800776869791e-08	1.22132983056402e-05	10.592082273682
"KHDRBS1"	3.08620089656946	6.3977825203157	29.0530142573766	1.4902398031372e-08	1.22132983056402e-05	10.5847135314242
"PHLDA1"	2.95825387236654	9.75203591164932	28.9826845979817	1.51552891643926e-08	1.22132983056402e-05	10.5696573007906
"PLA2G4C"	3.44769217443426	7.54251816228514	28.929193411994	1.53509158575178e-08	1.22132983056402e-05	10.5581712774616
