"Symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"MSMB"	-2.45253500118645	7.87760361365174	-35.404688383529	8.33712699973407e-07	0.00580634831035737	6.10893249923564
"IFI27"	-2.65962649951339	9.80229136142794	-33.9447270474545	1.01215795495975e-06	0.00580634831035737	6.00669760794215
"GABBR2"	2.34537285103191	6.05960215651165	32.7436178911464	1.19478320676474e-06	0.00580634831035737	5.91539216442883
NA	-2.17954887009577	5.35716362943058	-32.2774733802702	1.27631216441737e-06	0.00580634831035737	5.87806048743139
"NUSAP1"	2.14509640193962	8.77011634616907	29.7612013758309	1.85426603855205e-06	0.00580634831035737	5.65606889096841
"MSMB"	-2.52621911416302	7.80901724653484	-29.7022425797706	1.87125926517908e-06	0.00580634831035737	5.6504180552357
"EEA1"	1.9921000767435	5.54733304317565	28.0400778291958	2.4386970845686e-06	0.00580634831035737	5.48160939830417
"SERPINA3"	-1.89093092697797	11.0426435768373	-27.4069686622702	2.70866338757719e-06	0.00580634831035737	5.4121565712162
"TNS3"	2.31367044511308	7.74013156874977	27.3302283623923	2.74380127571296e-06	0.00580634831035737	5.40353164300887
"MYO6"	2.08348755786799	9.65421046378903	26.5657478473738	3.12593826786097e-06	0.00580634831035737	5.31506898171706
"RAD21"	1.76017692106537	9.59612775489848	25.7845745969814	3.58537302145193e-06	0.00580634831035737	5.21967258378147
NA	-1.82213862981345	9.68686061515532	-25.6212871787703	3.69154342431241e-06	0.00580634831035737	5.19906072558438
NA	-1.97955307792872	9.47853303029361	-25.4022058192289	3.84006032924451e-06	0.00580634831035737	5.17102871697287
"EZR"	1.66100194250511	8.71041819919166	24.423112227805	4.59961270073293e-06	0.00580634831035737	5.04024923618286
"IFI6"	-2.20493397259979	9.34434596597037	-24.3763880881221	4.64022451627123e-06	0.00580634831035737	5.03377490486059
NA	-1.70336340653156	5.90353356314283	-24.2104457822082	4.78802489829146e-06	0.00580634831035737	5.01060310789473
NA	-2.04393111255528	6.25792129479017	-23.6898733534982	5.29030404121663e-06	0.00580634831035737	4.93606833941504
"HIRA"	-1.89538187745262	8.59403999421179	-23.623230790111	5.35913358805954e-06	0.00580634831035737	4.92632004104932
"EFNB2"	1.76336190108866	7.25707091788459	23.4797779087762	5.51102255124019e-06	0.00580634831035737	4.90517349542627
"NT5E"	1.63236554405302	8.33273625904784	23.4559234838021	5.53678433927121e-06	0.00580634831035737	4.90163539673595
"USO1"	1.62520799509782	7.27821484771867	23.3227811570676	5.68329005306064e-06	0.00580634831035737	4.88177300193747
"WISP2"	1.67731482105873	8.68184084647206	23.2485268869996	5.76704309918805e-06	0.00580634831035737	4.87061054046869
NA	-1.63045551720763	7.24581760246534	-23.0530565599855	5.9947933356475e-06	0.00580634831035737	4.84093101823384
"GRB14"	1.5506311070275	8.23469770469664	22.6465273954589	6.50447767490858e-06	0.00603751038183077	4.77780682169564
NA	-1.50835982972005	5.68832204022367	-22.3238380152649	6.94689981370755e-06	0.0060708024263654	4.72631703346414
"BCLAF1"	1.56397873510268	10.0140550514666	22.2279379263933	7.0853733934327e-06	0.0060708024263654	4.71077250431425
"AMIGO2"	-1.57912220139306	11.9324384809572	-21.71794731729	7.88073803831521e-06	0.00646415313636272	4.62618699592111
"COL5A2"	1.60122017162325	6.89179796386609	21.5222399743578	8.21450767456442e-06	0.00646415313636272	4.5928468315516
"ISG20"	-1.48177474002156	9.43250321785199	-21.354045737059	8.5151597813225e-06	0.00646415313636272	4.56379233484021
NA	-1.78350949452889	8.59932599119731	-21.2514360330224	8.70514854293135e-06	0.00646415313636272	4.54588216099676
NA	-1.6570920525962	5.43256253327221	-20.7880561555687	9.63004578683912e-06	0.00660915046184711	4.46321246040336
"RBM3"	1.8568541670522	10.8917450961399	20.643611617018	9.94247219455983e-06	0.00660915046184711	4.43682997120282
"EPRS"	1.39194019705529	9.92397101551165	20.5224233777715	1.02141352017809e-05	0.00660915046184711	4.41446509701391
"IGFBP3"	1.56786084671994	6.20316665359113	20.4807327994768	1.03096697845471e-05	0.00660915046184711	4.40672221133992
NA	-1.92855351386899	6.12459666439587	-20.448698043977	1.03838158712865e-05	0.00660915046184711	4.40075546680417
"PALLD"	1.35280831669145	8.42080031699394	20.0397589993507	1.13896888632512e-05	0.00661440121626077	4.32325527239052
"SERPINA5"	-1.74926616973514	6.79273360255918	-19.9400887423624	1.16525391198531e-05	0.00661440121626077	4.30398501438956
"TGFBI"	1.38647009962557	9.63741365865974	19.8713792593298	1.18380354386703e-05	0.00661440121626077	4.29061201539442
"SMC3"	1.47723886990944	8.70196211372932	19.8650704182234	1.18552466492025e-05	0.00661440121626077	4.28938046903105
"ABCA12"	-1.91163679352563	6.16095102704691	-19.8572417957747	1.18766462562477e-05	0.00661440121626077	4.2878513908151
"SULF1"	1.68513867931616	6.9502819892766	19.731788034161	1.2226059631256e-05	0.00664292513184124	4.26321796985463
"MYH10"	1.44793119073533	7.53873795113107	19.4420403533478	1.30819665801675e-05	0.00693873736919982	4.20537634988107
NA	-1.37967883568959	4.81807527490696	-19.2569783881724	1.36668233548758e-05	0.00708036799712951	4.16772590620178
"HSP90B1"	1.52221167785019	7.04145846304039	18.9183767624466	1.48213768153175e-05	0.00735795203518824	4.09737113750196
"MGP"	-1.3559226142821	10.2197735251564	-18.5889071461254	1.6060413227229e-05	0.00735795203518824	4.02703805107059
"PTGER4"	-1.71759564725293	9.62030681750738	-18.5558701106606	1.61914722596768e-05	0.00735795203518824	4.01988093389023
"RASA2"	1.33544197096945	5.48306416899644	18.5026780376577	1.6405226296329e-05	0.00735795203518824	4.00831680542718
"FLRT3"	1.65144285116042	7.52851429876208	18.4741173454132	1.65214117115781e-05	0.00735795203518824	4.00208684665704
"PDP1"	1.42915551928639	6.41487371466071	18.4317008052096	1.66958121215576e-05	0.00735795203518824	3.99280760379309
"STC1"	-1.31613149025925	8.72630468960873	-18.3585733608684	1.7001762629101e-05	0.00735795203518824	3.97673401456074
NA	-1.58747276948677	8.28566625766129	-18.2800230499727	1.73380176141243e-05	0.00735795203518824	3.95936072649979
"SOCS2"	-1.27393800552505	7.11545191748719	-18.2159964722449	1.76180867033541e-05	0.00735795203518824	3.94511652726994
"PSD3"	1.57843410063883	6.97332143296265	18.1894141933204	1.77359762194862e-05	0.00735795203518824	3.9391806018304
"ZMYM2"	2.05700569456046	5.05027749504109	18.1324826810689	1.79916991502217e-05	0.00735795203518824	3.92642375962956
"SETD2"	1.64229888284074	6.53490628660614	17.9480038486443	1.88516576794356e-05	0.00735795203518824	3.8846725774074
"SLC27A6"	1.27713595767166	8.94457729504506	17.8634978260193	1.9262215114667e-05	0.00735795203518824	3.86533322578624
"S100A7"	-1.40106961218825	5.32219777939455	-17.7013643518389	2.00807318080888e-05	0.00735795203518824	3.82784637478549
"CA8"	-1.32680420808081	6.99351078249621	-17.6958993747356	2.01090491721803e-05	0.00735795203518824	3.82657398145287
"CDH18"	1.32523056347646	7.25146823408898	17.3666340770137	2.19083079028913e-05	0.00735795203518824	3.74882941666628
"BCLAF1"	1.20135382586078	9.2008655548871	17.2907359218251	2.23503953330147e-05	0.00735795203518824	3.73060203362456
"EPAS1"	1.49068476435586	9.15916818359599	17.2814057332483	2.24054855075241e-05	0.00735795203518824	3.72835328338129
"PDIA3"	-1.26523838001762	10.6834865458012	-17.2503978997958	2.2589759252522e-05	0.00735795203518824	3.72086709623715
"PRPF6"	1.36333464224991	10.0144062906285	17.2438569725271	2.26288653570028e-05	0.00735795203518824	3.7192854256845
"BICD2"	1.68017653427502	6.3805059829385	17.2382447184565	2.2662484727229e-05	0.00735795203518824	3.71792762301873
"SULF1"	1.67027599135105	8.69611245160948	17.1746267510356	2.30478490723877e-05	0.00735795203518824	3.70249112912625
"EPRS"	1.22894834318369	6.76215713841341	17.1689280279095	2.30827555961998e-05	0.00735795203518824	3.70110431785875
"PKIA"	1.39977017923296	8.07940208773955	17.1616782146077	2.31272558238555e-05	0.00735795203518824	3.69933907566688
"HS3ST3A1"	-1.17432621377417	9.95038658133035	-17.140293425072	2.32591260397456e-05	0.00735795203518824	3.6941258292356
"STC1"	-1.24908170041413	9.85256236150792	-17.1327918902709	2.33056006420346e-05	0.00735795203518824	3.69229484802784
"BCL6"	1.29973577183938	8.07576670281729	17.1272311004651	2.33401244018124e-05	0.00735795203518824	3.69093681536734
"CXCL14"	1.46813230716834	5.60551154172827	17.1094634322781	2.34508504061752e-05	0.00735795203518824	3.68659338450202
"HSPA13"	1.34382792912982	8.62658973992113	17.0561524065021	2.37869253396546e-05	0.00735974077488173	3.6735218389369
"SLC16A6"	1.84778222128394	8.020581878994	16.7859093020722	2.55832934906102e-05	0.00780710998753866	3.60634155493708
NA	1.14726495961296	7.4166217951811	16.668342776275	2.6415964294341e-05	0.00795227617006803	3.57662866180566
"ANXA9"	-1.13459612927588	7.76524516865724	-16.6001768590163	2.69138204765584e-05	0.00799412238341723	3.55926340751598
"MYO1B"	1.25317201555989	9.65855445239766	16.4982332753863	2.76798004904993e-05	0.00811345941482702	3.53310289769948
"REST"	1.12212029675338	6.47663503853966	16.3950810576444	2.84819530400536e-05	0.00816458228096919	3.50639752802478
"QKI"	2.2729081437855	7.07189142974182	16.3305611287352	2.89980381243305e-05	0.00816458228096919	3.48957252801488
"RBM25"	1.27110332503019	9.93498778350173	16.3161939225167	2.91144993685383e-05	0.00816458228096919	3.48581316911808
"EIF4G1"	1.80450940154205	8.30356655291985	16.212450475806	2.99725081283385e-05	0.00816458228096919	3.45852813693844
"SCNN1A"	1.51490665313713	6.86805696730824	16.1482045693324	3.05192488842042e-05	0.00816458228096919	3.44150762476395
"HPGD"	1.25599206779861	5.51655724618069	16.1192539375479	3.07695735865881e-05	0.00816458228096919	3.43380668874685
"LRRFIP1"	1.10936074700044	9.64964652787574	16.0714078550315	3.11887633593634e-05	0.00816458228096919	3.42103691278632
"BCLAF1"	1.23849206449251	8.52553759244432	16.0344566802912	3.15172486445316e-05	0.00816458228096919	3.41113841753299
"TOP1"	1.26117081927865	10.0854619842884	16.0166455184585	3.16770833171528e-05	0.00816458228096919	3.40635575175175
"SLC39A8"	1.1091904918532	8.39776136113381	16.0086135570068	3.17494825472619e-05	0.00816458228096919	3.40419657082684
"MPZL2"	1.13729437674607	9.58054567559424	15.986101640291	3.19534749151208e-05	0.00816458228096919	3.39813676142392
"MYO1B"	1.18826786869088	10.100629684763	15.9534432484936	3.22522440510521e-05	0.00816458228096919	3.38932449028713
"ATP2B1"	1.27928316270627	9.82298993148748	15.8023562434793	3.36793483980831e-05	0.00831714672077638	3.34822697731772
"KNOP1"	1.36403102857171	7.94850946441349	15.7377582725602	3.43128307945871e-05	0.00831714672077638	3.33048859101524
"HSPH1"	1.21642786009244	9.30416327095778	15.7327973093576	3.43620757637098e-05	0.00831714672077638	3.32912215648506
"SULF1"	1.59303589675729	7.57881310057976	15.7259882020597	3.44298059859695e-05	0.00831714672077638	3.32724570252548
"EFEMP1"	1.07898305295753	9.30854038373483	15.6968310494615	3.47216701096289e-05	0.00831714672077638	3.31919784087083
"DNAJC12"	-1.19658857491788	9.07337407833323	-15.5743462528868	3.59810188107153e-05	0.00852711868134367	3.28516305728024
"S100A8"	-1.86282924386638	5.96139487257514	-15.4911815909552	3.68677399236444e-05	0.00864529097135816	3.26184323458397
"LOXL2"	1.16764264416561	5.52639198186205	15.435900472456	3.74718444594118e-05	0.00869541957314912	3.24624675142036
"KRAS"	1.14225202771575	7.96818227603423	15.3203394109245	3.87739290626135e-05	0.0087482456263148	3.21339498606295
"SKI"	2.21465569052171	6.21838223879595	15.2713983958031	3.93418787459699e-05	0.0087482456263148	3.19937978678967
"ASCL1"	1.13230202827543	6.49235201994038	15.2584771734427	3.94935068662041e-05	0.0087482456263148	3.19566932566784
NA	1.86709247341987	7.69617475928567	15.2505228252175	3.95872021408961e-05	0.0087482456263148	3.19338302401021
"PLOD2"	1.22771541408355	9.68356953123168	15.2205094377325	3.99431701110386e-05	0.0087482456263148	3.18474169702557
"WWOX"	1.10176369260671	9.29522234312334	15.2110880736838	4.00557100993899e-05	0.0087482456263148	3.1820243550899
"PNISR"	1.53555772734663	7.86967284737996	15.146137594608	4.08421089750931e-05	0.00883339477318591	3.16322867031066
"ROBO1"	1.20753849111547	8.62778763096272	15.0932478077146	4.14963461014974e-05	0.00888859713560633	3.14784218171897
"DNMBP"	-1.0360265664147	9.68018223701284	-14.9387115609646	4.34820802085182e-05	0.00891029904285624	3.10246397336963
"MAN1A1"	1.0587016100322	9.47732054369374	14.9365389712325	4.35108087406331e-05	0.00891029904285624	3.10182150041681
"SMC3"	1.30882968799501	9.60222552328501	14.9281152244247	4.36224152696756e-05	0.00891029904285624	3.09932925984794
"PHLDA1"	-1.07890200211499	8.21847388938586	-14.9217722381216	4.37066828952826e-05	0.00891029904285624	3.09745138056212
"GLUL"	-1.10053558111572	7.25440351895888	-14.9215783124028	4.37092623389342e-05	0.00891029904285624	3.09739395075404
NA	1.38144200744402	7.17190349565953	14.8999932838282	4.39975263596618e-05	0.00891029904285624	3.09099540253932
"PLEKHA1"	1.19063056299428	7.07738712703001	14.7897991164537	4.55055921544301e-05	0.00891165482258196	3.05813482147266
"ARRB1"	1.17162656235654	6.43361389178288	14.7441054519756	4.61492777581107e-05	0.00891165482258196	3.04441222886047
"IGFBP5"	-1.09736771650848	7.31674177969263	-14.7237954751954	4.64389255558421e-05	0.00891165482258196	3.03829450907595
"ARL4C"	1.34611801534735	5.94753974087693	14.7152886871805	4.65608986054102e-05	0.00891165482258196	3.03572876201375
"DENND1A"	1.13154105904775	7.45231100380865	14.7007918209827	4.67696556452369e-05	0.00891165482258196	3.03135176636767
"TPR"	1.39634201711971	4.55502324487037	14.6346745094265	4.77362695641711e-05	0.00891165482258196	3.01131584099569
NA	-1.85004721283379	8.01302420872848	-14.5627941817258	4.88147629278411e-05	0.00891165482258196	2.98939619667942
"PIK3R1"	1.79610085752125	6.53008575450791	14.5416504571759	4.91376113042964e-05	0.00891165482258196	2.98292108677681
NA	-1.03584218520249	8.57806419673726	-14.5256571082414	4.93835382334234e-05	0.00891165482258196	2.97801492747573
"LMNB1"	-1.5755114863744	9.99954737739596	-14.5154146510191	4.95418187359565e-05	0.00891165482258196	2.97486915704444
"SCAMP1"	1.63269216379426	8.33244737887384	14.5037772346776	4.97224031505106e-05	0.00891165482258196	2.97129137534651
"ADD3"	1.0277706916019	5.05358155361825	14.4989732968657	4.97971812501243e-05	0.00891165482258196	2.96981335251596
"NCOA3"	1.03583542075906	9.78492399548127	14.4839218997206	5.00323557615717e-05	0.00891165482258196	2.96517829565739
"ASPH"	1.29688656389106	8.62748623678018	14.459768323621	5.0412570539666e-05	0.00891165482258196	2.95772687660373
NA	1.00665542677932	9.02700689078302	14.4475850311225	5.06056833740712e-05	0.00891165482258196	2.95396205153417
"FGFR2"	1.30733939805264	7.14772306398987	14.4328952498301	5.0839719646471e-05	0.00891165482258196	2.94941708999405
"TFPI"	0.994566874193056	7.79910436698707	14.3896040316396	5.15371034929881e-05	0.00891165482258196	2.93598728836736
"PPFIA1"	1.00033147521464	7.36783831510378	14.3802339364427	5.16895710203813e-05	0.00891165482258196	2.93307346628974
"RALBP1"	1.04863714108281	9.19485065766988	14.3336448177594	5.24558254400238e-05	0.00891165482258196	2.9185483267103
NA	-1.4740429688425	4.61264468359934	-14.3014388055661	5.2993577805215e-05	0.00891165482258196	2.90847097893147
"TGFB2"	2.08762043868872	5.29173457437704	14.2769056525796	5.34077034457829e-05	0.00891165482258196	2.90077441156854
"CYP26B1"	-1.0298072971483	9.24027241904068	-14.2589090289686	5.37139870921088e-05	0.00891165482258196	2.89511741667488
"SOX9"	1.34119902102638	6.38586227835244	14.2458686432494	5.39372518544278e-05	0.00891165482258196	2.89101247814845
"NCOA2"	1.03755683213386	4.80641743718874	14.2050739629707	5.46430001457264e-05	0.00891165482258196	2.87813891202019
"S100A4"	0.971001374145135	6.75113274550591	14.1779466455873	5.51185042668702e-05	0.00891165482258196	2.86955145672128
"LTBP1"	-1.08654059750904	9.06096398720565	-14.145920139722	5.5686357734651e-05	0.00891165482258196	2.85938533819908
"ISG20"	-1.28242787140396	9.26971819749353	-14.1351558441489	5.58788072719771e-05	0.00891165482258196	2.85596167453506
"DENND5B"	0.958198044116344	4.22159081865356	14.1014468246001	5.64867119311346e-05	0.00891165482258196	2.84521816014232
"SLC25A36"	0.980542123769405	10.3533429497277	14.0788070856948	5.68994973222032e-05	0.00891165482258196	2.8379837032014
"FGF18"	-1.05135164590893	5.29406553174227	-14.0705571783406	5.70508244595116e-05	0.00891165482258196	2.83534369160671
"EPHA4"	2.31341308077385	7.76681368396177	14.0483169575551	5.7461211225622e-05	0.00891165482258196	2.82821662919499
NA	-1.10415266571003	7.32339439051036	-14.0333006729572	5.77403231067954e-05	0.00891165482258196	2.82339620396299
"PFN2"	0.951673983711713	11.1251063419689	14.0309465709847	5.77842283322784e-05	0.00891165482258196	2.82263989611812
"EMP1"	1.04339442224651	4.62338367257982	13.9965792584873	5.84298277669736e-05	0.00891165482258196	2.81157975884274
"WWOX"	0.946875871740232	8.49613648956682	13.9767602445319	5.88061086865515e-05	0.00891165482258196	2.80518547898869
"FOS"	0.960312701146645	7.76525642982849	13.9550810084307	5.92210767157491e-05	0.00891165482258196	2.79817750064828
NA	-1.30257234283217	5.48162822934049	-13.9457857009471	5.94000873791175e-05	0.00891165482258196	2.79516838272801
NA	-1.224490437158	6.81782920695519	-13.9116909804275	6.00623294473307e-05	0.00891165482258196	2.78410873326637
NA	-1.31666058049608	6.47013818513627	-13.904238978874	6.02082637452621e-05	0.00891165482258196	2.78168676316683
"SLPI"	-1.20820653355756	7.21686182609958	-13.8942355686334	6.04048391703914e-05	0.00891165482258196	2.77843291106301
"PTP4A2"	1.22012988215629	9.56744063324511	13.8705285656594	6.08738167394729e-05	0.00891165482258196	2.77070948105233
"SIKE1"	-1.23845031600221	5.47982633281594	-13.8514905712199	6.12536288250683e-05	0.00891165482258196	2.76449475092961
"MIA2"	-1.10745895379465	4.96959930401395	-13.8452479371322	6.1378795623364e-05	0.00891165482258196	2.76245450605027
NA	-1.28880009587815	9.37627441216325	-13.8264065217243	6.17584562510517e-05	0.00891165482258196	2.75628944111326
"BCKDHB"	1.25031874389183	6.98985983125276	13.7994817301963	6.2305952154988e-05	0.00891165482258196	2.74746053294595
NA	-1.42343656674701	7.18395310405349	-13.7616644182195	6.30849087580416e-05	0.00891165482258196	2.73502217703355
"AKR1B10"	1.59197734169035	5.75714090353973	13.7550512934169	6.32223348840837e-05	0.00891165482258196	2.73284254195612
"PCDH9"	1.5389460820219	6.04827408339952	13.7530819779957	6.32633289568797e-05	0.00891165482258196	2.7321932092917
NA	1.17184088407817	8.00514941156628	13.7366758264488	6.36061012160763e-05	0.00891165482258196	2.72677902140118
"ALCAM"	1.06631797853879	9.10378110803238	13.7126922582918	6.41112475260227e-05	0.00892628913210754	2.71884918494187
"ADAMTSL3"	1.09038643101227	5.59784261493079	13.6716115785972	6.4987842166001e-05	0.00899213763932923	2.70522481060146
"HNRNPUL2"	-0.962603905184375	7.83024434968491	-13.5571782314169	6.75073696700967e-05	0.00924553976990946	2.66699385251664
"FGFR2"	1.07082431954093	5.46763881867733	13.5508874210846	6.76492787401913e-05	0.00924553976990946	2.66488015955135
NA	-1.03041145595398	8.05481665506588	-13.4398595788103	7.02143832717313e-05	0.00953759643990463	2.62736722697796
"BICD2"	1.06377558361566	8.36332118561431	13.4163686941795	7.07721138718545e-05	0.00955509321650486	2.61937961878272
"NCOA3"	1.05673842788699	10.5724498871713	13.3495008902898	7.23893625346174e-05	0.00969550759723222	2.59654464692535
"ASPH"	1.15061123347827	10.5156780722971	13.3265114901451	7.29556997009951e-05	0.00969550759723222	2.58866025757216
"SMIM14"	-1.17907177816106	6.64768354334212	-13.3199710280045	7.31178020530149e-05	0.00969550759723222	2.58641399773873
