"Symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"IFI6"	1.83392366117029	8.81239110414258	19.178605966179	7.70192644515731e-07	0.0102455270245489	5.17233839805093
NA	1.67218975991514	10.0606138616466	17.4721906613478	1.3746861512213e-06	0.0102455270245489	4.89533626945692
"FOS"	1.57958246491058	8.48717898600807	17.4173000046046	1.40179868190445e-06	0.0102455270245489	4.88548007672141
"EED"	-1.77745343817464	6.10249273101629	-16.6703734312891	1.83966010226671e-06	0.0102455270245489	4.74475602832567
"IFI27"	2.30884187108223	9.12837859201365	16.0674163784702	2.31102307595719e-06	0.0102965322126196	4.62153183543171
"MYC"	1.30761230618278	10.80272210678	14.4834080744386	4.38579018316565e-06	0.0146402702316107	4.25028502936935
"ATP5C1"	-1.99762353554756	6.53664920344402	-14.3714772503078	4.60034527186223e-06	0.0146402702316107	4.22112525618907
"BCL2"	1.1138409814157	6.40056604375691	12.4953127270846	1.08453205990123e-05	0.0294828884686528	3.66298385630691
"CYP4B1"	1.07404428764513	5.64963016707349	12.1599215139798	1.28025858765179e-05	0.0294828884686528	3.54758136131529
"PDZK1"	1.24364992582541	6.92793614066411	12.0938342364004	1.32346763337311e-05	0.0294828884686528	3.52421114692054
"FCMR"	1.07921597209408	5.24346497697731	11.6206603269119	1.68697998876702e-05	0.0341644120088753	3.35051837157682
"CTTN"	-1.16702500600429	7.10604558075196	-11.3232903486989	1.97420189622626e-05	0.0366494130351937	3.23537012207938
"ADK"	1.02331858278463	7.45406845318803	10.3705131651329	3.35570410469186e-05	0.0455921203974842	2.83210862056053
"PROS1"	0.987522625668511	6.61985530675761	10.3406241864906	3.41442486273957e-05	0.0455921203974842	2.81854818255749
"ACTB"	-1.02009643657643	10.9596941337009	-10.3091763858722	3.47748785924905e-05	0.0455921203974842	2.80421723135858
NA	-0.892690776666848	6.3527450393548	-10.0377993167342	4.08107603174155e-05	0.0455921203974842	2.67780041138681
"SKP2"	1.12868928773339	5.66454641274679	9.97967792411298	4.22552536186683e-05	0.0455921203974842	2.65007140764929
"F8"	0.900699830002736	5.92694227733725	9.86588872927218	4.52568665707777e-05	0.0455921203974842	2.59509855592478
"TRAPPC10"	-1.01507357272307	6.02637145970862	-9.81305127590782	4.67334971531426e-05	0.0455921203974842	2.56925963678704
"BLNK"	0.987285454633925	6.40802477276851	9.79034577495313	4.73849963494179e-05	0.0455921203974842	2.55809447864705
NA	0.931966268750588	7.09643785563939	9.76771175961821	4.80448541703501e-05	0.0455921203974842	2.54692742782433
"ABCA12"	0.931283992729252	7.50790184659885	9.71297423141889	4.96847512358773e-05	0.0455921203974842	2.5197675383536
"MSMB"	0.937280437124507	9.51047090965273	9.69998336633085	5.00833346306137e-05	0.0455921203974842	2.51328956186587
