"Symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"CYP1A1"	6.21258842456981	7.84237551530377	56.1171624003573	1.93435682056542e-13	4.30916668917359e-09	18.1715865282614
"HSPA6"	4.78910657879035	7.64652082751075	42.1985044533151	2.97929791487109e-12	3.31849098247916e-08	16.881945606382
"HSPA6"	5.1221590470922	9.19222380307374	36.0300037159934	1.35256179398249e-11	1.00436730281826e-07	15.9864942316311
"SLC7A11"	4.12389739520274	6.1468499981277	33.3060700753874	2.8674995262035e-11	1.59698217363088e-07	15.4939619817696
"SLC7A11"	4.02002325402649	8.17793779925024	30.5415290464985	6.55775967015266e-11	2.92174424343982e-07	14.9164474903924
"KLHL24"	3.22805301756733	7.20657294784683	29.1357007258246	1.02774544336954e-10	3.40338237059756e-07	14.5878177533839
"GADD45A"	3.43859849880562	9.65698097460872	29.0144019562374	1.06942930350509e-10	3.40338237059756e-07	14.5582457593589
"ATF3"	3.84086499231815	7.853615464441	25.8859871426798	3.16754553373938e-10	8.82042648188903e-07	13.7208611183336
"DDIT3"	2.79356713023177	9.58889273179727	25.1239610170162	4.20733545955741e-10	1.041409022584e-06	13.4928533671768
"KLHL24"	2.88121269735519	8.43495933267999	23.5942037532929	7.63607428427241e-10	1.70108826830737e-06	13.0025821543349
"CYP26B1"	-2.61769422812482	9.20285119315351	-22.7711587508361	1.06895587372905e-09	2.16482999991473e-06	12.7192958240024
"ATP5C1"	2.97372607908079	7.28266700380093	21.9242430779301	1.53008158082518e-09	2.65105498590377e-06	12.4122680619036
"HMOX1"	2.64147407460948	8.96614166629333	21.807955547391	1.60898768276814e-09	2.65105498590377e-06	12.3688196378524
"FJX1"	-2.46730211579237	6.21146119409778	-21.7276986274455	1.66605780862113e-09	2.65105498590377e-06	12.3386460901441
"RGS2"	3.44527937546026	5.65920500051636	21.4103547269799	1.91459502075379e-09	2.83421572299121e-06	12.2178173976062
"NACA"	2.52023227054206	8.38853763303415	21.2718869813376	2.03561752335859e-09	2.83421572299121e-06	12.164324074459
"CCDC186"	2.47571303366054	5.53801821398574	20.5158868380054	2.86440603841863e-09	3.75355137163835e-06	11.8637015486131
"ASNS"	2.25750612586538	11.3838562787202	20.3211804348198	3.1339239102979e-09	3.87857905276146e-06	11.7838576379487
"SLC3A2"	2.20920970240588	9.98317225015956	19.6741415572256	4.25103985382654e-09	4.98423235914179e-06	11.5110633653259
NA	2.73035225288133	5.88201564599531	19.4300973771847	4.78100578135584e-09	5.3253232895632e-06	11.405095838608
"JUN"	2.18316240796558	9.16437216870101	18.8964718010198	6.21230435254162e-09	6.59007162197951e-06	11.1672553961807
"JUN"	2.14423632731078	8.35414773313937	18.7375329793122	6.72542374016061e-09	6.81010293907081e-06	11.0947410202212
"SLC7A11"	2.66412859819442	5.4897565086153	18.5652190646876	7.33504332470534e-09	6.93989562798117e-06	11.0152325237052
"HMGCS1"	2.11894275471074	7.33448483852647	18.4018309330817	7.96970138621819e-09	6.93989562798117e-06	10.9389720656384
"GDF15"	2.32693394161568	10.4963033083211	18.3434560954873	8.21091984057321e-09	6.93989562798117e-06	10.911517931577
"CXCL12"	-2.11349043758816	7.182930277184	-18.3357867499862	8.24320446253461e-09	6.93989562798117e-06	10.9079027808863
"EGR3"	-3.63378958741955	7.68867172644167	-18.2604361059292	8.56793857440581e-09	6.93989562798117e-06	10.8722825308625
"TCF25"	2.08490024264837	6.23798617919179	18.1731422305912	8.96187040778307e-09	6.93989562798117e-06	10.8307842886512
"FUT4"	-2.47715710666676	5.77727557702591	-18.1575536447058	9.03429425916658e-09	6.93989562798117e-06	10.8233473320354
"PPP1R15A"	2.0122885631872	7.85495345740656	17.8683626470077	1.05017892953157e-08	7.63323585299512e-06	10.6839133753195
"ZNF451"	2.0801318634018	5.66022563865966	17.8466409615325	1.06221803403891e-08	7.63323585299512e-06	10.6733265844363
"DNAJB1"	1.99416124536669	11.0213291257564	17.300427987752	1.42103812198536e-08	9.89264570108371e-06	10.4017433956994
"JUN"	1.89086548844629	6.68956392798284	16.9751915729689	1.69693445716177e-08	1.14553360309675e-05	10.2349808113975
"HBEGF"	2.64811976158868	7.19901211486956	16.7926922212369	1.87722430922955e-08	1.19002853457457e-05	10.1396952658543
"ELF3"	-2.07604564016217	7.02192519359248	-16.7910697828149	1.87891881790119e-08	1.19002853457457e-05	10.1388425582325
"SERPINI1"	1.91403808333378	5.93315556346989	16.721057229191	1.95367006714149e-08	1.19002853457457e-05	10.1019509593201
"JUN"	1.87241543608458	10.9001620591085	16.6412491210707	2.04289684058942e-08	1.19002853457457e-05	10.0596701807398
"TXNIP"	1.98442353976275	11.070047601624	16.6201045475644	2.06728183980831e-08	1.19002853457457e-05	10.048427324184
"TIPARP"	1.90432013397205	10.6699121661156	16.6063086486516	2.08336458447763e-08	1.19002853457457e-05	10.0410825911822
"PPP1R15A"	1.91835595774507	5.88871959171921	16.4449119868316	2.28210144096159e-08	1.27095934500753e-05	9.95461016147995
"INHBA"	-3.11442388147307	7.38206367992202	-16.3276598861794	2.43955512449157e-08	1.30159017582671e-05	9.89115060435217
NA	-1.86126462924863	6.76812986324827	-16.3173536789274	2.45395642971323e-08	1.30159017582671e-05	9.88554668843749
"RIOK3"	1.82901941911486	8.36324067173895	16.2024814473554	2.62096335927941e-08	1.35411665181952e-05	9.82279953454616
"CDKN2AIP"	2.08821745279018	7.91234324540098	16.1673169677814	2.67455818467742e-08	1.35411665181952e-05	9.80348584997087
"ZNF10"	1.7877071247492	6.10958311811757	15.9981579159286	2.94980387251433e-08	1.46028401928893e-05	9.70987738853287
"GADD45G"	2.12793563810764	7.77515530987296	15.9343334462253	3.06163449378713e-08	1.48269633952382e-05	9.67425457747969
NA	1.94941702267428	9.99279224723948	15.7605569141087	3.39047989702598e-08	1.60701533332016e-05	9.57640736964788
"ARG2"	1.8598612144864	5.52754258996334	15.7015810381352	3.51076550089571e-08	1.61957484979513e-05	9.54291260924894
"GPRC5A"	-2.20562080185725	10.1264383263987	-15.670916847986	3.57515656989635e-08	1.61957484979513e-05	9.52543905623518
"CXCL12"	-1.95160232939596	7.46452125614426	-15.6421586278283	3.63672762898197e-08	1.61957484979513e-05	9.50901529978334
"MCM3AP-AS1"	-1.92515033143931	6.6616683101744	-15.5530604478359	3.83501284023954e-08	1.61957484979513e-05	9.45790732109023
"HBEGF"	1.7393974165864	6.66329072909415	15.5524200007875	3.83648050839222e-08	1.61957484979513e-05	9.45753871926492
"TXNIP"	2.10141825063627	10.8181535324237	15.5451483261875	3.85318790856676e-08	1.61957484979513e-05	9.45335235386694
"CLK1"	1.75577545054363	9.21063354496771	15.4700719970925	4.03044154781931e-08	1.62315303457325e-05	9.40999684747017
"MGEA5"	1.71855397217037	10.0350939492477	15.464428539729	4.04412370304916e-08	1.62315303457325e-05	9.40672796956459
"PGRMC2"	-2.1254272020447	7.14422436535815	-15.4496125646208	4.08028773785079e-08	1.62315303457325e-05	9.39813947980142
"ZFX"	2.40739620389197	6.99856562711331	15.3562336970553	4.31656607544886e-08	1.68702004320656e-05	9.34378945711457
"KMT2A"	1.69065327294773	5.37820580385727	15.3201127016799	4.41196753206197e-08	1.69067493453289e-05	9.32266310809253
"TNFAIP3"	1.98701409697786	6.04632614965313	15.2697265445389	4.54894187310033e-08	1.69067493453289e-05	9.29309719112624
"ZNF442"	1.81242543404649	6.17584750952522	15.2680433322598	4.55359770489623e-08	1.69067493453289e-05	9.29210756435782
"AMIGO2"	-1.73720595741359	12.0482980402311	-15.2173859254276	4.69620049267266e-08	1.71503702254539e-05	9.26226515537927
"ZNF512B"	-1.7107029122381	9.20815440890281	-15.1454026381428	4.90735701768126e-08	1.72153653932612e-05	9.2196625309866
"CEBPG"	2.03876269590134	9.83396150026886	15.1267772077418	4.96367890188328e-08	1.72153653932612e-05	9.20860137671671
"PLAT"	-2.17065653990606	6.87027163856231	-15.1130992922006	5.00549262148249e-08	1.72153653932612e-05	9.20046846889714
"CELSR2"	-1.75813057236295	10.6729499502463	-15.0858765669732	5.08987083086346e-08	1.72153653932612e-05	9.18425666286671
"FOXJ3"	1.90982603468773	5.72688822887349	15.0825172910876	5.10039105784101e-08	1.72153653932612e-05	9.18225380806876
"TMEM47"	1.83476811075149	4.20279646926148	15.0327390559982	5.25911705368346e-08	1.74440801411172e-05	9.15251523090654
"SGK1"	-1.93771080964398	9.1561444611488	-15.0126327891145	5.32476298243016e-08	1.74440801411172e-05	9.14047136798224
"PPP1R10"	-1.69725434240778	7.30238524176715	-14.9441102060774	5.55534556318311e-08	1.76444059461287e-05	9.09928682715396
"CYP1B1"	1.79433730279136	11.5869724369878	14.9322912490369	5.59621658172473e-08	1.76444059461287e-05	9.09216142560816
"KLHL20"	2.17606329768885	5.75338952673921	14.9244468637799	5.62352570891565e-08	1.76444059461287e-05	9.08742866019095
"VEGFA"	1.64904046405305	6.38887080000859	14.896395238694	5.72238932594661e-08	1.77052315297379e-05	9.07048101352798
"DUSP4"	-2.08925753880607	8.78028505470053	-14.7993669679285	6.07937476934792e-08	1.82848431515804e-05	9.01157931005154
"PSMB1"	1.69795834382405	5.52018132917322	14.7903386143097	6.11381739400857e-08	1.82848431515804e-05	9.00607628861567
"TIA1"	-1.63107807706307	6.24958465620117	-14.7466177416226	6.28367398072113e-08	1.82848431515804e-05	8.97937325668111
"ADM"	1.63130871814164	6.81661528534712	14.7439179537353	6.29433155436448e-08	1.82848431515804e-05	8.97772138936824
"CD44"	-1.80580656999369	5.86488478649802	-14.7374061790066	6.32011905854331e-08	1.82848431515804e-05	8.97373574482257
NA	1.67471769519857	4.87023500897917	14.6274077215243	6.77375876816763e-08	1.88832607147266e-05	8.90610665541703
"RET"	-1.61451304116461	8.79838352391219	-14.6133406028186	6.83430986928941e-08	1.88832607147266e-05	8.89741651765179
"CCND1"	-1.72309560110506	10.4774519730952	-14.6096129964335	6.85045471897697e-08	1.88832607147266e-05	8.89511216087875
"OSER1"	1.89973319466176	9.48418130595658	14.6060274689129	6.86602378189546e-08	1.88832607147266e-05	8.89289500969045
"PLXNA1"	-1.68298534231468	8.45379740131538	-14.4592482999152	7.53802048796953e-08	2.04785954159143e-05	8.80160277129184
"PIK3R1"	-1.96801345959923	9.20834981699479	-14.4253635507213	7.70322808575439e-08	2.06752785622109e-05	8.78037952938297
"RNF19B"	1.60746815846989	7.45476211631642	14.286767854127	8.42164036342981e-08	2.23343907590626e-05	8.69298731907207
"KHDRBS1"	2.35467063941515	6.03201739173854	14.1962477151809	8.93048044183629e-08	2.34052132709161e-05	8.63539700798077
"YTHDC1"	1.82368002666629	5.7914610895859	14.1578153574252	9.15666274808913e-08	2.35906683503984e-05	8.61082205582666
"ATF2"	1.93382926155128	7.32247541327719	14.1448951629011	9.23410929757776e-08	2.35906683503984e-05	8.60254379611352
"CDC40"	1.66801193123854	7.74678630458605	14.1308801625401	9.3189334956909e-08	2.35906683503984e-05	8.5935545730451
"SPTAN1"	1.70609193703295	6.49829857634699	14.0763749052188	9.65705832486127e-08	2.39698247729134e-05	8.55850064673477
"TAF1D"	1.7114895577418	7.49711329715593	14.0721369574252	9.68390819931859e-08	2.39698247729134e-05	8.55576879852995
"DLG5"	-1.58222964992757	6.51372597624499	-14.0392084822809	9.89534719606368e-08	2.42240274161221e-05	8.53451150288938
NA	-1.54352952992908	11.6503080462486	-13.8601984509865	1.11373172381895e-07	2.69059672268234e-05	8.4179782987309
NA	1.72003177113552	6.47565597247554	13.8356059790726	1.13209349383655e-07	2.69059672268234e-05	8.40183951981916
"IFRD1"	1.53267692161817	10.0001975693673	13.8227040018228	1.14185952527243e-07	2.69059672268234e-05	8.39336000648264
"RYBP"	1.68693969839487	9.80275276724351	13.8154359542737	1.14740175362402e-07	2.69059672268234e-05	8.38857943048519
"STYK1"	1.66246405469944	4.88514613425253	13.7848250309187	1.17107070434109e-07	2.69070890950676e-05	8.36841469091533
"ORAI2"	-1.6682746414746	5.75970094767296	-13.7658653966998	1.18599948741874e-07	2.69070890950676e-05	8.35590052109263
"NR1D2"	1.81942135663552	6.48041873926491	13.7524685728126	1.19667421042305e-07	2.69070890950676e-05	8.34704665240737
"RORA"	2.06178441669292	5.12796194892841	13.7425025679781	1.20468371724e-07	2.69070890950676e-05	8.3404540594248
"FAM208A"	-1.99496940451843	6.37697938356918	-13.7385932043538	1.20784167953798e-07	2.69070890950676e-05	8.33786655429307
"NRP1"	-1.55707718174225	6.61606645534247	-13.7071880133431	1.23354327208734e-07	2.72075677943463e-05	8.31705100590312
"RORA"	1.62530067343965	5.23451731792921	13.6354635383026	1.29452510298564e-07	2.82726820776579e-05	8.26931551071508
