"Symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"IFIT1"	1.75253898107194	7.12688901901898	15.1726034117322	2.21444279371601e-05	0.258987297844442	-2.70733576296664
"OAS1"	1.27872388242661	5.72449231034541	15.0228741173391	2.32515417555723e-05	0.258987297844442	-2.70879063447843
"DDX60"	1.47395430174225	4.39285569665339	13.6903517086617	3.66845756757348e-05	0.272407430776115	-2.72379876709456
"SAMD9"	0.79561133638793	4.96900173229437	10.3459085906223	0.000143232283179028	0.704101438468562	-2.78787173110852
"OAS1"	1.36066877356833	7.01803050544533	9.16505257380558	0.000256111117835092	0.704101438468562	-2.82689899190991
"CCL5"	1.09009296975287	3.73102453734672	8.42816966594061	0.000381332668660464	0.704101438468562	-2.85887637825918
"STAT1"	0.62118266445402	6.86551473059866	8.09908785895326	0.000460146117696259	0.704101438468562	-2.87565183047059
"MFAP5"	0.672156818721657	3.77861462427947	8.00402033053156	0.000486418758327133	0.704101438468562	-2.88083115852525
"IFIT5"	0.596286047111058	7.69725685413913	7.75805632908565	0.000563097772122201	0.704101438468562	-2.8949898974216
"ISG15"	0.875056209680501	11.2152556560382	7.59263992974833	0.000622775866999911	0.704101438468562	-2.90517172882898
"TRIM14"	0.602284999354502	8.81037602642314	7.56767107438732	0.000632421787023694	0.704101438468562	-2.90675757099603
"FGA"	0.639384720302859	4.66730541503055	7.34968606325543	0.000724604767362678	0.704101438468562	-2.92117987710093
"SOCS7"	-0.597885693297326	4.24432189596206	-7.32320542361686	0.000736854899025108	0.704101438468562	-2.9230052153887
"IRF9"	0.597600302333007	9.0046119071285	7.17328279185254	0.000811019802288059	0.704101438468562	-2.93365638719866
"IFIH1"	0.669490197367317	7.67643842551564	7.1090788638127	0.000845462516750327	0.704101438468562	-2.93838822660328
"UBE2L6"	0.534475065728055	6.06079747091236	6.9449285649251	0.000941695697408271	0.704101438468562	-2.95097719583444
NA	-0.572025251840924	5.52853730787865	-6.89572084040046	0.000973029831869354	0.704101438468562	-2.95489423672696
"PPY2P"	-0.652230765351722	4.11998471072981	-6.86049436209689	0.000996219409166053	0.704101438468562	-2.95774041094888
"LINC01558"	0.723169957464083	4.65843354925195	6.85137457762998	0.00100232901941544	0.704101438468562	-2.95848305677767
"HIST1H2BN"	0.572441256935157	4.89421069499982	6.7119123727078	0.00110150814140739	0.704101438468562	-2.97014516313572
"PSMB8"	0.527461333269328	5.00200118317816	6.71066381216966	0.00110244708985719	0.704101438468562	-2.97025221735777
"IFITM1"	0.645426447689072	9.95367822889191	6.69263819716357	0.00111610871018767	0.704101438468562	-2.97180313088035
"DDX58"	0.675549067852807	7.42333325417136	6.63201206309695	0.00116354741785547	0.704101438468562	-2.97709380451979
"MYH14"	0.519043589684965	6.40561298375859	6.58461130091809	0.00120230175092466	0.704101438468562	-2.98131179194895
"PGK2"	0.616185742557649	4.73959229004285	6.56270732682171	0.00122072390063369	0.704101438468562	-2.98328555321159
NA	0.59619107685885	4.79689988859362	6.5250826130707	0.00125315156841904	0.704101438468562	-2.98671282130254
"NCOA2"	0.660568459107112	4.61792325067536	6.29971957471678	0.00147011330965045	0.704101438468562	-3.00826141568172
NA	0.575729279004094	4.50425460035658	6.24357834857473	0.00153087348325664	0.704101438468562	-3.01391498769389
"SP110"	0.518578723515872	6.12121994628055	6.19926002535181	0.00158093543762661	0.704101438468562	-3.01846245741123
"PHLDA1"	0.555274498158258	6.98948522667804	6.15709122812249	0.00163036915721841	0.704101438468562	-3.02286010919376
"SFTPD"	0.487176967292555	5.0961640964935	6.08696003978292	0.0017166750468883	0.704101438468562	-3.03033036284548
"STAT1"	0.484854586427089	11.1471064263063	6.03654806694602	0.00178204593232592	0.704101438468562	-3.03582397148593
