"Symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"FOS"	1.71290735093658	8.55384142902107	22.8026241244055	1.10436723139937e-06	0.00829740716768026	5.17517634243539
"IFI6"	2.01083273963808	8.90084564337648	22.2078068541397	1.27647045923535e-06	0.00829740716768026	5.10801341885376
"EED"	-1.82534338965282	6.0785477552772	-21.6537548599313	1.46589153252937e-06	0.00829740716768026	5.04185156550645
NA	1.64612866146498	10.0475833124216	21.4126786848945	1.55854816326482e-06	0.00829740716768026	5.01191602035335
"ATP5C1"	-2.08187971492164	6.49452111375698	-20.425678743304	2.01766435617319e-06	0.00829740716768026	4.88154374347319
"GABRP"	1.87175324387889	5.94663195176404	20.0473721614062	2.23479117502723e-06	0.00829740716768026	4.82801376224353
"MYC"	1.27332343467425	10.7855776710257	17.4982562298807	4.69360246358898e-06	0.0149370545830531	4.40636593900814
"IFI27"	2.42482216180896	9.18636873737702	16.9120922584479	5.65001056905598e-06	0.0157331606808575	4.29189980474706
"CYP4B1"	1.19424888435646	5.70973246542915	16.3589382400026	6.76973915641297e-06	0.0167566087986013	4.17682317270202
NA	-1.13039151985375	7.13344463438901	-15.0621044023476	1.05970719203755e-05	0.0236070971170206	3.87695011953654
"ABCA12"	1.08605431308897	7.58528700677871	14.2254458930857	1.44366703652317e-05	0.0280526344474809	3.65807704333312
"PROS1"	1.01709489087186	6.63464143935928	13.9338051067308	1.61455670797706e-05	0.0280526344474809	3.57652834017232
NA	1.0121242189384	7.27290562175195	13.8981460784655	1.63704380220519e-05	0.0280526344474809	3.56636021485348
NA	1.09341076136439	7.17716010194629	13.1945988265871	2.16607461305857e-05	0.0326366405226537	3.3564991110726
"IDS"	1.08987875041579	5.0702906945971	13.1592768056302	2.19755625910044e-05	0.0326366405226537	3.34548070596127
"CYFIP2"	0.966971229902083	6.50805542563185	12.7291043562691	2.62761320287769e-05	0.0353998565154277	3.20736937092686
"PMP22"	0.942944651909039	7.23701390604409	12.4929330176047	2.90559885734129e-05	0.0353998565154277	3.12834919148485
"BLNK"	1.08209565687067	6.45542987388688	12.3209694651628	3.1298803696257e-05	0.0353998565154277	3.06932515547496
