"Symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"FOS"	1.83528144697267	8.61502847703911	16.2979648558663	1.21170313621372e-06	0.0128567259684015	4.87148802398056
"GABRP"	2.29608102887923	6.15879584426421	16.2898805201959	1.2156528374088e-06	0.0128567259684015	4.86985459870213
NA	1.70031828802452	10.0746781257013	14.9736222907961	2.11030578675105e-06	0.0128567259684015	4.58018724978612
"IFI27"	2.26686111310929	9.10738821302718	13.9817938454019	3.29938975729812e-06	0.0128567259684015	4.32667595008167
"ATP5C1"	-1.62740163137879	6.7217601555284	-13.8546105768479	3.50151251744467e-06	0.0128567259684015	4.29167816070914
"MYC"	1.42699769443144	10.8624148009043	13.6511493759905	3.8550641047766e-06	0.0128567259684015	4.23442721640536
"BRD3"	-1.39059577138701	6.95928889166929	-13.5531056334724	4.03991030115412e-06	0.0128567259684015	4.20627092827801
"CEP152"	-1.11358824658776	4.44762518991045	-10.6873753459291	1.86555218642102e-05	0.0460951351070894	3.18725118368094
"EED"	-1.75426916780571	6.11408486620075	-10.4942344759	2.09536901481154e-05	0.0460951351070894	3.10226482535472
NA	-1.41461364406955	6.57678119447468	-10.4058878788766	2.21114770850554e-05	0.0460951351070894	3.0625731177997
"CALR"	-1.73259869189669	9.50087267446569	-10.2813913076245	2.38691065635846e-05	0.0460951351070894	3.00574852985215
"IFI6"	1.70219688808993	8.7465277176024	10.2176638160197	2.48301665971662e-05	0.0460951351070894	2.9762508299337
NA	-1.56548845175002	10.0242353599983	-9.97693865971261	2.88808967391466e-05	0.0494907489736899	2.86225504913706
"MSMB"	1.04736561144508	9.56551349681302	9.66391408030095	3.53256319521735e-05	0.0562106502141835	2.70771523713476
NA	-1.02899520815336	7.31922516064565	-9.50110454155132	3.93172594031975e-05	0.058391372515002	2.62439581053878
"BHLHE40"	1.01719526910047	8.5724692163667	9.3325578119437	4.40005244940519e-05	0.0599496867250451	2.53593791203059
"NUCKS1"	-1.07142005496178	7.88094330014695	-9.27417949623974	4.57684696013606e-05	0.0599496867250451	2.50476472834922
"CYFIP2"	0.982363751462946	6.51575168641229	9.19067438615222	4.84398420366662e-05	0.0599496867250451	2.45968709944066
"ABCA12"	0.962479474688828	7.52349958757864	9.11087647110008	5.11597108727296e-05	0.0599834146900946	2.41606780241306
NA	1.03557645462483	8.44610655210913	8.91417065684181	5.86396332432034e-05	0.0629511163739091	2.306228832807
"BCL2"	1.08497549769938	6.38613330189875	8.88593838381282	5.98121752264907e-05	0.0629511163739091	2.29018886122818
"PROS1"	1.02543943825364	6.63881371305017	8.75549012919862	6.55883554613433e-05	0.0629511163739091	2.21515898290479
"PLEKHB1"	1.1712850182879	4.97882089830918	8.67461404925839	6.94875927401107e-05	0.0629511163739091	2.16787375522672
"AHNAK2"	0.984345657237386	6.38925997940497	8.67435932752566	6.95002832434479e-05	0.0629511163739091	2.16772388876465
"MSMB"	1.02122469188711	9.43454124347266	8.65158087297254	7.06458638662175e-05	0.0629511163739091	2.15429808400638
"CYP4B1"	0.914083720953618	5.56964988372774	8.55869932024432	7.5544844066452e-05	0.0647274035103212	2.09905773674407
"GABBR2"	0.915945899044356	5.52887401416642	8.49270943100028	7.92604697819193e-05	0.0653957587159932	2.05932235022625
"CITED2"	1.17592003981126	7.52769332049789	8.1569124233941	0.000101704545584186	0.0727952480690834	1.85064670807111
"FUS"	-0.860270088187404	7.9567602348432	-8.11999014124561	0.000104586258927967	0.0727952480690834	1.82702362939773
"ARMCX2"	0.919285150514493	7.45150612970315	8.10178271985396	0.000106041388942223	0.0727952480690834	1.81532377725932
NA	1.04955400434774	9.37158209202145	8.08112354604253	0.000107720390281567	0.0727952480690834	1.80200776457604
"EIF4B"	-0.866783732244533	8.24000976309261	-8.03517856747795	0.000111563793894242	0.0727952480690834	1.77223772450693
"NDUFB8"	-0.896873852089982	5.83111930830556	-8.01778944704555	0.00011305888284001	0.0727952480690834	1.7609140610824
"EIF1"	1.02026619057815	5.18459677850288	8.01287541274228	0.000113485498452286	0.0727952480690834	1.75770844494968
"COL5A1"	0.829941764179868	6.21510246581145	8.00274691425368	0.000114370592199036	0.0727952480690834	1.7510933829047
"CA4"	0.826399104153859	6.73881405005301	7.9469513517485	0.000119389182135914	0.0732383444556741	1.71446226602314
"BLNK"	0.992118452914687	6.41044127190889	7.92276497079734	0.000121641995998561	0.0732383444556741	1.69848272495545
"SKP2"	0.879155229030882	5.53977938339554	7.82615194969624	0.000131135352902051	0.073532187276428	1.63403869748331
"AZIN1"	-0.91685157956838	5.09265370284522	-7.79322910095801	0.000134560448891573	0.073532187276428	1.61185187002244
NA	-1.18292207164994	8.68268622748213	-7.74615978396618	0.000139635072712269	0.073532187276428	1.57992985040603
"PLCH2"	-1.03012240267242	5.57594211276155	-7.73751994896793	0.000140589955536609	0.073532187276428	1.57404444788254
"HOMER3"	-0.812136197272173	6.83625804678617	-7.71597233639884	0.000143003873249721	0.073532187276428	1.5593311310849
"CYP24A1"	-0.792735052016984	6.65592645316204	-7.70757254448531	0.000143957591626632	0.073532187276428	1.55358186650294
"PDZK1"	0.924244451023269	6.76823340326304	7.69641398538454	0.000145235724745829	0.073532187276428	1.54593248320353
