"Symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"TNS3"	2.4077271775722	7.78715993497933	27.3556937857902	2.41040955563867e-06	0.0163952190885959	5.01021773102024
"GABBR2"	2.19936643119801	5.9865989465947	25.3302017654513	3.44768408336302e-06	0.0163952190885959	4.81983584882557
"MSMB"	-2.39307431141173	7.87558964791049	-25.26005994503	3.49243035617497e-06	0.0163952190885959	4.81267144522066
"HIRA"	-1.94536906458123	8.56904640064749	-24.4861401359773	4.03607666285508e-06	0.0163952190885959	4.73082747062102
"WISP2"	1.79257144552918	8.73946915870729	22.7924090494802	5.63110729335102e-06	0.0163952190885959	4.53217965049262
"PTGER4"	-1.78397268881355	9.58711829672707	-21.4425506054916	7.47578763347372e-06	0.0163952190885959	4.35190494602662
"FOS"	1.57362983491847	8.0719149967144	21.1057716799093	8.04540098194045e-06	0.0163952190885959	4.3035073988844
"BCL6"	1.49045707423547	8.17112735401533	20.2381617734024	9.77382722300715e-06	0.0163952190885959	4.17192127189976
"AMIGO2"	-1.55865221506925	11.9426734741191	-19.9794009522364	1.0374343185711e-05	0.0163952190885959	4.13064327743124
"SCNN1A"	1.76373693798371	6.99247210973153	19.8675522653336	1.06477048752777e-05	0.0163952190885959	4.1124982335548
"MSMB"	-2.32358887788282	7.94207667530355	-19.7487000378608	1.09478081892349e-05	0.0163952190885959	4.09301304214802
"CDH18"	1.48298795688308	7.33034693079229	19.5930187231045	1.13565658344538e-05	0.0163952190885959	4.06716729345925
"COL5A2"	1.65201804012703	6.91719689811798	19.4111156025941	1.18578515213887e-05	0.0163952190885959	4.03649663711985
"IFI6"	-2.25409885586198	9.31976352433927	-19.3018376296794	1.21719000912628e-05	0.0163952190885959	4.01782271375927
"PDIA3"	-1.41877075124437	10.6067203601878	-19.2409571619916	1.23512321354746e-05	0.0163952190885959	4.00733715601663
"HS3ST3A1"	-1.47663598132482	9.79923169755503	-19.2138309948697	1.24321661230975e-05	0.0163952190885959	4.00264611996616
"SERPINA3"	-1.7002155593735	11.1380012606396	-18.8729014468351	1.35062571222088e-05	0.0163952190885959	3.94267009264292
NA	-1.56201888434706	7.11466194525346	-18.8280436383497	1.36558089715932e-05	0.0163952190885959	3.93463613832161
"ARPC3"	-1.51952887200422	11.3755294934552	-18.7318170635077	1.39834431334256e-05	0.0163952190885959	3.91728815649132
"SULF1"	1.87034701246442	8.79614796216617	18.4214385752548	1.51071302926463e-05	0.0168270770764641	3.86025404913353
"TGFBI"	1.37218641457961	9.63027181613675	17.7895332694586	1.77527219967077e-05	0.0179472662999269	3.73883801597791
"LMNB1"	-1.701251545199	9.93667734798366	-17.7522335572784	1.79257502933179e-05	0.0179472662999269	3.73144028670392
"PHLDA1"	-1.46506091454592	9.95463649049874	-17.6253694382149	1.85297447994936e-05	0.0179472662999269	3.7060802968709
"DENND1A"	1.32330088855984	7.54819091856469	17.2523895449744	2.04538179960867e-05	0.0180142704506031	3.62970401307541
"IGFBP3"	1.72159576424308	6.2800341123527	17.2122851933344	2.06748033321185e-05	0.0180142704506031	3.62132662839141
"GRB14"	1.45446142958103	8.18661286597341	17.1498059409891	2.10248701223541e-05	0.0180142704506031	3.60821025531906
"THBD"	1.33289124268982	6.81727515862863	16.7019697465738	2.37557942502642e-05	0.0182538550084038	3.51182124119729
NA	-1.32696943571351	8.91601541378098	-16.6184866493321	2.43113452460625e-05	0.0182538550084038	3.49338088625464
"NT5E"	1.24490658195499	8.13900677799883	16.5659957102738	2.46687148170041e-05	0.0182538550084038	3.48170851458569
"FGFR2"	1.46971854565009	7.2289126377886	16.1838095150231	2.74717752105275e-05	0.0182538550084038	3.39487217340065
"TNFRSF11B"	-1.36505121850269	7.10922755614073	-16.1510542737802	2.77295167065205e-05	0.0182538550084038	3.38727556595409
"EPAS1"	1.347413691315	9.08753264707556	16.129200189979	2.79031089272263e-05	0.0182538550084038	3.38219336225614
"TSPAN3"	1.28029117783931	7.83385798049166	16.0633714710859	2.843400922457e-05	0.0182538550084038	3.36681771973728
"MYO1B"	1.34918657387205	9.70656173155374	15.9725079212598	2.91870480840023e-05	0.0182538550084038	3.34542801637244
"THBD"	1.22810803871051	7.74093516055081	15.9468433262486	2.94041026602117e-05	0.0182538550084038	3.3393511742843
"ROBO1"	1.20662760013024	8.62733218547011	15.9357495451593	2.9498531234122e-05	0.0182538550084038	3.33671956178624
"SMIM14"	-1.45794494215687	6.50824696134421	-15.7205531499053	3.14049969188789e-05	0.0184414577622848	3.28508806144903
NA	1.44509520242657	7.5655369165879	15.7148682575741	3.14573504047592e-05	0.0184414577622848	3.28370890210889
"IGFBP5"	-1.18820682121481	10.0796089802413	-15.2191589482195	3.6458097598963e-05	0.0203510830246239	3.16034799436305
NA	1.11946744161192	6.52155851412354	15.2115676216191	3.65418737255894e-05	0.0203510830246239	3.15841011320075
"TNKS2"	-1.32445501091354	9.05767297029401	-14.9907272592932	3.90842224794273e-05	0.0212360786383952	3.10137134171977
"CALCR"	-1.10617361669982	10.1278761189883	-14.8517969949576	4.07935512124502e-05	0.0216370938180894	3.06482030770347
"PKIA"	1.32375522088308	8.04139460856461	14.703247725909	4.27223532443482e-05	0.0221331596098685	3.02515509672995
"DNAJC12"	-1.1373819150115	9.10297740828642	-14.5432169815386	4.49251349458664e-05	0.0223043252995247	2.98173602402915
"SRI"	1.10853111950737	5.67583306039513	14.5340661192238	4.50551976692827e-05	0.0223043252995247	2.97923136343485
"DNMBP"	-1.0739802001898	9.66120542012529	-14.3918166015765	4.71368125740342e-05	0.0228275385589513	2.93998806562313
NA	-1.28858100121421	9.37638395949522	-14.2999135541195	4.85436630908804e-05	0.0228370829078619	2.91432255569737
"ARRB1"	1.18822435969323	6.44191279045123	14.2577039520185	4.92068043083616e-05	0.0228370829078619	2.90245181110966
"FGFR2"	1.11488212766027	5.489667722737	14.1076080836107	5.16554153344223e-05	0.0234531996745191	2.85981131722458
NA	1.15668743669995	10.336258405714	13.9057455121456	5.51852632767621e-05	0.0234531996745191	2.80139084374991
NA	-1.1596470672083	10.2461181378817	-13.8747192852373	5.57533360031915e-05	0.0234531996745191	2.7923005416542
"PDCD6"	-1.43752924792791	8.09372746194269	-13.817666398684	5.68165160710487e-05	0.0234531996745191	2.7755064725105
"WWOX"	1.05993108189105	9.27430603776551	13.6532913568243	6.00196335939682e-05	0.0234531996745191	2.72654758365744
"PHLDA1"	-1.08805606718796	8.21389685684937	-13.5553729974393	6.20316267654187e-05	0.0234531996745191	2.6969721041821
"LOXL2"	1.10776953591635	5.49645542773742	13.5189644532997	6.28004758634391e-05	0.0234531996745191	2.68589592017161
"STC1"	-1.05263283849216	8.85805401549227	-13.5186596503823	6.28069609476099e-05	0.0234531996745191	2.68580301073028
"SULF1"	1.49890243379066	7.53174636909645	13.5033442983788	6.31338602914828e-05	0.0234531996745191	2.68113070378382
