"Symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"NR1D2"	1.51924116420637	6.46335457784538	21.0992459783337	2.2472521330532e-06	0.0178142871341868	4.95856847612121
"DHX9"	1.5401243093912	9.35397661561013	20.8925360869497	2.36800847878989e-06	0.0178142871341868	4.92973940349724
"MOB1A"	1.44485525570609	9.37177910053451	20.8414682169976	2.39901519067021e-06	0.0178142871341868	4.92252772498225
"CALR"	-1.4318553732823	9.65124433377289	-19.6144081428047	3.31146383443572e-06	0.0184423699599311	4.73792653869521
"ASCL1"	1.38787817214368	7.31570431539726	18.1137150829009	5.05047616826272e-06	0.0201154349284286	4.47899581222761
NA	-1.26042298404101	10.1767680938528	-17.8751841213886	5.41781252280702e-06	0.0201154349284286	4.43404108515277
"PRLR"	1.23339947032801	7.36555872512627	16.7370960334047	7.6730632796209e-06	0.024418975811445	4.20334077292536
"RPS11"	-1.07089699208348	8.73077333724602	-15.7464758768003	1.05890127636776e-05	0.0251270507180177	3.97831886372847
"CPNE3"	1.25312248172274	8.79132297296393	15.045869529051	1.34588210159594e-05	0.0251270507180177	3.80375166243386
"UGCG"	1.01661023611155	8.62253357564139	14.91551483052	1.40895945744679e-05	0.0251270507180177	3.76974155415802
"IGFBP5"	-1.04056494659482	6.0694215466498	-14.9079552965128	1.41272345297021e-05	0.0251270507180177	3.76775393740607
"BRD3"	-1.10183921490232	7.10366716991163	-14.8753987724265	1.42907025501248e-05	0.0251270507180177	3.75917458038585
"PDP1"	1.05823233534698	6.12221905173471	14.7086358718486	1.51639419735798e-05	0.0251270507180177	3.71473246584855
NA	-1.1842279005643	8.68203331302495	-14.5957191674703	1.57911168493176e-05	0.0251270507180177	3.68416173589441
"S100A8"	-1.11040683839152	5.99954327110399	-14.0382369606572	1.93760429006823e-05	0.0267631110429771	3.52734011517427
NA	-1.18817710721865	8.44927638759759	-13.8781903436471	2.05776841691554e-05	0.0267631110429771	3.4804362352408
NA	0.942611757710154	4.75299101520213	13.8506995224788	2.07928452794941e-05	0.0267631110429771	3.47229214958542
"EEF1D"	-1.41211718544596	6.69510213990921	-13.5173564640558	2.36254750993094e-05	0.0267631110429771	3.37144666182144
"IGFBP5"	-0.969459886935221	10.8637162243124	-13.3988773398945	2.4740515779749e-05	0.0267631110429771	3.33465002450363
"COBLL1"	1.19306673090619	5.77511061910237	13.3805826436306	2.49181816559373e-05	0.0267631110429771	3.32892256705983
"SULF1"	0.911094589651513	7.75803719835166	13.2773617714355	2.59493061881177e-05	0.0267631110429771	3.29637638924437
"MTUS1"	1.25914055353335	6.78467621965695	13.2308532415674	2.64303291711404e-05	0.0267631110429771	3.28158256452582
"ZFR"	1.84171168387102	7.67213237011303	13.0172618297476	2.87793607313426e-05	0.0270175771597487	3.21259082397123
"PHLDA1"	-0.923415004705416	5.83953016853832	-12.9890921634027	2.91072340007168e-05	0.0270175771597487	3.20336115463596
"PLEKHB1"	1.01038604145166	4.89837140989106	12.8681850367943	3.05655740272485e-05	0.0272363717042006	3.16339449693871
"EEF1D"	-1.02187417731201	6.1188413069797	-12.4954879960573	3.56357768926173e-05	0.0293955951992732	3.03651056791749
"RPL27A"	-0.841091090995305	8.35142822717554	-12.4312559317561	3.66068813531848e-05	0.0293955951992732	3.01406472865503
"CAV1"	-0.850394496228361	11.351313320543	-12.1892499865598	4.05576055250334e-05	0.0293955951992732	2.9279165487721
"PDGFC"	1.02419476650286	4.60952566740132	12.0511903970703	4.30365800149853e-05	0.0293955951992732	2.87762714707059
"SF3B1"	1.15388086816909	9.59036892071521	11.9647939331799	4.46789393730267e-05	0.0293955951992732	2.845723771496
"FHL1"	0.813327325588832	6.47131185577969	11.9535221567276	4.48986218860156e-05	0.0293955951992732	2.84153661383147
"IL6ST"	0.877416794320089	5.30975174479435	11.9005684925994	4.59478863221105e-05	0.0293955951992732	2.82178837688998
"TPR"	1.02181640908845	10.1144828123672	11.8969290036229	4.60210587810178e-05	0.0293955951992732	2.82042638323072
"BCL2"	0.84333311927467	6.2653121126864	11.8797009971129	4.63693020935576e-05	0.0293955951992732	2.81397096407363
"EEA1"	1.15403908337747	5.09208219293641	11.7750493873493	4.85527984342397e-05	0.0293955951992732	2.77446323662026
"MARCKS"	-0.936227524917459	7.13463554169107	-11.7641617704996	4.87868575361727e-05	0.0293955951992732	2.77032376106958
"DCAF13"	1.05538193422338	5.66041280372524	11.5534139470598	5.35908789022013e-05	0.0293955951992732	2.68909405624594
"IGFBP5"	-0.977569867727511	7.40730669268159	-11.5496021461618	5.36827794116178e-05	0.0293955951992732	2.68760530809292
