"Symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"ZFR"	1.75990818354254	7.63123061994879	23.9252351664389	1.85213076500987e-06	0.0178222077684932	5.15644713678652
"MIS18BP1"	1.54391984661961	8.49753950437202	23.4865683650128	2.03496066326733e-06	0.0178222077684932	5.1063504645347
"MOB1A"	1.36907150257746	9.3338872239702	21.5459572561071	3.15447590664922e-06	0.0178222077684932	4.85964125451753
"ASCL1"	1.58153611221222	7.41253328543153	21.4851127385547	3.20010912932499e-06	0.0178222077684932	4.85118185570126
"CALR"	-1.46064882299395	9.63684760891706	-18.3270808839229	7.16528464232218e-06	0.0206515315644434	4.33827050264338
"NR1D2"	1.29824392402429	6.35285595775434	17.7575941843965	8.40589664149694e-06	0.0206515315644434	4.22785817469996
"IL6ST"	1.19387836573423	4.34626326490891	17.4525053078198	9.17555326653351e-06	0.0206515315644434	4.16606850663485
"PRLR"	1.17869903924868	7.3382085095866	17.3779368765241	9.37627021996658e-06	0.0206515315644434	4.15067500791505
NA	1.13889308875534	10.6815882786734	17.0475892524039	1.0330953849385e-05	0.0206515315644434	4.08106284485452
"WASL"	1.03687199738888	9.0923938202828	16.4774008987504	1.22665237125014e-05	0.0206515315644434	3.95524206754438
"IGFBP5"	-1.12726040950795	10.784815963026	-16.3473534510426	1.27667896872603e-05	0.0206515315644434	3.9254950490101
"BRD3"	-1.06604638807206	7.12156358332676	-16.3046025167875	1.29365294745718e-05	0.0206515315644434	3.9156282995334
NA	-1.13936615314985	8.70446418673217	-15.91444655615	1.46166951909882e-05	0.0206515315644434	3.82352240739862
"EEA1"	1.33325107677378	5.18168818963456	15.6461138733206	1.59241397503244e-05	0.0206515315644434	3.7579549168457
"ASCL1"	1.31929666766402	5.77858244386235	15.5282242821831	1.65423627160953e-05	0.0206515315644434	3.72855649210731
"EEF1D"	-1.0468055589703	6.10637561615055	-15.4603697209464	1.69111632305664e-05	0.0206515315644434	3.71146829350076
"UGCG"	0.978471588592974	8.6034642518821	15.3937779011407	1.72826641679112e-05	0.0206515315644434	3.69457804869791
"CYP24A1"	-1.0160353330079	6.54427631266658	-15.2734871249812	1.79786929187988e-05	0.0206515315644434	3.66376284424773
"ASH1L"	1.03782220896532	5.95333871068449	15.0824676211521	1.91538892500613e-05	0.0206515315644434	3.61400887478447
"EED"	-1.08031470906006	6.45106209557358	-14.8765670821167	2.05246564218541e-05	0.0206515315644434	3.559225731543
NA	-1.26878133218553	10.1725889197806	-14.770143419971	2.12788761368575e-05	0.0206515315644434	3.5304303469779
"RPS11"	-1.1041877909405	8.7141279378175	-14.7408912492338	2.1491939156026e-05	0.0206515315644434	3.5224573396157
NA	1.17830414678301	8.42084766617713	14.637312375855	2.22670831713502e-05	0.0206515315644434	3.49402196721263
"EVI5"	0.916669648102914	5.32633911942663	14.5469134769205	2.29709363108354e-05	0.0206515315644434	3.4689425131622
NA	0.919502778036858	4.74143652536548	14.4015388266559	2.41592405742714e-05	0.0206515315644434	3.42809031296495
"SF3B1"	1.05782744810941	9.54234221068537	14.1822669312654	2.60931599331269e-05	0.0206515315644434	3.36523173067916
"DDX6"	1.09446375613586	6.95283480930978	14.1336179870674	2.65468939290024e-05	0.0206515315644434	3.35107952680736
"CELF3"	-0.925042561088383	5.31635201553032	-13.995317500426	2.78890386689929e-05	0.0206515315644434	3.31043089248972
NA	-0.913110861025329	12.0256861688128	-13.9648274029728	2.81957107169278e-05	0.0206515315644434	3.30138567112453
"IGFBP5"	-1.05921650632273	7.85002527241065	-13.9481509803378	2.83651419159057e-05	0.0206515315644434	3.29642552320489
"S100A9"	-0.994881210291089	6.77176760430205	-13.8907691365896	2.89574726464227e-05	0.0206515315644434	3.27928811049836
NA	-0.992880141190286	7.33728269412719	-13.7229537550541	3.07762117479396e-05	0.0206515315644434	3.22853904013226
