"Symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"HMOX1"	6.8539120309819	10.5120678526665	53.052164080197	2.25528747335814e-08	0.000164987152220196	9.82244236700583
"RGCC"	4.8228806638568	7.13453424841695	48.3255547997325	3.67838545090301e-08	0.000164987152220196	9.50746291486994
"TNFRSF11B"	-4.10833106031896	5.96530474201737	-45.7371874128431	4.9085647964903e-08	0.000164987152220196	9.30918370670579
"TXNIP"	-4.52166304693637	9.34122236963121	-45.131092989381	5.26397854098322e-08	0.000164987152220196	9.25976329143109
"CXCL12"	-3.57704591469818	6.73112414135407	-40.8535934858844	8.86888632383029e-08	0.000164987152220196	8.8743806047281
"SH3BGR"	3.89394185476566	8.45250789283081	40.4733145022886	9.31409194500974e-08	0.000164987152220196	8.83672370281068
"SLC6A14"	-3.87634175158249	9.98459384088477	-39.8820312058453	1.00603432823875e-07	0.000164987152220196	8.7769670795855
"S100A4"	3.61220347891488	8.07173379789079	39.7446049670951	1.02438473391731e-07	0.000164987152220196	8.76286416586055
"TOP2A"	-3.43906836079157	9.23233013421382	-38.9156611802383	1.14391964457192e-07	0.000164987152220196	8.67603414243641
"DNAJB1"	3.46509823677493	11.0886423208333	38.6538709587957	1.18507060899679e-07	0.000164987152220196	8.64796991894332
"GDF15"	3.76508809254216	10.6143014513993	38.2817205910991	1.24664302693552e-07	0.000164987152220196	8.60753006671206
"GADD45A"	3.67858713632775	9.97199588818448	37.3162637351685	1.4250055580065e-07	0.000164987152220196	8.49954684073076
"STC1"	-4.63862909067052	8.15778866637973	-36.9776100465995	1.49465736762213e-07	0.000164987152220196	8.46058613923333
"ADCY1"	-4.41716181998788	8.58945192628582	-36.9463202331938	1.50129501594499e-07	0.000164987152220196	8.45695727082511
"CDK1"	-3.43303506028534	8.92627826200154	-36.7927748433767	1.53438012659212e-07	0.000164987152220196	8.43907762521192
