"Symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"ATP5C1"	-1.6784246798105	6.69624863131255	-23.8092996250243	1.51457726610452e-06	0.0179074412143379	4.71960670945074
NA	1.58309581972551	10.0160668915518	20.8279355309592	3.03513832969617e-06	0.0179074412143379	4.41308856522189
"IFI6"	1.82208784855114	8.80647319783301	20.2398796900459	3.52132749883403e-06	0.0179074412143379	4.34087210267692
"FOS"	1.53684667447782	8.46581109079169	20.1360947539265	3.61647127338261e-06	0.0179074412143379	4.32765854533246
"GABRP"	1.75861477919476	5.89006271942197	19.7301002325715	4.01926678061181e-06	0.0179074412143379	4.27455306445841
"GABBR2"	1.30800196315774	5.72490204622311	17.0743477568962	8.49158598674646e-06	0.0271385445007563	3.86287023425412
"MYC"	1.28814077539738	10.7929863413873	17.0603505194444	8.52762093214051e-06	0.0271385445007563	3.86036091674085
"STON1"	1.30907022065055	5.41350329370349	16.5701216058706	9.91238677427323e-06	0.0276022800213106	3.76988585387332
"BLNK"	1.1809389612098	6.50485152605645	15.90813383465	1.22308910342212e-05	0.0302741732854828	3.63926015886774
"IFI27"	2.30074844560591	9.12433187927549	15.2806629165197	1.50462345838586e-05	0.0335184967824617	3.50568169885767
NA	1.16458769380008	6.64681479997607	14.7373531058344	1.81238252912776e-05	0.0365479270561979	3.38162992138524
"PROS1"	1.03350493218503	6.64284646001586	14.5017722159821	1.96873512894184e-05	0.0365479270561979	3.32524787096157
NA	-1.03342269517996	7.1819290467259	-14.0611811579173	2.30635121372648e-05	0.0395219892216805	3.21532733608403
"CYFIP2"	0.982181407141931	6.51566051425178	13.3487944070961	3.00983924306504e-05	0.0478929920126856	3.02436486487651
NA	-0.884808329477752	6.75684369246707	-12.564784721686	4.09986512909922e-05	0.0548401026216634	2.79331965855303
"COL4A3"	1.2283615119752	5.1758672999619	12.5447964143903	4.13327525746069e-05	0.0548401026216634	2.7871198616705
NA	0.93567614179844	7.23468158318197	12.5142539527753	4.18495194401526e-05	0.0548401026216634	2.77761544749221
"F8"	0.924720976068421	5.9389528503701	12.0681066966316	5.03457852549042e-05	0.056510600485827	2.6343904136626
"RAMP3"	-0.886613126945015	8.0186545087234	-11.9375797188983	5.32079472496239e-05	0.056510600485827	2.59088289819832
"BDH2"	0.917239980179307	8.20202930172499	11.7992712364882	5.64536472693543e-05	0.056510600485827	2.54395797372198
"ABCA12"	1.03434782666607	7.55943376356726	11.6822597404164	5.93840024425358e-05	0.056510600485827	2.50358289717821
"SNORA21"	-0.830281363794997	5.7667009163723	-11.5922476834099	6.17613168139829e-05	0.056510600485827	2.47209458885334
"SRSF7"	-0.849021237213499	9.22993249682938	-11.4435080546602	6.59415323761994e-05	0.056510600485827	2.41922760262221
"ZNF750"	0.814597826797929	6.19473453695769	11.3952193493114	6.73701099769087e-05	0.056510600485827	2.40183711499539
NA	0.95024045325134	6.77680468912382	11.3820123097357	6.7767190660087e-05	0.056510600485827	2.39706117940155
"MUC5AC"	-0.837763222621577	7.04214301801971	-11.3599483542991	6.84367621848854e-05	0.056510600485827	2.3890635265934
"DDX58"	0.888152425473564	6.91081041346671	11.3193079229832	6.96906902448538e-05	0.056510600485827	2.37427028136082
"BCL2"	1.07891630347881	6.38310370478846	11.2507651947343	7.18677174669265e-05	0.056510600485827	2.34913691805397
"GBP2"	0.78713329418354	6.36263365078836	11.0516647161805	7.86634722612967e-05	0.056510600485827	2.27480066939238
"CEP152"	-0.863999219684379	4.63818834515054	-10.9537802293405	8.22822262217219e-05	0.056510600485827	2.23751422149343
"SKP2"	0.965944370616127	5.58317395418816	10.9208886803845	8.35422083257945e-05	0.056510600485827	2.22487352292642
"PMP22"	0.811453118532462	7.1712681393558	10.8186420434347	8.76074046077118e-05	0.056510600485827	2.18521563574645
"ACTB"	-0.98171589248135	10.9788844057484	-10.810350071991	8.79472306600068e-05	0.056510600485827	2.18197519568652
"ID1"	-0.856445433457329	10.8805973160226	-10.7603632031071	9.00291863992023e-05	0.056510600485827	2.16236285477373
"ALCAM"	0.75789363651929	8.70027081832146	10.7195153800124	9.17739070219556e-05	0.056510600485827	2.14623651178321
"PDZK1"	0.927765498553073	6.76999392702794	10.6824498170127	9.33917968578058e-05	0.056510600485827	2.13152520784867
"EED"	-1.62242598142209	6.18000645939256	-10.6256792726971	9.59357212058295e-05	0.056510600485827	2.10884772970584
"BHLHE40"	0.872546579539376	8.50014487158616	10.6156086160011	9.63955118939457e-05	0.056510600485827	2.1048064552317
"N4BP2L1"	1.16862306311114	6.33329803454784	10.4954842052863	0.000102086069460434	0.0572708556973787	2.05616792291843
NA	0.76869644328436	5.66855090256114	10.4415102824522	0.000104771831779183	0.0572708556973787	2.03405058598702
"CITED2"	1.08482202271065	7.48214431194758	10.3012061263836	0.000112153981454983	0.0572708556973787	1.97577971157972
"ASS1"	0.763965859155039	9.83050941788134	10.1902379896758	0.000118431015852976	0.0572708556973787	1.92888356224342
NA	0.872432860641157	7.06667115158468	10.1766867005519	0.000119225687611144	0.0572708556973787	1.9231069579325
"HES1"	0.758246501117432	9.57256549720613	10.131636089735	0.000121913240108651	0.0572708556973787	1.90382438858905
NA	-0.901162371066117	7.51784882510099	-10.078481766563	0.000125176903671528	0.0572708556973787	1.88091700494529
"PRLR"	0.753154233882221	7.12543610690337	10.0657999249914	0.000125970763357464	0.0572708556973787	1.8754264862295
"MAST2"	-0.740791626528297	5.28652938012626	-10.0578337572067	0.000126472474882724	0.0572708556973787	1.87197261065212
"CXCL12"	-0.778318248156141	7.64534137892652	-10.0553824329342	0.000126627335087888	0.0572708556973787	1.87090902122893
"BCKDHB"	0.712618793684792	6.80448671247134	10.0285815060473	0.000128335169098131	0.0572708556973787	1.85925673700637
NA	0.744513447425255	7.73595081023914	9.93508141375749	0.00013451031882879	0.0572708556973787	1.81826163152272
"DZIP3"	0.702753925939366	6.70790809417853	9.92883141571053	0.000134935477540427	0.0572708556973787	1.81550211935536
"GEM"	0.71259837532731	5.8358971798982	9.90091186958579	0.000136854222755011	0.0572708556973787	1.80314542385417
"SELENOP"	1.09985148709493	5.15954261089681	9.87402149528989	0.000138732801191482	0.0572708556973787	1.79119833093557
"MSMB"	0.834848533706948	9.45925495794395	9.87269902766586	0.000138825973320396	0.0572708556973787	1.79060960785014
"SRSF1"	-0.6894703673842	10.5120433228625	-9.71911628313069	0.000150167695465564	0.0608233773070249	1.72148810238536
NA	1.13084070243594	6.13615070178806	9.65927881928628	0.000154880747861715	0.0616121146449182	1.69414941086102
"ATP1B1"	0.669657684441628	10.7813810767432	9.54897682291583	0.000164034866554087	0.0622020944292022	1.64314304420117
"TAF1D"	-1.00390342734616	6.84296339705379	-9.53365206311955	0.000165356654591449	0.0622020944292022	1.635993101738
"CTTN"	-0.952793421797177	7.21316137285551	-9.51121610754326	0.000167314564050224	0.0622020944292022	1.62549720916954
"PLIN2"	0.695101407396485	7.46608783100864	9.50873582221578	0.000167532686885673	0.0622020944292022	1.62433483516831
"EEF1D"	-0.720279585542396	6.2696386028645	-9.45023981419679	0.000172775705445053	0.0626015962043992	1.59680161863086
"RPL37A"	-0.848149068498341	7.62508067710934	-9.40742396859361	0.000176736389653239	0.0626015962043992	1.57650280635337
"DZIP3"	0.697743438808654	8.40364155452274	9.31674474680762	0.000185484399887583	0.0626015962043992	1.53310004301392
"COL4A6"	0.806903426963799	5.50056518471119	9.30538739487196	0.000186615725634466	0.0626015962043992	1.52762416019882
"LINC00312"	0.717457102126509	5.12517916467827	9.27096445026018	0.000190094769964291	0.0626015962043992	1.51097278312566
"CDH1"	-0.695360842847392	6.52234009604234	-9.19059401988164	0.000198520196509432	0.0626015962043992	1.47177351937637
NA	0.832117150429061	8.34437690001124	9.18192803839352	0.000199454750872358	0.0626015962043992	1.46751973278303
"CRISP3"	0.697750178182848	6.97654082611803	9.17989837481826	0.000199674383471356	0.0626015962043992	1.46652268466801
"PROCR"	0.686079216958627	7.22452889443712	9.14834529867476	0.000203125784371674	0.0626015962043992	1.45098508930439
"HMGN5"	0.673453104792262	6.28085858286353	9.14469189676966	0.000203529940581735	0.0626015962043992	1.44918148992893
"IER3"	-0.688034408197993	11.1303721006143	-9.12297171911296	0.000205952421981216	0.0626015962043992	1.43843911985494
"PDZRN3"	0.683851851765714	7.60684203609703	9.11951444033957	0.000206341149926863	0.0626015962043992	1.43672611329509
"NAIP"	0.6343319047906	6.31144819716569	9.03950050950988	0.000215584455860461	0.0626015962043992	1.39684121617005
NA	1.11865350066937	6.0857979711392	9.02920843678042	0.000216808552187599	0.0626015962043992	1.39167733292467
"MSMB"	0.783166191906055	9.31551199348213	9.01457284257205	0.000218563406820383	0.0626015962043992	1.38432090571616
"CELF3"	-0.953805827093617	5.30197038252771	-9.00262584385466	0.000220008328367767	0.0626015962043992	1.37830431205693
"RHOQ"	0.667506155827837	5.8581106671367	8.98260170328868	0.000222455500954763	0.0626015962043992	1.36819664280678
"TMEM63A"	-0.679571565620031	6.18465062428233	-8.95509636815322	0.000225869535571816	0.0626015962043992	1.35426476784252
"PLEKHB1"	0.886457786807602	4.83640728256903	8.92746279734238	0.000229361931200614	0.0626015962043992	1.34021186949926
"TNFSF10"	0.761540634018495	5.03761650263761	8.92143415734426	0.000230132290221696	0.0626015962043992	1.33713854295269
"ELAVL3"	-0.720859696176522	5.50127556581277	-8.86747543349584	0.000237165020892894	0.0626015962043992	1.30951086930418
"RAI2"	0.637424321004298	4.34660054655801	8.84127412964695	0.000240671302318745	0.0626015962043992	1.29601702393239
"PHLDA1"	-0.624758294225538	5.98885852377826	-8.81332835400029	0.000244478648215266	0.0626015962043992	1.28156792208973
NA	-0.617322735487853	6.97669569605217	-8.80881892726944	0.000245099652576879	0.0626015962043992	1.27923084803507
NA	0.673290142682321	7.29334340516317	8.7771631018779	0.000249511832944849	0.0626015962043992	1.26278144547617
"TYRP1"	1.0567537488357	7.24834060060497	8.77237223852856	0.000250187716304002	0.0626015962043992	1.26028533200533
"NUP50"	-0.646307345955376	4.80532022378856	-8.76612501757096	0.000251072306491848	0.0626015962043992	1.25702781109094
NA	0.869371721661645	10.1373029470441	8.70301718702227	0.000260218291232699	0.0626015962043992	1.22395395017193
"MME"	0.692112187816334	4.14377885494354	8.69476881439529	0.000261442515190658	0.0626015962043992	1.21960851075667
"SOAT1"	0.611521769332708	7.04796569922666	8.6906938740393	0.000262049824696461	0.0626015962043992	1.21745979866817
"TNFSF10"	0.720431390846989	4.45402108149836	8.65601632102258	0.000267285897312768	0.0626015962043992	1.1991223934854
"ATP7A"	0.625368176619958	6.19353031214358	8.63730600760008	0.000270162249421843	0.0626015962043992	1.18918966424444
"SDC2"	0.639798720199784	5.48328946864695	8.62913624583349	0.000271429634999194	0.0626015962043992	1.18484403602948
"TNFSF10"	0.62497164022585	4.87445304948414	8.61450251798714	0.000273717357231907	0.0626015962043992	1.17704708998812
"APOBEC3B"	0.630690951917586	8.88072737846346	8.61193552969924	0.000274121000614729	0.0626015962043992	1.17567765509416
"FCMR"	0.975730473949539	5.19172222790504	8.60620564696559	0.000275024525094181	0.0626015962043992	1.17261902003273
