"Symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"CYP1A1"	9.59552973641312	9.53384617122542	110.565826259926	6.84100684880544e-12	1.52397109570839e-07	16.0544667493021
"CCL2"	8.14937540520926	7.74814879593253	92.9856322196493	2.10744587125137e-11	2.34737858369334e-07	15.5833087923667
"KMO"	6.36961216312551	6.90029491326156	73.3904691007272	9.80259638497811e-11	6.91485222872723e-07	14.764614460998
"BIRC3"	6.83246838258365	6.8067060633243	70.7673895185977	1.24161282555591e-10	6.91485222872723e-07	14.6202252953085
NA	7.57238772457731	7.34839597347516	64.3735640905995	2.29619300027794e-10	9.66246822476708e-07	14.2216365714386
"TNFAIP3"	6.2948144581262	8.2002263302273	63.1439594194763	2.60245137804024e-10	9.66246822476708e-07	14.136452812396
"IRF1"	4.84897339801222	8.62995034651467	55.5954531905809	5.94638693853116e-10	1.89239516899512e-06	13.5411512800605
"RELB"	4.7354324732805	7.82997447655115	54.0749765716499	7.11861579377844e-10	1.92721746702942e-06	13.4041275231634
"LMCD1"	4.7431931497806	9.27633341173077	53.1987571753196	7.91457563192083e-10	1.92721746702942e-06	13.3222124458876
"TNFAIP3"	5.96099436367473	8.93787110817926	51.6128659334814	9.63154297883935e-10	1.92721746702942e-06	13.1681702427124
"PSMB9"	4.54830301219018	6.87562583921977	51.5253812541096	9.73812322522731e-10	1.92721746702942e-06	13.1594483610279
"ICAM1"	6.22640393046916	7.06300331389032	50.7653328623865	1.0723608757745e-09	1.92721746702942e-06	13.0826550965683
"BHLHE41"	4.89191310189666	7.50804721311542	49.0785865210693	1.33513654445543e-09	1.92721746702942e-06	12.9054691305966
"GAD1"	4.37984404451114	6.86313646452249	48.3494499500473	1.47124091533488e-09	1.92721746702942e-06	12.825861510975
"KMO"	6.02115831516006	6.81518636384483	48.2612854207155	1.48875838081206e-09	1.92721746702942e-06	12.8161079841246
NA	4.29955197510134	8.77490449436115	48.1863969754076	1.50382717549905e-09	1.92721746702942e-06	12.8078012674506
"DLX2"	4.16239898706181	6.06035481891661	47.8558394837421	1.57247823476403e-09	1.92721746702942e-06	12.77089332136
"ATF3"	4.22091154995023	8.04363874325705	47.6130056856686	1.62521781617092e-09	1.92721746702942e-06	12.7435261989644
"HLF"	4.56172963427841	6.73109462362521	47.1379437999798	1.73440759815395e-09	1.92721746702942e-06	12.6893561380975
"HIST1H4H"	4.92504909111825	10.0881902698123	46.9595041083805	1.77758981403646e-09	1.92721746702942e-06	12.6687905822626
"CGA"	4.14054985166508	6.50066782751625	46.596555339771	1.86930747479003e-09	1.92721746702942e-06	12.6265863085398
"LTB"	4.68458707972187	7.98992466637091	46.1516081426253	1.98929099858756e-09	1.92721746702942e-06	12.5741537925634
"ARG2"	5.28526351576027	7.24024374060028	46.1499111690246	1.98976530689396e-09	1.92721746702942e-06	12.5739523423895
"MAFF"	4.21949540119259	9.44063955036688	45.0471499680256	2.32754394277036e-09	2.07083956683582e-06	12.4406110223141
"STYK1"	3.87646394814435	5.99214608097498	44.9184536230762	2.37111565537482e-09	2.07083956683582e-06	12.424727509214
"S100A8"	4.41435042626904	7.90923104889603	44.7470550757401	2.43061368078335e-09	2.07083956683582e-06	12.4034670496675
"HLF"	5.52003204388426	6.82748454556436	44.3215933541375	2.58589895748099e-09	2.07083956683582e-06	12.3501598213719
"PLA2G4C"	4.08643007183644	7.86188711098623	44.2769621332999	2.60284184905521e-09	2.07083956683582e-06	12.3445234404493
NA	3.81142622987452	9.29984726742543	44.0065422940032	2.7082794148454e-09	2.08042553532797e-06	12.3101903365508
"SLC2A6"	4.31731939709216	7.65028594983756	43.764658960495	2.8067825774277e-09	2.08422318257856e-06	12.2792128195585
"KHDRBS1"	3.7936789094322	6.75152152674707	43.0072597597769	3.14302914270531e-09	2.25862129716278e-06	12.1805489727368
"SERTAD2"	3.70575504683206	8.31525664172191	42.4800614611312	3.40457645919632e-09	2.32844435401306e-06	12.1103476044134
"TESC"	3.87901066963528	8.41026059709171	42.3947161602717	3.44923749528351e-09	2.32844435401306e-06	12.0988628780713
NA	5.3334870144463	8.7877305809827	41.8182409544234	3.76923665616695e-09	2.46962602910091e-06	12.0203944234725
"IGFBP5"	-3.58897155890004	7.2361523236191	-40.6763047737066	4.50983721853243e-09	2.87044696334991e-06	11.8602297910192
"KCNE4"	3.52080924718616	5.43272002628139	40.2624226401749	4.81875696275431e-09	2.89893343810842e-06	11.800575869964
"C3"	3.66539767079527	7.79468139650998	40.2599046338573	4.82070969212521e-09	2.89893343810842e-06	11.800210266074
"HIST1H3B"	3.48267051622943	7.18771510029948	39.9676280547727	5.05370133638819e-09	2.89893343810842e-06	11.7575504408086
NA	4.16885136266804	9.88577976490453	39.909336204665	5.10170830798969e-09	2.89893343810842e-06	11.7489892627932
"SLCO4A1"	3.62669525616093	10.3330995560757	39.6055263990595	5.36059133797395e-09	2.89893343810842e-06	11.7040807383806
"CD83"	3.73016337841058	7.39166181611359	39.4576003202595	5.49210755516078e-09	2.89893343810842e-06	11.6820377715669
"TAP1"	4.26210908991308	9.14220465116955	39.4389998921258	5.50890649569908e-09	2.89893343810842e-06	11.6792577985086
"NFKBIE"	3.95537365107834	8.93983609584698	39.2222987042615	5.7090512789271e-09	2.89893343810842e-06	11.6467333548649
NA	3.76458854333579	9.33777651328441	39.2045902149635	5.72577417411548e-09	2.89893343810842e-06	11.6440643217428
"TIPARP"	3.4847296048624	11.4601169015608	38.5646466347548	6.36979073377809e-09	3.15332951503054e-06	11.546461201874
"IGFBP5"	-3.61117885614848	8.99399626138586	-38.3270920286208	6.62984197923327e-09	3.15518941302988e-06	11.509651442374
"S100A9"	3.83587472256228	8.23465108863698	38.2485296608588	6.71852340528788e-09	3.15518941302988e-06	11.497407979803
"JUN"	3.61917558986342	9.88237875964993	37.942987252293	7.07667526388509e-09	3.15518941302988e-06	11.4494568183753
"PSPC1"	3.36006159703306	10.9061861400184	37.9132732668572	7.11266555401485e-09	3.15518941302988e-06	11.4447650004095
"MMD"	3.33350008027017	9.40702309069458	37.8394369983955	7.20301547806774e-09	3.15518941302988e-06	11.4330842255085
NA	4.21800103386184	9.30532659774518	37.8229629669308	7.22335413496089e-09	3.15518941302988e-06	11.4304737561848
"IL6ST"	3.20756493586505	6.15434844804409	36.9570683484786	8.39188157380304e-09	3.59511434268481e-06	11.2910173899222
"DKK1"	-3.72016378315663	9.73865487544792	-36.6852002711329	8.80274012589188e-09	3.69997437329233e-06	11.2463039591807
"PHLDA1"	3.4567775948927	10.0012977729124	36.4530954743366	9.17194291459315e-09	3.7837661538591e-06	11.2077710886073
"GFPT2"	3.25423526130851	7.19628859478101	36.0456723164116	9.86408568908358e-09	3.93258808822431e-06	11.1393198582013
"ARHGAP26"	3.41211651970269	8.02352996670233	36.0334544912976	9.88575359970199e-09	3.93258808822431e-06	11.1372509611077
