"Symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"HS3ST3A1"	-3.90133354112152	8.58688291765668	-48.2916828064084	2.33298790344023e-07	0.00101644494591267	7.69127539723439
"INPP4B"	-3.71139730073917	7.95876057346837	-43.5945173489382	3.71801656300799e-07	0.00101644494591267	7.39638764467206
"PLCB4"	-3.37070118387334	7.01860264341947	-42.7095292919263	4.0819530829495e-07	0.00101644494591267	7.33382919996616
"PTPRK"	-3.35209448878998	9.81373735866201	-42.2108778785884	4.3061594950232e-07	0.00101644494591267	7.29749151617818
"DPYD"	-4.44796414938644	5.65481452668964	-41.1122671938456	4.85546730580379e-07	0.00101644494591267	7.21453472539565
"ATXN1"	-4.03839674678121	8.84573806206785	-40.9198788502287	4.96026028977097e-07	0.00101644494591267	7.19958318309205
"TANC2"	-3.33209575133464	6.1897892978002	-40.5852522364687	5.14917780370564e-07	0.00101644494591267	7.17326708758537
"MBD5"	-3.89361544133188	6.59134267112343	-39.3268823367613	5.9429191245329e-07	0.00101644494591267	7.07065453635982
"GDF15"	3.00480786072446	10.2341613354904	39.1013910377501	6.10050624445451e-07	0.00101644494591267	7.05163635241852
"LDLRAD4"	-3.22663285070477	5.50566095031446	-37.1941277039961	7.65942741009084e-07	0.00101644494591267	6.88258940868052
"PSD3"	-2.85136841492716	7.3163188507672	-36.200578320398	8.66354393825481e-07	0.00101644494591267	6.7883610564153
"IGFBP3"	2.91739924987652	6.87793585516942	35.6503611741792	9.28869024061292e-07	0.00101644494591267	6.73423329690594
"ATXN1"	-4.36246497510055	7.94717904140198	-35.5807732881554	9.37161532446267e-07	0.00101644494591267	6.72728556975502
"SYNE2"	-2.64536933910509	8.63838610371325	-35.376024339652	9.62089227252018e-07	0.00101644494591267	6.70670815763875
"CADPS2"	-2.90118371175101	6.25699673524378	-34.1747763609931	1.12578062720344e-06	0.00101644494591267	6.58179614546436
"CALCR"	-2.67804555794074	9.34194014836779	-34.0027175050182	1.15192028274705e-06	0.00101644494591267	6.56329971968368
"ESR1"	-2.96099506524989	10.5367880479647	-33.207252944261	1.28283450595984e-06	0.00101644494591267	6.47572643123344
"SMYD3"	-2.4686274304179	7.64056519834078	-33.0324172576843	1.3139972557187e-06	0.00101644494591267	6.45601350220608
"PARD3"	-2.8268277842095	7.91113962854244	-32.9829569952294	1.32297992927095e-06	0.00101644494591267	6.4504057253359
"TBC1D5"	-2.58218330247201	8.63425499285921	-32.9045668721531	1.33737045035247e-06	0.00101644494591267	6.44148964424195
"SPIDR"	-2.52918378414649	5.69437065092809	-32.7808525928879	1.36047147813207e-06	0.00101644494591267	6.42734753911388
"EIF4G3"	-2.4893124032459	8.11468653243984	-32.5384657349642	1.40715813645793e-06	0.00101644494591267	6.39938578205912
"APBB2"	-2.47785793498359	7.11201985101355	-32.0767188362501	1.50162006599033e-06	0.00101644494591267	6.34517186372424
"PARD3"	-2.59270717929852	8.04882363887494	-32.0711305731462	1.50280981585901e-06	0.00101644494591267	6.34450802201443
"SLC24A3"	-2.77402528426075	8.06812755640328	-31.9983443431453	1.51841151208817e-06	0.00101644494591267	6.33584452840052
"TIAM1"	-2.77076831713672	8.11809944332167	-31.9597176730676	1.52677126637654e-06	0.00101644494591267	6.33123402536132
"COG5"	-3.05523955113996	6.17555536492322	-31.922683094355	1.53483916606152e-06	0.00101644494591267	6.32680512648403
"STK3"	-2.95498915544086	8.40992981519872	-31.6900009419304	1.58673424856049e-06	0.00101644494591267	6.2987890417879
"LTBP1"	-3.14439256524909	8.03203800333563	-31.6545664465649	1.59482359078328e-06	0.00101644494591267	6.29449359292954
"THBD"	2.4611297017732	8.35744599208216	31.6222192177238	1.60225204867952e-06	0.00101644494591267	6.29056566243209
"GADD45A"	2.82459407008272	9.54499935506196	31.5284310991285	1.624029806834e-06	0.00101644494591267	6.27914052899399
"CCDC91"	-2.37028266678861	6.71697923605748	-31.4686154527262	1.63810755701271e-06	0.00101644494591267	6.27182546996574
"FUT8"	-2.70826987780904	9.411823403237	-31.4673355610796	1.63841040357724e-06	0.00101644494591267	6.27166870511238
