"Symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
NA	-1.24816981134367	9.72061735663291	-14.9758361169015	5.24008498626654e-06	0.10893434572318	3.3903627550958
"FOS"	-1.32538280648715	8.1956461087541	-12.9427390045671	1.2364905041649e-05	0.10893434572318	2.97468176657824
"TANC2"	-1.01454181237131	7.77778787486531	-12.5703372636198	1.46699751838013e-05	0.10893434572318	2.8837269742666
NA	1.18141091766185	6.79833548878753	11.8606716774918	2.05956911909466e-05	0.11470255316518	2.69504715906967
NA	1.15616354428946	6.79423843364899	11.3976075134734	2.59658998763221e-05	0.115551659568545	2.55995418621509
"ATRX"	-0.954699092344774	7.63846172054845	-11.0472799100342	3.11222317821641e-05	0.115551659568545	2.45082418638545
"KLHL24"	-0.881134548030755	5.15197916504779	-10.5345503818473	4.09667311476094e-05	0.122209234640313	2.27938058647098
"CSPP1"	-0.863891670701513	6.74184173527751	-9.95620901728496	5.66994431667547e-05	0.122209234640313	2.06761703843887
"PRRC2C"	-0.974958783690969	7.44895266642869	-9.8553265375614	6.01111147933603e-05	0.122209234640313	2.0285199715175
"SMARCC1"	-0.852914385397147	8.93184093987746	-9.67799049047803	6.67009995111611e-05	0.122209234640313	1.95814888419609
NA	-0.956678258338311	8.35239576308134	-9.65208385613355	6.77320431817186e-05	0.122209234640313	1.94768944871635
"SYT1"	-1.29551414116625	5.66954202126965	-9.44312096068517	7.67573247532488e-05	0.122209234640313	1.86160782448219
"HMOX1"	1.39941388600405	8.34511157199061	9.23332111142286	8.72467841100948e-05	0.122209234640313	1.77201684944601
"KIAA1033"	-0.951423371571184	7.48592817006358	-9.14862489196792	9.19442913608798e-05	0.122209234640313	1.73491975609518
"EIF4G1"	-0.736082974353164	6.56950906479795	-9.12830026410055	9.31146220282483e-05	0.122209234640313	1.72593632152364
"IQGAP1"	-0.765056419908453	7.10851166838308	-9.01527802895254	9.99453036880372e-05	0.122209234640313	1.67539889312541
"TIA1"	-0.736154438730914	6.69704647536725	-8.93459924905754	0.000105176050157983	0.122209234640313	1.63871158287757
"HOOK1"	-0.855246780732775	6.72015421361628	-8.88558342829037	0.000108508193864945	0.122209234640313	1.61616936589824
NA	-0.83812803094146	9.44733545799038	-8.80357841545486	0.000114359412716636	0.122209234640313	1.5780216052068
"MAP3K1"	-0.749462524465384	5.44557327700861	-8.7969472595368	0.000114848270112332	0.122209234640313	1.57491291170627
"EIF1"	-0.895648610377196	5.4610379950071	-8.79214575119762	0.000115203749492596	0.122209234640313	1.57265970737751
"KMT2A"	0.871228839156733	4.96849358696177	8.65228620842669	0.000126137631686585	0.126808941253635	1.50618936481864
"NACA"	0.691350141207541	7.47409656836689	8.46055319718307	0.000143132119739556	0.126808941253635	1.4123700172389
NA	0.969305819917293	6.06444411013336	8.42045872838796	0.000147011732862395	0.126808941253635	1.39234682106389
"CDC27"	-0.693093589380569	9.55473097078053	-8.31329053770063	0.00015799130140248	0.126808941253635	1.3381250758001
"CCDC15"	-0.677854197971886	5.0411021600208	-8.29974073665319	0.000159445731745762	0.126808941253635	1.33119601190065
"GPX2"	0.785474017726992	6.81529529782273	8.26101387362836	0.000163688532337325	0.126808941253635	1.31129995675651
"RHOBTB3"	-0.684804373537895	10.3326998897462	-8.24054994724979	0.000165982991369973	0.126808941253635	1.30073122674204
NA	0.976582531302638	6.52391218503074	8.20863041282414	0.000169636311796364	0.126808941253635	1.28416933751355
"KIAA1033"	-0.774576292618684	6.21051211446343	-8.19887647821752	0.000170771119881899	0.126808941253635	1.27908961725419
"MYC"	-0.689964022872381	10.7607631746613	-8.0950383800905	0.00018341059785463	0.131801222206696	1.22446243433619
"PIAS1"	-0.682320723702732	8.28731143479195	-8.01621145097716	0.00019372809174336	0.132023252882672	1.18231334184281
"HNRNPDL"	0.668021209453739	10.0711908022482	7.96654738312513	0.000200571761673625	0.132023252882672	1.15545172409428
NA	-0.648501797133108	6.34466561440842	-7.92800615339963	0.000206075019982819	0.132023252882672	1.13444119710516
NA	1.01411221865929	8.33373189863252	7.91873051600625	0.000207425319876713	0.132023252882672	1.12936298442597
"EED"	1.31878555204608	6.29215666490117	7.76134981656064	0.000231964147723424	0.13976074408764	1.04190209893137
"SMC5"	-0.663532912354726	5.91175628304114	-7.73676078992543	0.000236092684953095	0.13976074408764	1.02801292406987
"CDC42BPA"	-0.959580739094545	6.69850471034469	-7.66901551182352	0.000247911979146519	0.13976074408764	0.989427869866622
"MAP3K9"	0.630608324943793	5.87120434419528	7.66824325373703	0.000248050585240828	0.13976074408764	0.988985306900159
"HNRNPA1"	0.734972503080089	8.36911537754655	7.6428669294729	0.000252655176469346	0.13976074408764	0.974408468444454
NA	0.741040960184313	6.45819810510474	7.61820566683345	0.000257224514413666	0.13976074408764	0.960178444436054
"DCAF16"	-0.657811636269417	5.72279441287309	-7.56590029444127	0.000267234254578593	0.141742321172555	0.929787211995651
"EIF5"	-0.645521217129501	7.40684032949918	-7.49277059097837	0.000281990018206123	0.146090503152972	0.88681291732311
"CPD"	-0.623188862994941	4.61624820074071	-7.39465776960138	0.000303283359065875	0.151523138741187	0.828258654261818
NA	0.784639626712182	5.5569351078333	7.38236302837549	0.000306079869073637	0.151523138741187	0.820847574151623
"AKR1C3"	0.736983248268812	8.90366749307035	7.34440529666538	0.000314902476983549	0.152501793038316	0.79786291185707
"ABCC3"	0.821487717642725	9.04523750324011	7.29534155550898	0.000326743156969616	0.15476907423661	0.767918115824664
NA	0.836348411658184	5.06604646993224	7.2600966403329	0.000335565110775487	0.15476907423661	0.746242342631525
"TTBK2"	-0.612645932030468	4.34776705794202	-7.24112627388851	0.000340426656982263	0.15476907423661	0.734518001902281
"WDR19"	-0.63191197832665	7.24787511640346	-7.21292515092956	0.000347804164614342	0.154960667502274	0.717013973263333
"UFL1"	-0.60712212118499	7.71296718387289	-7.18031266482091	0.000356565861394032	0.155749366554409	0.696659822123445
"ARMC8"	-0.652826417612014	5.47125675839892	-7.15240932698177	0.000364264158531596	0.15605216653093	0.679148783623
"KRAS"	-0.570509868822803	6.5692712802206	-7.10468385277321	0.000377878198825966	0.15667385361408	0.648991538100541
"EGR1"	-0.590846535235062	9.64611369172318	-7.09336866769776	0.00038119108112549	0.15667385361408	0.641803124521309
"SMC3"	-0.654814661557482	8.29707686638391	-7.0435908679457	0.000396166979518542	0.15667385361408	0.61000348040916
NA	0.665187373802285	6.35470718311437	7.02052215464111	0.000403335705458205	0.15667385361408	0.595168457247884
"DYRK4"	0.642831559743915	5.47931300973731	7.01645357806368	0.000404615432177299	0.15667385361408	0.592545566739475
"AKAP13"	-0.763064867502186	6.55384070031454	-7.00603670694473	0.000407913251767142	0.15667385361408	0.585821253428468
"BEX4"	-0.874244534297471	5.6689543521921	-6.9677245512549	0.000420310614012082	0.158208584011384	0.560979862264537
"SCAF11"	-0.62638898211274	9.52173854487391	-6.95023694493656	0.00042611280875715	0.158208584011384	0.549583208799379
"NEK1"	-0.582020436120144	6.46109965844779	-6.80510132933175	0.000477982260615087	0.172510868666617	0.453582178268788
"MYH10"	-0.809069845523328	5.9059262103215	-6.78404807045048	0.000486092649257827	0.172510868666617	0.43944384739542
"ATXN7L3B"	-0.789882201069114	8.57275166556872	-6.77949911981112	0.000487865723661034	0.172510868666617	0.436381843924861
"RHOBTB3"	-0.580133210879632	8.30370699201051	-6.74797161462826	0.000500360313508949	0.174164479750607	0.4150898410559
"DDX58"	-0.61706498628395	5.99206603783157	-6.66673521108204	0.000534282270664514	0.178796256518363	0.359658074012525
NA	0.8558073399845	7.48055850766749	6.66214495480544	0.00053627639018836	0.178796256518363	0.356501247997732
"NEK1"	-0.624878960390614	3.8599691089396	-6.65877646938502	0.000537745171554982	0.178796256518363	0.354182974521763
