"Symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"IFI6"	1.93435665075009	8.86260759893248	20.3730630361214	3.46882703431032e-07	0.00437586691445262	6.70835884026268
"EED"	-1.93160328400615	6.02541780810053	-19.528462212695	4.56358853436483e-07	0.00437586691445262	6.53489237893884
"FOS"	1.72694809967926	8.56086180339241	17.926491039032	7.9368272577632e-07	0.00437586691445262	6.16538998415302
"IFI27"	2.59269226491968	9.27030378893238	17.5177448812534	9.2107068458654e-07	0.00437586691445262	6.0616212889735
NA	1.62756090039412	10.0382994318861	17.2352503544247	1.02288328469034e-06	0.00437586691445262	5.98743663716431
"ATP5C1"	-1.54829469971675	6.76131362135942	-16.7534529869591	1.2279055837619e-06	0.00437586691445262	5.85603397301351
"CALR"	-1.55043861990727	9.5919527104604	-16.0935379285935	1.59024169759973e-06	0.00437586691445262	5.66546478716787
"GREB1"	1.70627890209136	6.21385079399469	15.9537539016161	1.68195834960227e-06	0.00437586691445262	5.62344196512836
"ZFR"	1.35076705316512	7.42666005476008	15.5762200949648	1.96163960776609e-06	0.00437586691445262	5.50690567755962
"PRLR"	1.41549167305914	7.45660482649183	15.4045301118657	2.10625974292001e-06	0.00437586691445262	5.45239787315564
"MYC"	1.38005497008194	10.8389434387296	15.3433471853957	2.16072792831076e-06	0.00437586691445262	5.43273935834582
NA	-1.28487474606799	6.59986453715889	-14.515197476214	3.08295804766163e-06	0.00563751513032354	5.15396965705975
"MIS18BP1"	1.35594143310695	8.40355029761569	14.2768956085706	3.42716880189825e-06	0.00563751513032354	5.06915816060412
"SF3B1"	1.32524648206248	9.67605172766191	13.8923036551105	4.08012702854332e-06	0.00563751513032354	4.92766726768228
"RPL37A"	-1.20607443843368	7.44611799214167	-13.6814289605965	4.4982592874902e-06	0.00563751513032354	4.84757642034424
"GABRP"	1.89119198005092	5.95635131985005	13.6579850771711	4.54771168978607e-06	0.00563751513032354	4.83855946711746
"MOB1A"	1.4801522285031	9.38942758693302	13.6286079329934	4.61056279869963e-06	0.00563751513032354	4.82722820116349
NA	-1.21212803683051	8.66808324489184	-13.5451097380481	4.79471736437332e-06	0.00563751513032354	4.79482430698152
"EEF1D"	-1.48745071660733	6.65743537432852	-13.4906926114289	4.91927586313567e-06	0.00563751513032354	4.77354792971886
"KMT2A"	1.26623919379127	8.13856372150295	13.4002005229128	5.13472167337417e-06	0.00563751513032354	4.73788736297052
"DCBLD2"	1.32642008405829	7.03825389511471	13.3280202551889	5.31435192067129e-06	0.00563751513032354	4.70919038386278
"BRD3"	-1.19814092050135	7.05551631711212	-12.8852378039903	6.58792921642625e-06	0.00667087723428761	4.52810765276783
