"Symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"IFI6"	-2.27275616158694	9.31043487147679	-27.5007773690184	1.67330841080178e-06	0.0184167744825074	5.08144895301947
"IFI27"	-2.941981992405	9.66111361498213	-25.2616916388531	2.51759236034677e-06	0.0184167744825074	4.88496976762112
"MSMB"	-1.91030168908802	8.14872026970095	-24.6879051696819	2.81157548266489e-06	0.0184167744825074	4.82840921406256
"MSMB"	-1.97792436884889	8.0831646191919	-21.7996040334339	5.10997872646678e-06	0.0184167744825074	4.49651640459649
"CXCL14"	1.84341804996026	5.79315441312423	20.3464622429547	7.11293683624512e-06	0.0184167744825074	4.29382034155259
"PTGER4"	-1.55076085297974	9.70372421464398	-20.091816609308	7.55528656427064e-06	0.0184167744825074	4.25538407792445
"TNS3"	2.02142632015385	7.59400950627016	19.9804518309174	7.75911786427243e-06	0.0184167744825074	4.2382816706556
"IGFBP3"	1.64140075030805	6.23993660538518	19.8745472290999	7.95913024800721e-06	0.0184167744825074	4.22184932253796
"SERPINA3"	-1.66174804899993	11.1572350158264	-19.829151892222	8.04676273982869e-06	0.0184167744825074	4.21475489459345
"WISP2"	1.70695834782906	8.69666260985722	19.7175608226588	8.26716994321828e-06	0.0184167744825074	4.19718440246795
"GRB14"	1.43856918848948	8.17866674542763	18.829337037789	1.03075312494933e-05	0.0194156455837845	4.05041022177568
"AMIGO2"	-1.53755996624174	11.9532195985329	-18.7602129017739	1.04904520120804e-05	0.0194156455837845	4.03844982445921
"COL5A2"	1.5590756997961	6.87072572795252	18.282902743986	1.18661185172484e-05	0.0194156455837845	3.9536163138053
"ABCA12"	-1.51377666959854	6.35988108901046	-18.1765070286118	1.22017793317315e-05	0.0194156455837845	3.9341573131011
"SULF1"	1.55455910794266	6.88499220358985	17.7013722634651	1.38478064393039e-05	0.0194483140726032	3.84470817728008
"SLC27A6"	1.32318572129158	8.96760217685502	17.4008573925882	1.502753693264e-05	0.0194483140726032	3.78590185350678
"THBD"	1.35215255813858	7.80295742026485	17.3815850756501	1.51072430053649e-05	0.0194483140726032	3.78206958932248
"BCL6"	1.41966758216225	8.13573260797872	17.2386849261196	1.5714398406736e-05	0.0194483140726032	3.75342050388454
"GABBR2"	2.19070454460066	5.98226800329602	16.6937989055747	1.83163722805917e-05	0.0202247513911141	3.64028717687838
"DENND1A"	1.26061919645112	7.51685007251033	16.4811172508492	1.94709106665e-05	0.0202247513911141	3.59439021238085
"THBD"	1.37678317146068	6.83922112301405	16.3302583180699	2.03431712964576e-05	0.0202247513911141	3.56121977181556
"CYP26B1"	-1.24614256305463	9.13210478608752	-16.3141560695357	2.04390252596156e-05	0.0202247513911141	3.55764862000171
"EPAS1"	1.32254547629483	9.07509853956547	16.1689138347638	2.1328656508361e-05	0.0202247513911141	3.52516621552779
"LTBP1"	-1.19634222666988	9.00606317262523	-15.9072172697536	2.30522266154903e-05	0.0202247513911141	3.46538710806498
"ASCL1"	1.31274553840485	6.58257377500509	15.5834784324974	2.54223119949425e-05	0.0202247513911141	3.38913485397149
"TNFRSF11B"	-1.30531264296407	7.13909684391004	-15.389876348859	2.69800016293213e-05	0.0202247513911141	3.34227662407002
"FOS"	1.32945087268569	7.94982551559801	15.3027315289203	2.77185091359153e-05	0.0202247513911141	3.3208691323952
"AOX1"	1.17896589442389	5.26405222164296	15.2174253306116	2.84651152590165e-05	0.0202247513911141	3.29972050634517
"ROBO1"	1.18464937835296	8.61634307458147	15.2023739280403	2.85993448525329e-05	0.0202247513911141	3.29596908723784
"PHLDA1"	-1.23506314652822	8.14039331717925	-15.1463194092803	2.91059889715127e-05	0.0202247513911141	3.28194499287045
"TGFBI"	1.23318372825085	9.56077047297238	15.0604939573754	2.99028048642891e-05	0.0202247513911141	3.26030943799449
"ISG20"	-1.15852573528297	9.59412772022129	-15.056331474541	2.99421127657973e-05	0.0202247513911141	3.25925507465035
"SRI"	1.14702039763901	5.69507769946095	15.0261312157823	3.02291743787813e-05	0.0202247513911141	3.25159123077322
"MGP"	-1.21045039934396	10.2925096326255	-14.9601668086683	3.08677805493503e-05	0.0202247513911141	3.23476520843428
"TNFRSF11B"	-1.14543219098464	7.44675417668452	-14.7090791614651	3.34519005942236e-05	0.0207889613025536	3.16961714027576
"IGFBP5"	-1.23303611495266	10.0571943333724	-14.6958335681843	3.35953048835987e-05	0.0207889613025536	3.16613123305874
"PHLDA1"	-1.2148317722741	10.0797510616346	-14.5841880724329	3.48338933816428e-05	0.0209728281854826	3.13654983049341
"TSPAN3"	1.15736733779696	7.77239606047049	14.1764443766586	3.98498102891027e-05	0.023201737977569	3.02541629443771
"SERPINA5"	-1.3547529171604	6.98999022884655	-14.1089803878558	4.07613248455457e-05	0.023201737977569	3.00654673061621
"PKIA"	1.19236937241724	7.97570168433169	14.0414056361186	4.16995848581521e-05	0.023201737977569	2.98750562087867
NA	-1.65854824677914	4.31949381425125	-13.8925527786807	4.38596086131181e-05	0.023201737977569	2.9450592888287
"RBM3"	1.28451093277168	10.6055734789997	13.8450393720008	4.45772376653539e-05	0.023201737977569	2.93136313621366
"NT5E"	1.07666566314576	8.05488631859421	13.8314571877007	4.47849680403765e-05	0.023201737977569	2.92743471527839
"DNAJC12"	-1.0173364298595	9.16300015086242	-13.3348953502374	5.32457047022619e-05	0.0251714963119395	2.779664070247
"AKR1B10"	1.81084774573584	5.86657610556247	13.3123418488179	5.36736486450807e-05	0.0251714963119395	2.77275584319962
"CA8"	-1.20969467012667	7.05206555147328	-13.2898418973762	5.41047022904259e-05	0.0251714963119395	2.76584655980376
"S100A4"	1.01394679082331	6.772605453845	13.2871413930754	5.41567176863828e-05	0.0251714963119395	2.76501611439934
"EFEMP1"	1.02592553203972	9.28201162327593	13.2412849690686	5.50492183194832e-05	0.0251714963119395	2.75087601287605
"CYFIP2"	1.28511926345694	6.71887117430338	13.225189354935	5.53666705249826e-05	0.0251714963119395	2.74589551015187
"PLOD2"	1.03054897546475	9.58498631192227	13.1257051428305	5.73783600895498e-05	0.025564354554298	2.71491057275515
NA	1.20708584385721	7.44653223730322	13.0097154509319	5.98358513973648e-05	0.0258778946725403	2.67834247435002
NA	-1.09717474485506	7.34708401499947	-12.9836507827194	6.0405374286129e-05	0.0258778946725403	2.67005875382944
"STON1"	1.11865491474611	4.70848424655784	12.8461325954546	6.35203401348419e-05	0.0263541462910772	2.62594522883201
"QKI"	2.00214971677948	6.9365122162388	12.7812100917774	6.50578362605906e-05	0.0263541462910772	2.6048779910052
"BCKDHB"	1.22923083170693	6.97931587516031	12.748369337734	6.58525894636518e-05	0.0263541462910772	2.59416163281099
"STC1"	-1.05467359842378	9.9497664125031	-12.7321604928572	6.62491445122918e-05	0.0263541462910772	2.58885764122148
"ISG20"	-1.17553252733734	9.32316586952684	-12.659247689953	6.80688580251257e-05	0.0266029815829075	2.56487651638317
"STAT1"	-0.964148624263406	8.01214944843237	-12.5767683382536	7.02002370004721e-05	0.0266084706922536	2.53750629781159
"IRF9"	-1.11303362773044	8.14929494209678	-12.5664767107442	7.04717767582243e-05	0.0266084706922536	2.53407286854641
"IFIT1"	-1.52936934167838	5.48593485764382	-12.4926349626876	7.24575071413686e-05	0.0269022647764711	2.50931870352158
NA	-0.956108879207497	7.39741628376163	-12.3635705399697	7.60922074588933e-05	0.0274090813789851	2.46554290787743
"PCDH9"	1.37406338249449	5.96583273363582	12.3569909404127	7.62832987160334e-05	0.0274090813789851	2.46329372093435
"RPL31"	-0.933716836890788	7.82879589702652	-12.1806153077126	8.16273837740957e-05	0.0287802375980819	2.40235728470148
"TSPAN3"	0.932182359674389	9.924622409978	12.0921890056657	8.44755153377346e-05	0.0287802375980819	2.37133321744298
"ASPH"	1.08365980494801	8.52087285730866	12.0906356136958	8.45266059035367e-05	0.0287802375980819	2.37078535139235
"KRT6A"	-1.21714979428865	4.37010400533978	-12.0356251760188	8.63600434904406e-05	0.0287802375980819	2.35131949705955
"SCNN1A"	1.54803958847154	6.88462343497544	12.0116797963144	8.71730146505926e-05	0.0287802375980819	2.34280707103205
"SULF1"	1.36654177350428	7.46556603895326	11.9919152108607	8.78509743982391e-05	0.0287802375980819	2.33576290092854
"HS3ST3A1"	-1.36673066913676	9.85418435364906	-11.943605744753	8.95349058509528e-05	0.028906798516546	2.31847643635016
NA	-0.996000024871916	7.55421152736164	-11.8526743862402	9.28108930335377e-05	0.0295364037729731	2.28567168851202
"INHBB"	0.90250748129583	9.46999267350827	11.7515106582153	9.66262176174214e-05	0.0303174964769478	2.24876069244127
"IGFBP5"	-0.933667061735813	12.2470414276811	-11.6915704982971	9.89756996589195e-05	0.0303627412510492	2.22668193881331
"TFPI"	1.01803570734744	7.82998410414895	11.6785187697746	9.94963465155359e-05	0.0303627412510492	2.22185360240925
"DNMBP"	-0.996398021712853	9.69999650936376	-11.6114350535732	0.000102224850171489	0.0306421892292335	2.19691867786824
NA	-1.12295405648218	6.717767170851	-11.5504471130043	0.000104783706457099	0.0306421892292335	2.17407674341676
"SULF1"	1.45402514989365	8.58798703088078	11.5330617857929	0.000105527174358907	0.0306421892292335	2.16753501383432
"SIGLEC15"	1.63494542734998	6.60440005261606	11.5240717730574	0.000105914107404542	0.0306421892292335	2.16414695441033
NA	1.03598182267479	10.2759055987015	11.4563316725066	0.000108885081407845	0.0309964270672057	2.13850086528283
"NECTIN3"	1.15495808591152	4.43771126176126	11.3807184077993	0.000112320346633444	0.0309964270672057	2.10962827293061
"PRLR"	-1.25611037172667	6.66856004529268	-11.3676305301084	0.000112928085243158	0.0309964270672057	2.10460419091759
"QKI"	1.0090708764005	8.38049052185442	11.3629270675111	0.000113147455072647	0.0309964270672057	2.10279673711635
"SLC39A8"	1.06216214162	8.37424718601721	11.3427238568767	0.000114095570297206	0.0309964270672057	2.09502143739874
"RUBCNL"	0.973000989952718	7.4079267796402	11.2357931592786	0.000119275464251102	0.0320132471942386	2.05355369462785
"RND3"	0.84275999761728	9.88705846125726	11.1709893364196	0.000122552105444601	0.0325011101546354	2.02816233826904
"SYNGR1"	0.840631995053523	7.61466175172585	11.1118657710859	0.000125636174092401	0.0329270241206638	2.00482309110786
NA	-1.02394451659587	6.02685142063129	-11.0167071091216	0.000130797897359621	0.033878959819837	1.96690716685547
"HSPB8"	-1.09055812628647	7.84620898441079	-10.97752114057	0.000132997211257983	0.033878959819837	1.95116614414819
NA	0.856154955502413	5.95874068207223	10.9439299622832	0.000134917912211536	0.033878959819837	1.93761287040002
"PHLDA1"	-0.840171029643836	6.41232743759628	-10.9007483923356	0.00013743609721992	0.033878959819837	1.92010866486134
"LDLRAD4"	-0.890760706947887	6.6735970221929	-10.8891366589855	0.000138122843327397	0.033878959819837	1.91538599869057
"ANXA9"	-1.05848933045115	7.80329856806961	-10.8654481221918	0.000139536649221129	0.033878959819837	1.90573079468897
NA	-1.12126989767459	6.6328755507579	-10.8591741045933	0.000139914005630246	0.033878959819837	1.90316890125344
"SNAI2"	1.03880696583011	5.293512313868	10.7953051413595	0.000143825971663319	0.0342554810305797	1.87697723690338
"BNIP3"	-0.814270363567784	9.06223792006696	-10.7775392408117	0.000144937364581619	0.0342554810305797	1.86965535344088
