"Symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"GABRP"	2.26058816705472	6.14104941335195	21.1076105472478	4.35500532329903e-07	0.00391864574572827	6.48239488296784
NA	1.8668176407185	10.1579278020483	21.072726080803	4.40009117274264e-07	0.00391864574572827	6.47619723890037
"FOS"	1.87971201718685	8.63724376214621	19.5981782026814	6.90951916842814e-07	0.00391864574572827	6.1951871484292
"ATP5C1"	-1.73591756561388	6.66750218841086	-19.5409575045519	7.0362180647812e-07	0.00391864574572827	6.18348657650291
"MIS18BP1"	1.62354183290568	8.53735049751506	18.7844214977912	8.99162830070899e-07	0.00395833841605505	6.02268775336312
"MOB1A"	1.54529199876167	9.42199747206231	18.049600889948	1.15169434263063e-06	0.00395833841605505	5.85495991496808
"ZFR"	1.7207836243713	7.61166834036317	17.8220077475599	1.24592590440176e-06	0.00395833841605505	5.8005412100792
"CALR"	-1.50153889745831	9.61640257168488	-17.0292170195046	1.65137238509476e-06	0.00395833841605505	5.60119586212952
"PRLR"	1.68370218051152	7.59071008021802	16.8402438547055	1.76937155480094e-06	0.00395833841605505	5.55132189525799
"MYC"	1.42521531957268	10.861523613475	16.8287271215577	1.77687229701264e-06	0.00395833841605505	5.54825184509789
"IFI27"	2.40991196541608	9.17891363918058	16.5070801619456	2.00198321828597e-06	0.00398109711460567	5.46106096371599
"BRD3"	-1.46050389024461	6.92433483224049	-16.3243320745827	2.1445062340202e-06	0.00398109711460567	5.41024932431757
"IFI6"	1.91091911692368	8.85088883201927	15.8750480246605	2.54765206161229e-06	0.00436569576742593	5.28124846190184
"MTUS1"	1.46906994699757	6.88964091638906	15.474047933091	2.98294191155754e-06	0.00474649978312623	5.16099227540443
NA	-1.2961830481699	10.1588880617884	-15.1626905573012	3.38076526872615e-06	0.00502088719276083	5.0641207650911
"DCBLD2"	1.27276392130122	7.01142581373617	14.6376383183163	4.19911094671835e-06	0.00563989874477704	4.89345659463759
"EED"	-1.57728104755516	6.20257892632602	-14.5422991148038	4.37114785873458e-06	0.00563989874477704	4.86144262529273
"RPL37A"	-1.26143452356437	7.41843794957632	-14.4440103697319	4.55708476931304e-06	0.00563989874477704	4.82809801014893
"PLEKHB1"	1.27283742474196	5.02959710153621	13.8698848038642	5.84458217091825e-06	0.00685261879060768	4.62618352995138
"TAF1D"	-1.21136754294269	6.73923133925552	-13.6599654095213	6.4168894584432e-06	0.00695081352632981	4.54918966487823
"DDX6"	1.17345982243286	6.99233284245828	13.613428999302	6.55236719724047e-06	0.00695081352632981	4.53188276127808
NA	-1.18129443674619	8.68350004493401	-13.088964069724	8.33156885547523e-06	0.00843647088151917	4.33063558666949
NA	1.11862468112503	7.32615585284526	12.8676146272827	9.2457174250215e-06	0.00855316292608088	4.2421556209588
"RAPGEF2"	1.55226265977277	4.91109944220917	12.8271757731589	9.42495805236268e-06	0.00855316292608088	4.22575536412939
"ASH1L"	1.10099974417435	5.984927478289	12.7888267158681	9.59864762544427e-06	0.00855316292608088	4.21013443854245
"EBP"	-1.11279413535209	6.70293105885427	-12.6590821198611	1.02142657946867e-05	0.00870923086081743	4.15678776438058
"RORA"	1.36222247497948	4.54239907261244	12.5909537319321	1.05556957059779e-05	0.00870923086081743	4.1284649232265
"PRDM2"	1.28421978580333	7.24439573075532	12.4908959951164	1.10812859838274e-05	0.00877851591622157	4.0864748317973
"MAP3K1"	1.3080058346012	6.31324234689145	12.3255867897329	1.20171987960864e-05	0.00877851591622157	4.01605971516962
"CEP152"	-1.2109221147319	4.39895825583839	-12.2546599307518	1.24464791399531e-05	0.00877851591622157	3.98544342509753
"CYP4B1"	1.08611292179504	5.65566448414845	12.2414995518916	1.25280621694799e-05	0.00877851591622157	3.97973559595908
"IDS"	1.06480121938035	5.05775192907938	12.2283843076038	1.26099793203344e-05	0.00877851591622157	3.97403888898841
"BHLHE40"	1.12044970527334	8.62409643445314	11.9948465862074	1.41772848498388e-05	0.00945923758688241	3.87116923967298
"BCL2"	1.07437355583666	6.38083233096739	11.9230205982625	1.47036732155084e-05	0.00945923758688241	3.83897784297068
"ANKRD36"	1.03524413274226	6.89872285091915	11.8755952181325	1.50635869049087e-05	0.00945923758688241	3.81757736752545
NA	-1.15961704677864	8.4635564178176	-11.8419619776275	1.53249887138675e-05	0.00945923758688241	3.80233006936755
NA	1.02870801617831	6.00005777845927	11.7934982838187	1.5710903205757e-05	0.00945923758688241	3.78025605357816
"ZNF814"	-1.03599134050633	5.11693107040572	-11.6933675134808	1.65442675873458e-05	0.00954789531913302	3.73425854345756
"MAST2"	-0.995408680433802	5.15922085317351	-11.6261084134077	1.71326632344091e-05	0.00954789531913302	3.70306288881859
"ZFR"	1.58612275699508	7.94166848536088	11.6210490195507	1.71778903498683e-05	0.00954789531913302	3.7007064909362
"MME"	0.983357943297142	4.28940173268395	11.5775408124081	1.7572550526752e-05	0.00954789531913302	3.68038584130247
NA	0.981179011413177	5.73352464511306	11.4041787724986	1.92523882774579e-05	0.0102115584204031	3.59839428646019
"STON1"	1.18025323992501	5.34909480334072	11.3025711851254	2.03227137485849e-05	0.0105285835855169	3.54956730536494
"EIF5"	0.97936644141106	7.37821544151513	11.2379327804102	2.10392685762546e-05	0.0105661323527358	3.51820383542755
