"Symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"SAMD9"	0.802170705192766	4.97228141669679	9.21954384236201	0.000313336490703534	0.835983982742491	-3.04280153334685
"PTCH1"	-0.654425458351364	4.32435607743268	-8.52780517237886	0.000447185238142872	0.835983982742491	-3.06683940958141
"PSMB8"	0.678261632622009	5.0774013328545	7.86620852153208	0.000644322385383713	0.835983982742491	-3.09518454533844
"HK2"	0.567477123737823	5.28604766932024	7.4469686884833	0.000823767759118377	0.835983982742491	-3.11658535678399
"SLC29A1"	0.574181677983256	4.29371376138233	7.38124947255939	0.000857041769690222	0.835983982742491	-3.12022333526805
"GPM6B"	-0.574444883635735	3.65536962782254	-7.33828394120772	0.00087966368103407	0.835983982742491	-3.12264647535734
"LSS"	-0.661063929921616	4.93443741216638	-7.2044798494602	0.000954820987177556	0.835983982742491	-3.13042735051365
"ADORA2B"	0.544880596274467	5.64346632515135	7.02323462865574	0.00106921539071385	0.835983982742491	-3.14156426799012
"MAP4K5"	-0.562676418329827	7.47715214168425	-7.00128459445887	0.00108415135734675	0.835983982742491	-3.14296204972622
"RGS7"	-0.538056248708216	3.7540966935654	-6.92357568808912	0.00113906523878087	0.835983982742491	-3.14799931175422
"CDC27"	-0.560518822022161	9.60818887478618	-6.88275037839628	0.00116924087622926	0.835983982742491	-3.15070233245821
"GK"	-0.592500196871197	5.02474992526297	-6.58472758013788	0.00142088305813233	0.835983982742491	-3.17169348438723
"SLC20A2"	0.62090907748312	5.60203251540772	6.52088200007194	0.00148288964315281	0.835983982742491	-3.17649675739034
"DLG4"	-0.830947020789364	4.35921655048015	-6.48039641314787	0.0015238779195456	0.835983982742491	-3.17960213106036
"SCN11A"	0.503997925880808	3.80042633380074	6.46321389327671	0.00154168011805565	0.835983982742491	-3.18093431576384
"SEMA6A"	-0.514895394965368	3.56905839180126	-6.2341208949929	0.0018043598250631	0.835983982742491	-3.19954371536973
"CCL5"	0.651262375288683	3.51160924011462	6.23035708482384	0.00180910083621942	0.835983982742491	-3.19986314171572
"BTBD18"	-0.46708222879329	4.16072583275041	-6.05659478828873	0.00204500215654705	0.835983982742491	-3.21512352945981
"S100A5"	-0.530851937001506	4.60275472533646	-6.02955593500779	0.00208491086858989	0.835983982742491	-3.21759154204479
NA	0.632852589621812	9.7843979700808	6.02620801186026	0.0020899163275686	0.835983982742491	-3.21789893558307
"LAMB3"	0.49215566742313	5.78552890615419	5.99027888928696	0.00214454095289632	0.835983982742491	-3.22122313935379
