"Symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"ATP5C1"	-1.92302821253527	6.57394686495016	-26.5855790320169	2.77379065623206e-07	0.00617917344488816	6.01586358673408
"IFI6"	1.74336788901177	8.76711321806332	20.6976930532375	1.16935612302401e-06	0.0102489917135442	5.35724740431349
NA	1.55116547432403	10.0001017188511	20.0423614678409	1.40612619205836e-06	0.0102489917135442	5.25828965466952
"GABRP"	1.93339821818607	5.97745443891763	18.6703422265434	2.11000640875544e-06	0.0102489917135442	5.02849906896576
"FOS"	1.61248330528191	8.50362940619373	18.3903730622629	2.3003527659793e-06	0.0102489917135442	4.97746676478615
"MYC"	1.33009553374165	10.8139637205594	17.1584369325217	3.41755477923217e-06	0.0126888113028259	4.73403126244722
"EED"	-1.51383726707026	6.23430081656848	-16.5379383593036	4.21582614643323e-06	0.0134165655805847	4.59862007459474
"IFI27"	2.29963178030401	9.12377354662455	16.0099189787173	5.07104631955415e-06	0.0141209623575885	4.47588898675807
"STON1"	1.44963362896527	5.48378499786085	15.5022223035985	6.09061002241336e-06	0.0150756132743669	4.3508707699498
"ABCA12"	1.14016840430881	7.61234405238863	14.8762696742573	7.6960617233198e-06	0.0171445167010395	4.18651924455996
"COL4A3"	1.3277153390208	5.2255442134847	13.4948801539267	1.33584512200064e-05	0.0226450136985824	3.77885512617251
"GABBR2"	1.05714106027524	5.59947159478186	13.3979512645249	1.39130784259015e-05	0.0226450136985824	3.74768280117638
NA	0.9930253232414	7.26335617390345	13.3845064311001	1.39921144629761e-05	0.0226450136985824	3.74333039403201
"CEP152"	-0.957958999007466	4.5254398137006	-13.2834391056695	1.46033210096933e-05	0.0226450136985824	3.71038755634583
"CYFIP2"	1.00541577394412	6.52727769765287	13.1820848462776	1.52477984234294e-05	0.0226450136985824	3.67694811079674
"TAF1D"	-1.00380510286947	6.84301255929213	-12.9546824294042	1.68185185566003e-05	0.0234166336178366	3.60042172455716
"ID1"	-0.937545341684872	10.8400473619088	-12.0633937642226	2.51042269688604e-05	0.0275854915692879	3.2792043405708
"DDX58"	1.00963936474611	6.97155388310299	12.0566316941314	2.51832678372758e-05	0.0275854915692879	3.27663019361191
"BLNK"	1.06427477066604	6.44651943078457	11.9664978161896	2.62650516931119e-05	0.0275854915692879	3.24211127620799
"PROCR"	0.887877721550316	7.32542814673296	11.5200551478624	3.24926403713478e-05	0.0275854915692879	3.06528853740277
"COL5A1"	0.886009398085503	6.24313628276427	11.4961838044669	3.28714737628579e-05	0.0275854915692879	3.0555517293477
"TRIM2"	0.859417680327566	4.67794329552088	11.4620162721017	3.34227031508827e-05	0.0275854915692879	3.04156410115575
NA	-1.17398454194632	7.11164812334273	-11.4367621254505	3.38370639491364e-05	0.0275854915692879	3.03118659919297
"BHLHE40"	0.940223220881323	8.53398319225713	11.4310191176625	3.39321271187011e-05	0.0275854915692879	3.02882204046003
"PDZK1"	1.08708560964281	6.84965398257281	11.4237982775145	3.4052094827623e-05	0.0275854915692879	3.02584657864359
"MSMB"	0.927123005818377	9.50539219399966	11.2753239169543	3.66319895677441e-05	0.0275854915692879	2.96405825506502
"TYRP1"	0.985019132811606	7.21247329259292	11.2298434566779	3.7467368670209e-05	0.0275854915692879	2.94489721538397
NA	0.93396788612447	8.39530226785894	11.1984867834913	3.80562643762288e-05	0.0275854915692879	2.9316218563787
"CITED2"	1.15644643524216	7.51795651821333	11.1583402747541	3.88260582581597e-05	0.0275854915692879	2.91454760395002
"ADARB1"	-0.832300329067499	6.07182189330077	-11.110723729222	3.97627330115606e-05	0.0275854915692879	2.89418271354654
"RPL37A"	-0.842758406644727	7.62777600803614	-10.9679487882232	4.27332303152685e-05	0.0275854915692879	2.83237169297382
"ARMCX2"	1.02356020146755	7.50364365517968	10.9516752561938	4.30879551392082e-05	0.0275854915692879	2.82525441893979
"FHL1"	0.783962904182562	6.45662964507656	10.9017064758301	4.41987934071505e-05	0.0275854915692879	2.80330728514638
"RORA"	0.973912852544388	4.34824426139489	10.8716659250739	4.48826701071481e-05	0.0275854915692879	2.79004498004726
NA	0.845511543162646	5.94922699238584	10.868021222751	4.49664779407088e-05	0.0275854915692879	2.78843242822701
"SUMO1"	0.815801665307824	7.08077080861466	10.8525996456948	4.53231121752321e-05	0.0275854915692879	2.78160097298969
"ZBTB10"	0.793607249616309	7.97292494787319	10.8251475279876	4.59661483218515e-05	0.0275854915692879	2.76940661278188
"PRLR"	0.890459863918819	7.19408892192167	10.6633656120023	4.99789402735362e-05	0.0275854915692879	2.69665838147341
"PMP22"	0.8670755386828	7.19907934943097	10.6368094157145	5.06759479114887e-05	0.0275854915692879	2.68457080582163
"PCLO"	0.812264905301894	6.90914084577516	10.6150737099151	5.12548705564087e-05	0.0275854915692879	2.67464636433764
"CA4"	0.777333583436921	6.71428128969454	10.5831746574233	5.21184981564434e-05	0.0275854915692879	2.66003061818624
"SNORA21"	-0.814277257028472	5.77470296975556	-10.5618885148285	5.27042256860781e-05	0.0275854915692879	2.65024385115506
"ASS1"	0.795225063494401	9.84613902005102	10.5424195370997	5.32466731372887e-05	0.0275854915692879	2.64126883678556
NA	0.77935145650782	5.67387840917287	10.3901598745391	5.77207702855265e-05	0.0292237636284244	2.57028842166767
"CEP152"	-0.770324981641831	4.68502546417182	-10.2006841325232	6.39139532541644e-05	0.0311811147462334	2.4799630836866
"EIF1"	0.977211549024109	5.16306945772585	10.1634029400241	6.52218156178128e-05	0.0311811147462334	2.46192473658096
"EIF5"	0.726482330024127	7.25177338582167	10.0555672316408	6.91838281840679e-05	0.0311811147462334	2.40924748242598
"CELF3"	-0.76967435392332	5.39403611911286	-10.0145901141953	7.07623473736784e-05	0.0311811147462334	2.3890329561431
"SRSF7"	-0.801044516605689	9.25392085713329	-10.0119665335005	7.08648326179255e-05	0.0311811147462334	2.38773497712013
"MAST2"	-0.811606036142405	5.25112217531921	-9.99865559691302	7.13874685152059e-05	0.0311811147462334	2.38114263675066
NA	0.926402136809237	7.09365578966871	9.96439878712519	7.27532754992184e-05	0.0311811147462334	2.36412319372113
"BDH2"	0.785778563793846	8.13629859353226	9.96207795167709	7.28469011354896e-05	0.0311811147462334	2.36296736300684
"FKBP1B"	0.7384207114298	4.90390217919175	9.90335191448897	7.52633143170656e-05	0.0311811147462334	2.33360175588433
"CTSO"	0.743494195981866	4.27040209528396	9.89053952944966	7.58028294211197e-05	0.0311811147462334	2.32716453766087
"RAMP3"	-0.741469579390609	8.0912262825006	-9.79826594377494	7.98240923902474e-05	0.0311811147462334	2.28047911096917
"DOCK4"	0.920306961676735	5.29845718912504	9.77976974029229	8.06597211410771e-05	0.0311811147462334	2.27105185346675
"PDZRN3"	0.743671113236313	7.63675166683232	9.7214978580197	8.33596726912588e-05	0.0311811147462334	2.24119900801579
"SKP2"	0.959585201974022	5.57999436986711	9.68965131640473	8.48796184863688e-05	0.0311811147462334	2.2247855204264
NA	0.750243350576282	6.48613734502551	9.68432880590856	8.51367796425051e-05	0.0311811147462334	2.22203551504867
"TPD52"	0.712447138526811	6.49265812577654	9.67169481139488	8.57508382066964e-05	0.0311811147462334	2.21550000965068
"PQBP1"	-0.781491796304818	6.3477482352645	-9.66473952668711	8.60910889059291e-05	0.0311811147462334	2.21189735711967
"BCL2"	1.01197688239952	6.34963399424882	9.62966037263127	8.78312722749038e-05	0.0311811147462334	2.19367608561844
"SOAT1"	0.758877352590718	7.12164349085567	9.62270614476842	8.81810939090858e-05	0.0311811147462334	2.19005365178266
"DRAM1"	0.709848564433402	8.02915914524893	9.5058972291628	9.43062552391556e-05	0.0328259444994167	2.12870040672486
"ELAVL3"	-0.695758403535395	5.51382621213333	-9.45872047797326	9.69194081216794e-05	0.0329301773995074	2.10364667366489
"FOXN3"	0.687647308909049	7.01511629337074	9.38709257562665	0.000101049650843191	0.0329301773995074	2.06530203313712
"MSMB"	0.863667499198584	9.35576264712839	9.30649441644902	0.000105944119142063	0.0329301773995074	2.02170937595677
"DDX60"	0.683622524459292	3.50140593686469	9.27085399129278	0.000108195981871602	0.0329301773995074	2.00228055888755
"C6orf62"	-0.803612084853172	8.15473717646791	-9.24301287541933	0.000109993824828344	0.0329301773995074	1.98703795517938
"C19orf66"	0.829698388664255	5.95115276272579	9.21091490329065	0.000112109814995463	0.0329301773995074	1.9693931434173
"PRKD3"	0.70692704819736	6.92674619352841	9.1975213586513	0.000113006720943455	0.0329301773995074	1.96200769680339
"WASF1"	0.789920446698288	7.3646687518803	9.19703079633947	0.000113039729711362	0.0329301773995074	1.96173693638498
"CXCL12"	-0.690704798553632	7.68914810372778	-9.19043823559902	0.00011348441645159	0.0329301773995074	1.95809649304858
"SYCP2"	0.68244677137165	8.61476692201214	9.18518320495306	0.000113840339767511	0.0329301773995074	1.95519230171183
"RAPGEF2"	0.975734022543779	4.62283512359467	9.17917224861691	0.000114249053875283	0.0329301773995074	1.95186780211231
NA	-0.841706780926698	8.85329387284375	-9.13674189937272	0.000117183105269978	0.0329301773995074	1.92832319284557
"SLCO4C1"	0.658011574898918	4.66228162635456	9.13129358068338	0.000117566163994264	0.0329301773995074	1.92529005172054
"CALR"	-0.704274229905298	10.0150349054614	-9.08140153634755	0.000121142475536175	0.0329301773995074	1.8974095513663
"ACAP1"	-0.909845765037491	5.57400009899119	-9.081396361569	0.000121142852971464	0.0329301773995074	1.89740664976111
NA	-0.721758105405522	6.24755296288577	-9.07849993927596	0.000121354325304544	0.0329301773995074	1.89578224430173
"CYFIP2"	0.664201359535777	5.79363460639196	9.06817815495271	0.000122111431051784	0.0329301773995074	1.88998823433527
"HIST1H2AM"	0.660438886902196	7.62430973761543	9.06199411962161	0.000122567660820651	0.0329301773995074	1.88651298605957
"MED6"	0.700261629303486	6.32011796821596	9.060316390474	0.000122691777355978	0.0329301773995074	1.88556964468596
"HES1"	0.664760305858568	9.5258223995767	9.02194129353198	0.000125570997684066	0.0333017275643801	1.86393321650387
"QPCT"	0.985320908637165	4.86666448750665	9.00202442498529	0.000127096238086237	0.0333096811276129	1.85265896376114
NA	0.717109366456191	5.25167740277216	8.96025911663903	0.000130365084399096	0.0336763579168333	1.82891699961144
"ADGRF1"	-0.70570758014287	5.30228969576247	-8.93450021716516	0.000132429845690063	0.0336763579168333	1.81420616234373
"NMNAT2"	0.747978084344431	5.23647367612432	8.91625461451049	0.000133915359473746	0.0336763579168333	1.80375465208235
"SPG20"	0.73292165175813	7.76546476021726	8.90862635047634	0.000134542167015225	0.0336763579168333	1.79937723742119
"ZNF750"	0.848226858320357	6.21154905271891	8.8774289438558	0.000137141354143604	0.0339455327361896	1.78142705660416
"TNFSF10"	0.702561346409277	4.91324790257586	8.82461201612903	0.000141675919613569	0.0346825764970492	1.75086147582565
"RLN1"	0.703562211102968	6.02204369267403	8.80000662965941	0.000143847717655449	0.0348314739805483	1.73654607170301
"SPATA5L1"	-0.976098689276669	5.00899117612629	-8.74965500298374	0.000148413685572227	0.0353489466455287	1.70709969396419
NA	-0.754497828787304	4.10717290990613	-8.74161369029667	0.000149158368931171	0.0353489466455287	1.70237803618599
NA	0.731719170742588	7.72955367189781	8.64366983579539	0.000158586013587198	0.0367698178078071	1.64444447537911
"PARP12"	0.67741252550071	7.38128889397895	8.62570166768138	0.000160389734776621	0.0367698178078071	1.63373078990728
"SLC16A4"	0.677318639791323	3.88293134231398	8.61222493994907	0.000161758226071447	0.0367698178078071	1.62567762820632
"LINC00115"	-0.62930386587094	3.97227480598187	-8.59819020862788	0.000163197810498312	0.0367698178078071	1.61727500309043
"CLU"	0.622982161266249	9.12433105896063	8.58227856628987	0.000164847939841342	0.0367698178078071	1.60772884440027
"PRKAR2B"	0.640966079076568	7.53569610837798	8.56185852553608	0.000166994075672948	0.0367698178078071	1.59544692700115
"SFXN3"	0.795457629801252	7.75565675626741	8.56022331335086	0.000167167333787043	0.0367698178078071	1.59446189784813
NA	-0.869864997678166	5.59360769207249	-8.5321270939236	0.00017017709513962	0.0367698178078071	1.57750209328228
"CYR61"	0.623406025936369	7.36379251987572	8.53191022156767	0.000170200570656503	0.0367698178078071	1.57737092402308
"FCMR"	0.833491664980841	5.12060282342069	8.51335653532377	0.000172222916909821	0.0367698178078071	1.56613456862361
"CYP4B1"	0.990410966910355	5.6078135067061	8.48136250455164	0.000175776144349275	0.0367698178078071	1.546690238684
NA	0.695505392983693	4.62943783283889	8.47829074256909	0.000176121746139644	0.0367698178078071	1.54481881440617
"LCN1"	-0.775307559809299	4.4874791837263	-8.46824199012356	0.000177257846358652	0.0367698178078071	1.53869116241743
"DAAM1"	0.647290101010293	9.90930525328061	8.45942321373107	0.000178261898964994	0.0367698178078071	1.53330646113251
NA	-0.658899566251217	6.86979807408034	-8.4229176497646	0.000182489027908868	0.037296404355283	1.51094571977122
"DZIP3"	0.616735163817848	6.66489871311777	8.39592582868076	0.000185689400213079	0.0375702765036766	1.4943389628481
"ENPEP"	0.799398098975237	7.13525303339425	8.3757257878892	0.000188127126566858	0.0375702765036766	1.48186979717182
"MPPED2"	0.615436816389174	4.45139975708986	8.34573805053841	0.000191814839028854	0.0375702765036766	1.46329372151363
"FGF18"	-0.648771443231889	3.8499594759468	-8.34387345000556	0.000192046892406126	0.0375702765036766	1.46213610642068
"CSGALNACT1"	0.930149523188281	6.98514039736731	8.34215060440213	0.00019226159363555	0.0375702765036766	1.46106622942613
"CYP24A1"	-0.828392379935436	6.63809778920281	-8.32620217864142	0.000194262365040138	0.037592585074736	1.45115008134451
"HNMT"	0.615815426292357	10.4316980853227	8.30799245672883	0.000196576425630822	0.037592585074736	1.43980080591201
"EEF1D"	-0.612995453333279	6.32328066896906	-8.28635485645592	0.000199367789337868	0.037592585074736	1.42627735516157
"TDRD12"	0.764596907108159	5.76616482321454	8.27127028947436	0.00020134098859009	0.037592585074736	1.41682521187937
NA	0.726169507943343	5.93381510454176	8.25757339114262	0.000203152314721311	0.037592585074736	1.40822523471297
"ST8SIA4"	0.63540943045188	5.02326068040245	8.25307823020923	0.000203750885190958	0.037592585074736	1.40539921493186
"MAGI1"	0.649013657196945	5.06190715317531	8.24980298446666	0.000204188301568571	0.037592585074736	1.40333900756805
"ZNF451"	-0.649738486489365	4.9199328024574	-8.22837779112223	0.000207076701440513	0.0377939549388647	1.3898386308652
"ACTB"	-0.657911765481259	11.1407864692485	-8.21118596324631	0.000209428692402373	0.0377939549388647	1.37897631513281
NA	-0.749155439971875	4.63835679374938	-8.17021468451987	0.000215159914964032	0.0377939549388647	1.35298320581112
"BRD3"	-0.587806211033211	7.36068367184619	-8.16828596570333	0.000215434163003184	0.0377939549388647	1.35175588170174
"SMPDL3A"	0.675925225332728	8.53284884158471	8.16593426840821	0.000215769103776823	0.0377939549388647	1.35025894730337
"ATP7A"	0.642106286327878	6.20189936699754	8.15132667614823	0.000217863168664931	0.0377939549388647	1.34094960056062
"SRSF1"	-0.588717632589953	10.5624196902597	-8.14620335711458	0.000218603195363574	0.0377939549388647	1.33767998985368
"MME"	0.809029600992838	5.48069405210485	8.12565497430204	0.000221600699538827	0.0377939549388647	1.32454260701599
"SEC24D"	0.619744631948141	7.40004887282396	8.1195272186796	0.000222503795301587	0.0377939549388647	1.32061751357273
"SLC26A2"	0.601105719826792	7.37156613829677	8.11390494276414	0.000223336150386261	0.0377939549388647	1.31701321355615
"DYNC2LI1"	0.619307989950164	7.37170958458601	8.08996421335128	0.000226921137727032	0.0377939549388647	1.30163333032717
NA	0.637451230953877	6.62041007797509	8.05166460859724	0.000232795974298563	0.0377939549388647	1.27692060267257
"TNFSF10"	0.777690875949479	5.0456916236031	8.03800048562098	0.000234934476962695	0.0377939549388647	1.2680714011168
"IDS"	0.648024983428368	9.04066964040897	8.02723568395242	0.000236635268996012	0.0377939549388647	1.26108780082336
"NUCKS1"	-0.618441378859202	8.10743263819825	-8.02223154071947	0.000237430759058787	0.0377939549388647	1.25783776604598
"DYNC2H1"	0.608306935658324	5.88480449489445	8.00873299569315	0.000239592078734174	0.0377939549388647	1.24905938293339
"KLK11"	0.619351077718536	8.06739017629206	8.00383942389234	0.000240381239386023	0.0377939549388647	1.24587284223398
"WNT8B"	-0.600032109954232	4.95821468714606	-7.99460310794888	0.00024187895663017	0.0377939549388647	1.23985241550207
NA	-0.684880179686497	5.70019523579521	-7.98855766185629	0.00024286511463845	0.0377939549388647	1.23590759389555
"SLC1A1"	0.860759655142267	4.47389629256959	7.97643174297363	0.000244857227299666	0.0377939549388647	1.22798489036245
"N4BP2L1"	1.14398194951187	6.3209774777482	7.95348313281077	0.000248679424859486	0.0377939549388647	1.21295360521879
"HNRNPA1"	0.742323557174792	8.9188668244469	7.93256120523562	0.000252224441554473	0.0377939549388647	1.19920704093978
"PTPN12"	-0.585065299039776	4.59177251664561	-7.92913826006668	0.000252809984592302	0.0377939549388647	1.19695413340836
"IDS"	1.24978677004772	5.15024470441306	7.92543250988304	0.000253445682187031	0.0377939549388647	1.19451385388165
"EBP"	-0.639226112388279	6.93971507033618	-7.92448974391967	0.000253607703083913	0.0377939549388647	1.19389282641578
"RANBP3"	-0.669426699291628	4.7874474594611	-7.91902575568457	0.00025454909472731	0.0377939549388647	1.19029189829499
"HNRNPU"	-0.613330677296744	5.29902533044413	-7.91211653916585	0.00025574528892017	0.0377939549388647	1.18573451538125
"ENPEP"	0.628481474515874	5.45577630951613	7.91201610610779	0.000255762724889937	0.0377939549388647	1.18566823578782
"TTC30A"	0.599511052249834	6.09837891196135	7.90884141797783	0.000256314586402939	0.0377939549388647	1.18357265038478
"DNAJC4"	-0.589932104526141	5.88403002604221	-7.90390646402391	0.000257175180006125	0.0377939549388647	1.18031324877151
"HIST1H4H"	0.683659943768888	7.23864935653989	7.89896712393598	0.0002580398931707	0.0377939549388647	1.17704865822131
"GLS2"	0.609172774008563	6.62794019418304	7.8902651037763	0.000259571535918045	0.0377939549388647	1.17129159010261
"SRI"	0.716402911632925	5.41276496392977	7.85808701418702	0.000265327435825836	0.0383811642070919	1.14994120891947
NA	0.607707016528201	5.78955727863422	7.84575109149506	0.00026757315952959	0.0384309163131799	1.14173025482787
"AGA"	0.587964394783698	7.29998549868417	7.83731480087456	0.000269121647657049	0.0384309163131799	1.13610662893432
NA	-0.581256886559278	6.50846198440859	-7.8000098758035	0.000276094663708258	0.039007451968587	1.11115790869683
"GLRA3"	-0.566758165365995	6.37413721847909	-7.78802221046924	0.000278379669314754	0.039007451968587	1.10311257618535
NA	-0.592852498318029	4.80397458343793	-7.78785324176529	0.000278412033173468	0.039007451968587	1.10299907703758
"PLAC1"	0.831406490752882	6.2258608936621	7.75634778348299	0.000284523411805446	0.0392702106524207	1.08178836447302
"SGCG"	0.578888064628197	8.76147843904254	7.75033901524767	0.000285706551999661	0.0392702106524207	1.07773216764566
