"Symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"GABBR2"	2.37329008187022	6.0735607719308	27.1139044595546	1.75864297317381e-06	0.0132981971796461	5.14928043563959
"IFI6"	-2.25870528123482	9.31746031165285	-26.606164591969	1.92640454831773e-06	0.0132981971796461	5.10465024392076
"TNS3"	2.17817786960328	7.67238528099487	24.630934590212	2.79334762521968e-06	0.0132981971796461	4.91225459024597
"MSMB"	-1.95820033503886	8.12477094672554	-23.6240094127502	3.41488575197979e-06	0.0132981971796461	4.80120610416556
"WISP2"	1.70817496454047	8.69727091821293	22.2485956005625	4.55691924089511e-06	0.0132981971796461	4.63302820528823
"MSMB"	-1.95190653983558	8.09617353369856	-21.8913288015725	4.92566046730244e-06	0.0132981971796461	4.58590670049829
"IFI27"	-2.72657276619995	9.76881822808466	-21.8758728414739	4.94240837673727e-06	0.0132981971796461	4.58383407708285
"GRB14"	1.60243189610437	8.26059809923508	21.4916695102565	5.3816550394854e-06	0.0132981971796461	4.53137910196562
"PTGER4"	-1.58427330042758	9.68696799092006	-20.8384192287935	6.24170964143533e-06	0.0132981971796461	4.43790407353254
"AMIGO2"	-1.55902045535541	11.9424893539761	-20.8349383394732	6.24671850019591e-06	0.0132981971796461	4.43739095155726
"SERPINA3"	-1.74052640120322	11.1178458397247	-20.2810048650056	7.10936768334656e-06	0.0132981971796461	4.35360950949495
"SLC27A6"	1.51623764533571	9.06412813887709	20.2490520465214	7.1633687729835e-06	0.0132981971796461	4.34864491793594
"CXCL14"	1.73722450877691	5.74005764253256	19.2411362076712	9.15115978113102e-06	0.0156815681880197	4.18419736279294
"ABCA12"	-1.8563351278364	6.18860185989153	-18.6189573856982	1.07123836683645e-05	0.017045697927154	4.07458480036119
"NT5E"	1.39343953538031	8.21327325471148	18.0601495461308	1.23953455398049e-05	0.0184087408393489	3.97039404845914
"TGFBI"	1.29925061671803	9.59380391720596	17.108858455423	1.60572682629822e-05	0.0204302712166667	3.77940423821765
"DENND1A"	1.28336000931504	7.52822047894229	16.7810197234945	1.76126846255893e-05	0.0204302712166667	3.70930023689247
"ISG20"	-1.28601010951857	9.53038553310348	-16.5656197521934	1.87337523421301e-05	0.0204302712166667	3.66196884788116
"EPAS1"	1.32060377670556	9.07412768977084	16.5482384275255	1.88279057490536e-05	0.0204302712166667	3.65810454142746
"CDH18"	1.24568668019596	7.21169629244873	16.5311576772232	1.89209861809329e-05	0.0204302712166667	3.65430044721801
"HS3ST3A1"	-1.28247198671284	9.89631369486102	-16.4699463525629	1.92591325380437e-05	0.0204302712166667	3.64061387238837
"SULF1"	1.63695332326315	8.67945111756553	15.9083015459823	2.27272164135406e-05	0.0205066995191858	3.51097810968683
"CA8"	-1.22192601877662	7.0459498771483	-15.7717455031921	2.36810792841739e-05	0.0205066995191858	3.47831772034216
"HMGN5"	1.18863266606069	6.1128915051641	15.498418508638	2.5739122835083e-05	0.0205066995191858	3.41154777442629
"RUNDC3B"	1.64338407970396	5.10172504555381	15.4979961170264	2.57424660693774e-05	0.0205066995191858	3.41144312173943
"QKI"	2.29312696442188	7.08200084006	15.489225870642	2.58120008197804e-05	0.0205066995191858	3.40926914961136
"STC1"	-1.18519799132434	9.88450421605282	-15.4579517176852	2.606180350898e-05	0.0205066995191858	3.40150077374521
"LTBP1"	-1.15605231163749	9.02620813014143	-15.1345311229801	2.88234822173255e-05	0.0205066995191858	3.31966358047612
"RBM3"	1.4455438489503	10.686089937089	15.0973477666063	2.9163062138451e-05	0.0205066995191858	3.31007639236712
"BCL6"	1.4178613254265	8.13482947961085	15.0900921252096	2.92298847070815e-05	0.0205066995191858	3.3082012702215
"SULF1"	1.56967444233297	7.5671323733676	14.9402143286627	3.06523095506052e-05	0.0205066995191858	3.26914615987887
"COL5A2"	1.63707991455058	6.90972783532976	14.9366420976524	3.06872153231842e-05	0.0205066995191858	3.2682077792124
"TNFRSF11B"	-1.27831404148495	7.1525961446496	-14.887924922567	3.11680556677349e-05	0.0205066995191858	3.25537507773105
