"Symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"ATP5C1"	-1.63148245391269	6.71971974426145	-19.1788074982839	3.53997843062946e-06	0.0291728806391092	4.17425164240612
"FOS"	1.62398424000043	8.50937987355299	18.9467807622975	3.77745642173744e-06	0.0291728806391092	4.14330363270411
"GABRP"	2.10903258311225	6.06527162138072	17.906049499925	5.10464230282232e-06	0.0291728806391092	3.99397558147763
"STON1"	1.5484970893537	5.53321672805506	16.8074843588981	7.14927305900004e-06	0.0291728806391092	3.81543914814443
NA	1.51906881240077	9.98405338788946	16.7215258399274	7.34677695972018e-06	0.0291728806391092	3.80046178008496
"IFI6"	1.99282401741579	8.89184128226533	16.5114226010506	7.85730950463056e-06	0.0291728806391092	3.7631948632902
"MYC"	1.23740635334523	10.7676191303612	15.4075233484478	1.13427161460196e-05	0.0360973839406969	3.55090917044258
"BCL2"	1.19760262559316	6.44244686584564	14.6444852360003	1.48417820112456e-05	0.0413287972330647	3.38618387128221
"MME"	1.10946062606857	4.35245307406966	13.6653441937752	2.13878073188046e-05	0.0529395759601121	3.14987371822344
"IDS"	1.21290942702555	5.13180603290198	12.8974685205975	2.89982323736466e-05	0.0578843080117503	2.94217467608489
NA	1.02679453590216	7.28024078023383	12.7664270321799	3.05967362696023e-05	0.0578843080117503	2.90455965058813
NA	1.13363002617867	7.19726973435343	12.2877990838861	3.73898183504636e-05	0.0578843080117503	2.76137844699633
"MAST2"	-0.958152147282473	5.17784911974918	-12.213957631023	3.85896742996392e-05	0.0578843080117503	2.73844805601266
"TYRP1"	1.09672154726398	7.26832449981911	12.1987064338883	3.88431181185447e-05	0.0578843080117503	2.73368312906967
"IFI27"	2.32751940291809	9.13771735793159	12.1332054837182	3.99541772450409e-05	0.0578843080117503	2.71310526137693
"COL4A6"	1.08190111848732	5.63806403047296	11.8634664837474	4.49431729292021e-05	0.0578843080117503	2.62638626668392
"BLNK"	1.18354276103158	6.50615342596734	11.8324625934491	4.55624384207136e-05	0.0578843080117503	2.6162106563507
"FCMR"	0.911637833302105	5.15967590758132	11.6939749770672	4.84543994119291e-05	0.0578843080117503	2.57022155222473
