"Symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"PRLR"	0.78636749197926	4.96105788063887	9.26295182538432	2.50680684753736e-05	0.115225698642846	2.52617776231084
NA	-0.803918025662288	9.9427432494736	-9.25643413765511	2.51895242376886e-05	0.115225698642846	2.52302866696933
NA	0.805070140648946	6.0841629528737	9.02642615321203	2.99309156854373e-05	0.115225698642846	2.4095676358017
"PCBP2"	1.09779735862022	7.20408061991365	8.88031564427932	3.34618242105164e-05	0.115225698642846	2.33507804664401
"PRKCI"	0.856482146782927	5.87233174608359	8.80100005694955	3.55732265601103e-05	0.115225698642846	2.29383198597978
"EXOC5"	0.731598974585187	6.3965977265852	8.59892033891035	4.16631762821187e-05	0.115225698642846	2.18609640232987
"MAP3K1"	0.760624248127987	6.20061666330529	8.59692016880335	4.17290416641529e-05	0.115225698642846	2.18501066658188
"MIS18BP1"	0.824031677984354	7.33647941498776	8.5237249256031	4.42217554081074e-05	0.115225698642846	2.14501259623021
"SNAP23"	0.889845528363212	5.69219676290449	8.45938443080984	4.65516581131037e-05	0.115225698642846	2.10942146004366
NA	0.903468115876045	6.42418204078883	8.30364200886988	5.27840819656322e-05	0.115887919648018	2.02156431542349
NA	0.70719620270631	8.93630337163356	8.20480551988674	5.72234643860574e-05	0.115887919648018	1.96453035490461
"PPFIBP1"	0.723099712116834	5.54210127336208	7.70010897645586	8.75491556920057e-05	0.152822200601967	1.65702079295752
"NCOA3"	0.677239637816079	9.70827401364169	7.66939234192336	8.99094072464941e-05	0.152822200601967	1.63738960340424
"ANK3"	0.74348725019206	6.655917570775	7.50542521683189	0.000103779252983861	0.152822200601967	1.53073800944013
"WSB1"	0.796455849726296	5.6006306512817	7.43630984588471	0.000110331234070602	0.152822200601967	1.48482796368018
"SEMA3C"	0.913091874200811	9.0574757583426	7.43318003761779	0.000110638710432897	0.152822200601967	1.48273538328882
"SCYL2"	0.636035156483108	5.18450161508473	7.37414887087612	0.000116621511434818	0.152822200601967	1.44304479756803
NA	0.779259151835352	6.46143415296478	7.24965581378034	0.00013046371445579	0.161463342607313	1.35793773941552
