"Symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
NA	-1.18999883882888	9.7497028428903	-12.5869545356803	2.99957873672108e-06	0.0612502197100034	3.97265104778208
"FOS"	-1.16846556583085	8.27410472908225	-11.1940793323025	6.85279511495524e-06	0.0612502197100034	3.50633740649384
"SMC5"	-1.0568055454189	5.71511996650905	-10.0133903045297	1.48954062873301e-05	0.0612502197100034	3.02167884243675
"SYT1"	-1.09638708303341	5.76910555033607	-10.002583518237	1.50071436611289e-05	0.0612502197100034	3.01679862626157
"KRAS"	-0.91795738497477	6.39554752214462	-9.86680531123903	1.64945937018234e-05	0.0612502197100034	2.95473688595195
"CDC42BPA"	-1.09711194825876	6.62973910576258	-9.86660612254808	1.64968944768156e-05	0.0612502197100034	2.95464481581544
"EIF4G1"	-0.91177712506079	6.48166198944414	-9.50524479747124	2.13348878303994e-05	0.0633356429619887	2.78251187447113
NA	0.850022312231293	6.64116781761991	9.36163177751477	2.36866278140127e-05	0.0633356429619887	2.7111772445323
NA	0.837431670049043	6.45433675440394	9.219521081987	2.63048702794654e-05	0.0633356429619887	2.63888219670898
"ATRX"	-0.998049164846169	7.61678668429775	-9.04253110187976	3.00326817151628e-05	0.0633356429619887	2.54639819282865
"ATP5C1"	1.25557936591544	6.42359364721825	8.98902447730337	3.12740527262143e-05	0.0633356429619887	2.51789217928884
NA	0.932198741151984	8.29277515987887	8.659937668178	4.03057226296371e-05	0.0709855354164625	2.33678374054068
NA	0.851256661617239	6.63325836076523	8.62504211524953	4.14244270060606e-05	0.0709855354164625	2.31698010379333
"SMARCC1"	-0.892786420279153	8.91190492243646	-8.44630451314386	4.77305952947225e-05	0.0759496050986094	2.21367941705164
NA	0.752333739528894	7.42882170743969	8.28676509522094	5.42814506427791e-05	0.0806151917312794	2.11877497675769
"EIF1"	-0.836806249718666	5.49045917533637	-8.19681025034524	5.84169172460249e-05	0.0813346040931061	2.06411062350288
"SMC3"	-1.03112001332704	8.10892419049912	-8.08511827787127	6.40523594752241e-05	0.0830683829678415	1.99505278553085
"CDC27"	-0.87503177581887	9.46376187756138	-8.02886417384602	6.71199395529536e-05	0.0830683829678415	1.95976667756577
