"Symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"FOS"	1.88668163877526	8.64072857294041	20.9420666740655	3.65075095700831e-07	0.0037852599073319	6.45742406979618
"GABRP"	2.08397284945771	6.05274175455344	20.1267559220184	4.69803134124936e-07	0.0037852599073319	6.31185387725986
NA	1.82002265708808	10.1345303102331	19.8696034766694	5.09753545001378e-07	0.0037852599073319	6.26353522416375
"EED"	-1.77598346036007	6.10322771992357	-18.1669770341394	8.99326656690758e-07	0.005008574982775	5.9110824821637
"MOB1A"	1.50043895353587	9.39957094944941	17.3468301077755	1.20441028849695e-06	0.00525423127883136	5.71871306478569
"ZFR"	1.5710529608759	7.53680300861547	16.8709534193899	1.43567928027857e-06	0.00525423127883136	5.5994821442686
NA	-1.43577598715338	10.0890915922966	-16.5013201369412	1.65101310552675e-06	0.00525423127883136	5.50273437876849
"ATP5C1"	-1.88715553375347	6.59188320434106	-15.7500167764054	2.21430515764537e-06	0.00616600949960825	5.29415302998726
"MYC"	1.4464734402239	10.8721526738006	15.1936525599706	2.77618654434268e-06	0.00668188120079847	5.12860204219784
"PRLR"	1.55709466786621	7.52740632389537	15.0076834567452	2.99945288898796e-06	0.00668188120079847	5.07101944745184
"CALR"	-1.55779071153615	9.58827666464596	-13.8885135857586	4.87482561952537e-06	0.0098724082114697	4.6986483347129
"PLEKHB1"	1.38194913185216	5.08415295509131	13.4290421432653	6.01501016440889e-06	0.0106782763750621	4.53186872194561
"IFI27"	2.22396290446125	9.08593910870316	13.1972487007069	6.70507615249992e-06	0.0106782763750621	4.44439602163753
"DCBLD2"	1.18837356673127	6.9692306364512	13.195451323071	6.71077206315342e-06	0.0106782763750621	4.44370871144076
"MIS18BP1"	1.31231898186332	8.38173907199388	12.9790762610095	7.43899425527099e-06	0.010770548406036	4.35993096405528
"GREB1"	1.433565283018	6.07749398445801	12.8822196319139	7.79414811044096e-06	0.010770548406036	4.32175296158625
"BRD3"	-1.3478895376366	6.98064200854449	-12.7727625260571	8.21920917998889e-06	0.010770548406036	4.27809462218642
"EEA1"	1.16311158274111	5.09661844261823	12.4156063210034	9.80351883241722e-06	0.0119271664349143	4.13174435015331
NA	-1.13653789174831	8.70587831743295	-12.3419027524144	1.01726517153733e-05	0.0119271664349143	4.10078166071448
"BLNK"	1.08190335072724	6.45533372081517	12.0459111257911	1.18251953271609e-05	0.0123808201864233	3.97371835687944
"RORA"	1.40278532525045	4.56268049774792	12.0229924455453	1.19655353737869e-05	0.0123808201864233	3.96369478038634
"CTTN"	-1.22969721826662	7.07470947462079	-11.9471835661751	1.24435682809756e-05	0.0123808201864233	3.93034629491567
"ZFR"	1.43994700265895	7.86858060819282	11.8954130546475	1.27826396861218e-05	0.0123808201864233	3.90740060570246
