"Symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"MSMB"	-2.76055547393101	7.69184906665084	-29.0518280194151	2.25939468081224e-07	0.00220082483925932	7.31308230285532
"MSMB"	-2.44328739578001	7.88222741635496	-28.8022760688799	2.37165054549356e-07	0.00220082483925932	7.2841272537418
"GABBR2"	2.35875020993181	6.0662908359616	27.6821417620505	2.96380774690396e-07	0.00220082483925932	7.14789760017641
"TNS3"	2.50589756807282	7.83624513022964	25.337812997543	4.87090461576282e-07	0.00223458847557172	6.82583852090936
"IFI27"	-2.91850847741601	9.67285037247663	-25.1948305742927	5.02803622750873e-07	0.00223458847557172	6.80439982196839
"NUSAP1"	1.9870524511592	8.69109437077886	22.8072258127306	8.7857967806632e-07	0.00223458847557172	6.41107805343033
"AOX1"	1.91884129384833	5.63398992135518	22.5587917308458	9.34155514730278e-07	0.00223458847557172	6.36598136435268
NA	-2.20086174356048	4.85824429670047	-22.1611053233497	1.031966221291e-06	0.00223458847557172	6.291994964082
NA	-1.89423609822228	9.6508118809509	-21.7962747889677	1.13243488176635e-06	0.00223458847557172	6.22211201430095
NA	-1.95243383605182	9.49209265123207	-21.3475378099646	1.27220644312528e-06	0.00223458847557172	6.13341551208103
"EPAS1"	1.8712639582758	9.34945778055596	21.1627547809802	1.33559244121152e-06	0.00223458847557172	6.09598376212034
"DEPDC1"	1.91791394741526	7.95356377539189	21.1544050197427	1.33854319088025e-06	0.00223458847557172	6.09427956949088
"IFI6"	-2.39623312633581	9.24869638910235	-21.1163377215915	1.35209336506522e-06	0.00223458847557172	6.08649590627541
"TGFBI"	1.73218517126747	9.81027119448069	20.4718658441812	1.60789109766158e-06	0.00223458847557172	5.95112906356014
NA	-1.89636709660821	6.14068987302626	-20.3997936573937	1.63989272216542e-06	0.00223458847557172	5.93555855229028
"AMIGO2"	-1.80083715383897	11.8215810047343	-20.3576814065074	1.65893773850319e-06	0.00223458847557172	5.92641932995732
"IGFBP3"	1.88143558565876	6.35995402306054	20.1742481272823	1.74498542101314e-06	0.00223458847557172	5.88625189883354
NA	1.66619469605153	7.67608666340038	19.9368173289801	1.86427370346875e-06	0.00223458847557172	5.83338049747486
