Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
LOC729177	0.981604345	0.02479863	4.316207577	0.003085062	0.03972839	-2.208561134
XLOC_l2_015760	-0.472817899	-0.019037725	-4.061997168	0.004285849	0.04887737	-2.562729437
XLOC_l2_015760	-0.441099641	-0.038899659	-4.003102948	0.004631399	0.05110868	-2.64606484
LOC339894	2.6714353	0.02976075	32.15426823	3.30E-09	4.78E-06	11.70580801
FLJ35024	-0.407302736	-0.009573399	-3.953425245	0.004946434	0.053350915	-2.716725439
SCARNA16	-0.75410723	0.039867283	-7.605269853	9.55E-05	0.004111547	1.573177043
XLOC_004951	2.973470575	-0.355964363	7.964136988	7.02E-05	0.003358384	1.907603462
C17orf51	-0.547077063	0.055325446	-6.815527404	0.000196029	0.00659121	0.78943495
LOC100506860	0.629099974	-0.010830344	4.137357902	0.003883956	0.045851816	-2.456790761
LOC100506190	-0.66297579	0.062293053	-5.13352315	0.001143464	0.020683455	-1.132912855
LOC401320	-0.662948845	0.132630345	-4.283607461	0.003216169	0.040767875	-2.253469589
LOC100506810	0.809955366	0.014372706	4.923029265	0.001462983	0.024351355	-1.400674794
MAP3K13	0.437575338	-0.0995965	3.846533312	0.005705952	0.058533885	-2.869883123
C17orf51	-0.466666458	0.029316546	-4.34821734	0.002961987	0.038683475	-2.164613751
C17orf51	-0.480239628	-0.022908809	-4.866157004	0.001565383	0.025367102	-1.474119304
SNHG5	1.05564094	-0.066191315	8.003850492	6.79E-05	0.003294906	1.943830045
XLOC_002736	1.116271728	-0.059022786	8.590195596	4.22E-05	0.002406661	2.46148046
SNHG5	1.295036315	-0.03458548	10.42833048	1.11E-05	0.001016835	3.900199797
LOC441204	-1.309320145	0.072352078	-6.85205174	0.000189355	0.006452298	0.827218093
SNHG5	1.215254558	-0.051138516	9.530371479	2.07E-05	0.001506914	3.229518285
SNHG5	1.10938334	-0.128705618	6.96882693	0.00016966	0.00600293	0.946984937
TDRG1	1.030803853	0.125611994	4.113049386	0.004008922	0.046883514	-2.490876466
LOC100506190	-0.691379543	0.076989411	-5.165828602	0.001101631	0.020192583	-1.092382354
MAP3K13	0.444625143	-0.015064361	5.434879881	0.000812148	0.016568864	-0.760593123
XLOC_005127	-0.894499889	0.046577988	-5.022710136	0.00130084	0.022496794	-1.273077623
LOC440993	-0.287783027	0.003031792	-3.878230883	0.005468338	0.057042051	-2.824308823
XLOC_001688	3.953320075	-0.101371788	29.94157538	5.56E-09	5.64E-06	11.29209362
LINC00472	0.972647058	-0.147857596	5.447969524	0.00080039	0.016401531	-0.744711438
Q6NT14	1.8631869	0.047650663	16.48889648	4.28E-07	0.00010402	7.297747521
LOC647979	0.280102491	0.007810236	4.044528919	0.004385324	0.049500011	-2.587397508
LOC100506190	-0.668976313	0.073955771	-4.498239591	0.002452446	0.03428829	-1.960606819
SNHG5	1.25648714	-0.030660038	10.46383822	1.08E-05	0.000997141	3.925573682
PVT1	0.721184015	-0.0659014	7.172114443	0.000140602	0.005326743	1.151794417
LOC440900	2.777646775	-0.256833913	12.81183922	2.61E-06	0.00036559	5.437704961
LOC100506328	1.564086735	-0.182320983	5.306522444	0.000938142	0.018105542	-0.917603476
RFX8	1.434352856	-0.367107144	4.615043583	0.002122117	0.03117312	-1.804027097
SNHG5	1.235091918	-0.043128611	11.60298564	5.26E-06	0.000612054	4.697768191
LOC100507580	-0.917233355	0.187162223	-5.594161074	0.000681135	0.014712395	-0.568955956
LOC100507429	2.67639789	-0.41796438	5.650736047	0.000640386	0.014206409	-0.501731631
XLOC_011803	-0.542584188	-0.063370826	-4.136680232	0.003887382	0.045879971	-2.457739882
LOC646329	0.716236487	-0.194366638	4.02037931	0.004526999	0.050481508	-2.621569643
XLOC_001512	1.059719135	0.117448953	8.544126012	4.37E-05	0.002448121	2.421939759
LOC100506190	-0.721419095	0.107844233	-5.075869503	0.001222548	0.021702467	-1.205617174
LOC93622	-0.633288385	0.04073143	-7.092963978	0.000151197	0.005563035	1.072601056
LOC388796	1.204288005	-0.007253883	15.28546286	7.39E-07	0.00014826	6.74460741
P39188	-0.950209863	-0.044643519	-4.871421153	0.001555581	0.02532961	-1.467301501
P39193	-0.376427412	0.021412968	-4.603314309	0.002152976	0.031447709	-1.819661068
Q33DX6	1.548066258	0.011000094	15.6246507	6.31E-07	0.000134295	6.905414206
PVT1	0.560228587	-0.093418478	4.488106392	0.002483656	0.034487061	-1.974284024
Q29HP5	1.21111249	-0.083021645	9.947389243	1.54E-05	0.001256231	3.548105728
SNHG5	1.227170248	-0.058624156	7.616859884	9.45E-05	0.004089289	1.584180791
HCG18	0.807597388	-0.059849616	7.817163143	7.95E-05	0.003642311	1.772193682
SNORA26	-0.547474505	-0.029479328	-5.353274094	0.000889907	0.017534789	-0.860147065
LOC100506860	0.479449978	-0.005579111	4.092912968	0.004115755	0.047676979	-2.519174212
LOC388796	1.173058015	-0.03185297	13.86480762	1.49E-06	0.000249794	6.024911632
Q37NU8	1.445710843	0.185500901	7.608058496	9.53E-05	0.004106789	1.575825884
LINC00467	-0.447602984	0.03821838	-4.002324404	0.004636165	0.051148015	-2.64716965
LINC00467	-0.451706649	0.007229924	-5.44381391	0.000804102	0.016457662	-0.749750857
Q88AI3	1.74959684	0.092693348	6.149487262	0.000378287	0.010096537	0.072293719
LOC648987	-0.470043415	-0.018458725	-6.034443048	0.00042597	0.010882611	-0.057201183
P39189	2.20840095	0.00802635	19.21430551	1.42E-07	4.75E-05	8.39195306
FLJ43663	0.679990053	-0.061370254	5.75115062	0.000574553	0.013250765	-0.38349154
LOC339894	2.64749805	-0.235264725	13.62246241	1.69E-06	0.000272467	5.89409543
MRPL23-AS1	-1.788314238	0.132021256	-7.177032369	0.000139972	0.005325021	1.156692129
LOC100507525	3.507641	0.00058415	44.63956653	2.96E-10	1.15E-06	13.36649019
XLOC_010390	2.87144791	-0.07328552	11.01278545	7.59E-06	0.00077791	4.307537955
SNHG5	1.174554825	-0.066766745	8.361644156	5.06E-05	0.00269029	2.263459065
LOC100506136	1.022185328	-0.050757529	10.37180479	1.15E-05	0.001034265	3.859633926
