Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
HIST1H3G	-0.515316965	6.746501461	-5.191013738	0.001049486	0.023675617	-0.659546971
TCEAL1	0.507637583	10.4194532	4.869881671	0.001531083	0.029496612	-1.060853897
ALG1L	0.527450953	6.654691903	5.485241014	0.000751831	0.019513294	-0.305240302
HECTD2	-0.454800196	3.738366902	-4.803462743	0.001658501	0.030918091	-1.145781861
CBWD1 /// CBWD3	-0.464578797	8.226910589	-4.593040097	0.002145536	0.036292987	-1.419225928
DSN1	-1.568786128	7.955469709	-16.52728529	3.95E-07	0.000436016	7.195612081
SPDEF	0.982496081	9.29308905	7.916708432	7.07E-05	0.004891814	2.184629805
SPDEF	0.897478371	9.356561528	8.666432572	3.83E-05	0.003393969	2.818645988
LGALS3BP	0.750391486	9.135710746	7.240321602	0.00012817	0.006828596	1.563381027
CDKN1A	0.61188302	9.353354083	6.280100865	0.000322869	0.01181109	0.590653103
CDKN1A	0.499132478	10.91248402	4.575754501	0.002192029	0.036790254	-1.441984655
MAGED2	0.808068349	9.384891324	8.509432396	4.33E-05	0.003648636	2.690320299
LY6E	-0.568314797	8.052513272	-5.136688685	0.001117591	0.02459546	-0.726355661
TFRC	-0.571122239	10.83533673	-5.510075845	0.000731347	0.019142269	-0.275910351
MCL1	0.923309765	8.651347828	7.40579796	0.00011036	0.006207102	1.719974079
NDFIP1	0.469446719	8.165377292	4.834562865	0.001597444	0.030120181	-1.105932469
NDFIP1	0.5312291	6.96694152	4.667134501	0.001958132	0.034367987	-1.322180155
COTL1	-0.816996198	6.840516461	-6.055436566	0.000406778	0.013562891	0.346206735
ATP6V1G2 /// BAT1	-0.765211587	8.065437491	-8.073200755	6.19E-05	0.004488233	2.321505375
ATP6V1G2 /// BAT1	-1.091070842	8.436091926	-11.35210165	5.85E-06	0.001315231	4.706426181
ATP6V1G2 /// BAT1	-0.698630799	8.344726304	-7.295614858	0.000121884	0.006614738	1.616048658
TMEM109	-0.443755407	8.698450929	-4.682360511	0.001921888	0.033867375	-1.302340083
FLJ23867 /// QSOX1	0.649587159	8.940465206	6.575019466	0.000240535	0.010017514	0.901529277
TMEM59	0.474753972	10.65349092	4.933225296	0.00141953	0.028081395	-0.980475541
SCD	0.680075047	9.940372193	6.857802819	0.000183028	0.008530098	1.189336957
SCD	0.824656302	9.707518136	8.557543704	4.17E-05	0.003571849	2.729886471
SCD	1.048196184	8.96052923	8.832088712	3.36E-05	0.003178055	2.951613357
BTG2	0.731185027	6.379563384	4.788393576	0.001689005	0.031309848	-1.165142698
BTG2	0.671038559	7.939042517	5.949716876	0.000454444	0.01440916	0.228831601
RNF114	0.671572676	9.868130986	6.909994199	0.000174189	0.00826606	1.241389219
