Symbol	ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
HIST1H3G	11715100_at	-0.648559829	6.679880029	-5.773795962	0.000604123	0.014958001	-0.069796181
UNCX	11715193_s_at	0.486161937	7.477150406	5.124640857	0.001230005	0.022143542	-0.828626849
HIST1H2AI	11715219_s_at	0.562738231	6.616559451	5.390137384	0.000913472	0.018813201	-0.510948311
ALG1L	11715269_x_at	0.552174353	6.667053603	5.826354793	0.000571689	0.014488342	-0.010969597
CBWD1 /// CBWD3	11715327_x_at	-0.551831884	8.183284046	-5.255544198	0.001060914	0.020408063	-0.670706959
DSN1	11715331_x_at	-1.532704994	7.973510276	-15.37073525	8.66E-07	0.000649421	6.525192112
CST3	11715358_x_at	0.469529403	8.97678296	5.012302749	0.001399083	0.023747473	-0.966167538
SPDEF	11715364_a_at	1.145012021	9.37434702	10.83353025	9.89E-06	0.001637241	4.207589194
SPDEF	11715365_x_at	1.074255684	9.444950185	10.57731837	1.17E-05	0.001785965	4.04372836
LGALS3BP	11715370_s_at	0.849411802	9.185220905	7.798507572	9.01E-05	0.005117499	1.944611691
CDKN1A	11715387_at	0.556752633	9.32578889	5.907719728	0.000525234	0.013827896	0.079349336
CDKN1A	11715388_s_at	0.551782873	10.93880922	5.671441077	0.000673331	0.016009728	-0.185457503
MAGED2	11715397_x_at	0.748561192	9.355137745	8.048920919	7.32E-05	0.004512098	2.161608682
ILF2	11715402_x_at	-0.544740259	10.95510104	-5.498650647	0.000811083	0.017630686	-0.384053094
LY6E	11715419_at	-0.622643261	8.02534904	-6.61363804	0.000260185	0.009240469	0.826137098
TFRC	11715477_at	-0.54715894	10.84731838	-5.64875279	0.000689839	0.016289869	-0.211293613
MCL1	11715484_a_at	1.022201446	8.700793668	8.314931946	5.90E-05	0.004018986	2.385356723
IGFBP7	11715501_s_at	-0.642764125	4.147246706	-6.550263462	0.000276483	0.009576294	0.761701504
IARS	11715505_a_at	-0.490034891	11.13087344	-5.121518556	0.001234387	0.022148988	-0.832424365
COTL1	11715524_a_at	-1.054872271	6.721578424	-8.528152869	4.99E-05	0.003686269	2.559860139
ATP6V1G2 /// BAT1	11715525_a_at	-0.826142261	8.034972154	-8.344368797	5.77E-05	0.004000805	2.409700665
ATP6V1G2 /// BAT1	11715526_s_at	-1.187298722	8.387977986	-10.13461776	1.56E-05	0.002082429	3.750145777
ATP6V1G2 /// BAT1	11715527_x_at	-0.822759666	8.28266187	-8.033155446	7.41E-05	0.004542023	2.148131927
FLJ23867 /// QSOX1	11715557_at	0.734853404	8.983098328	7.233563499	0.00014683	0.006630785	1.431030214
SCD	11715561_s_at	0.771861493	9.986265416	5.188793277	0.001143678	0.021377019	-0.750919472
SCD	11715562_x_at	0.910218235	9.750299103	5.330925976	0.000975335	0.019462968	-0.580906323
SCD	11715563_s_at	1.141980842	9.007421559	7.745701277	9.42E-05	0.005237564	1.898039533
BTG2	11715613_a_at	0.818537496	6.423239618	6.351761618	0.000335398	0.010744664	0.556617643
BTG2	11715614_at	0.961483811	6.388942448	6.121546825	0.000421978	0.012314741	0.312433017
BTG2	11715615_at	0.670245426	7.938645951	6.090331662	0.000435531	0.012465787	0.278788298
RNF114	11715622_a_at	0.631925168	9.848307232	6.180771193	0.000397538	0.011917702	0.375912802
SH3BGRL	11715625_a_at	0.594588337	9.169333031	6.160893295	0.00040556	0.012055974	0.354658177
PSMB8	11715665_a_at	0.503950581	7.505961439	5.282010816	0.001029954	0.020101568	-0.639083468
