Symbol	ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
TCEAL1	11715202_s_at	0.428622201	10.37994551	3.373018502	0.011427649	0.192411738	-2.791203242
C5orf36	11715250_s_at	-0.454969023	3.912852608	-3.463837672	0.010080558	0.181424435	-2.663503532
PTMS	11715258_s_at	0.388058548	7.281047641	3.425075341	0.010633409	0.186169286	-2.717881096
ALG1L	11715269_x_at	0.503985019	6.642958936	4.003490902	0.004903495	0.126143376	-1.928019012
DSN1	11715331_x_at	-1.021662627	8.22903146	-4.975948379	0.001492572	0.069627557	-0.716756028
CST3	11715358_x_at	0.433830387	8.958933452	3.921069208	0.005458772	0.133489094	-2.037586437
SPDEF	11715364_a_at	0.750734861	9.17720844	5.68362646	0.000683157	0.048235173	0.070130932
SPDEF	11715365_x_at	0.80266155	9.309153118	5.894751663	0.000547946	0.043672469	0.290133502
LGALS3BP	11715370_s_at	0.695745263	9.108387635	6.01297364	0.000485448	0.041813728	0.410482434
CDKN1A	11715387_at	0.535491835	9.315158491	3.871974071	0.005821784	0.137804492	-2.103342924
CDKN1A	11715388_s_at	0.553685343	10.93976045	3.888746417	0.005694901	0.136290032	-2.080837623
MAGED2	11715397_x_at	0.619656653	9.290685476	5.500405208	0.000831052	0.052938098	-0.126185329
ILF2	11715401_s_at	-0.403675838	11.71868902	-3.415412919	0.010776231	0.187278642	-2.731465389
ILF2	11715402_x_at	-0.463653575	10.99564439	-4.116778682	0.004238299	0.117321964	-1.779134862
TSC22D1	11715413_s_at	0.424950715	11.4513961	3.846316315	0.006021866	0.14039203	-2.137852498
LY6E	11715419_at	-0.424046498	8.124647422	-3.652381023	0.007798753	0.15904379	-2.401822875
KISS1	11715455_x_at	0.414844574	4.624777732	3.560259753	0.008834985	0.169360024	-2.529081157
MCL1	11715484_a_at	0.789563397	8.584474644	5.731912775	0.000649234	0.047436852	0.121028793
HERPUD1	11715514_a_at	0.439976407	9.302230167	3.794681129	0.006447526	0.14518668	-2.207598852
COTL1	11715524_a_at	-0.721267792	6.888380664	-4.747518724	0.001949299	0.080349459	-0.987606116
ATP6V1G2 /// BAT1	11715525_a_at	-0.57220693	8.16193982	-3.61245965	0.008230742	0.163434691	-2.456827656
ATP6V1G2 /// BAT1	11715526_s_at	-0.944325493	8.5094646	-8.354063145	5.98E-05	0.020282953	2.423107426
ATP6V1G2 /// BAT1	11715527_x_at	-0.573696843	8.407193282	-4.711815314	0.002033732	0.08203714	-1.030698633
FLJ23867 /// QSOX1	11715557_at	0.535590876	8.883467064	4.672042573	0.002132565	0.084340979	-1.078944992
TMEM59	11715558_a_at	0.471031876	10.65162987	4.190410395	0.003859126	0.111332334	-1.683446846
SCD	11715561_s_at	0.674020153	9.937344746	4.402703817	0.002958755	0.098496238	-1.412393103
SCD	11715562_x_at	0.74379173	9.66708585	5.103309646	0.001290266	0.065255286	-0.569366775
SCD	11715563_s_at	0.948538111	8.910700194	5.203413669	0.001152512	0.062418354	-0.455324435
YWHAH	11715593_s_at	-0.483274149	10.40395602	-4.369495042	0.00308294	0.100740951	-1.454317059
BTG2	11715613_a_at	0.413815978	6.220878859	3.490150051	0.009722922	0.178413866	-2.626700592
BTG2	11715614_at	0.904286724	6.360343905	7.069344165	0.000176515	0.027789578	1.400819865
BTG2	11715615_at	0.827880713	8.017463594	5.975110949	0.000504554	0.041971255	0.372157994
RNF114	11715622_a_at	0.462554653	9.763621975	4.005130404	0.004893093	0.126143376	-1.925850129
SH3BGRL	11715625_a_at	0.409365942	9.076721833	3.667121633	0.007645491	0.157672322	-2.381569156
PSMB8	11715665_a_at	0.633650331	7.570811314	5.683903518	0.000682957	0.048235173	0.070423966
IFITM1	11715670_a_at	0.607202141	11.82714918	5.461909029	0.000866462	0.054012029	-0.168080518
IFITM1	11715671_x_at	0.626603366	11.95637726	5.588856454	0.000755628	0.050745979	-0.030779346
CCNG1	11715675_a_at	0.472474352	8.38415169	4.114457317	0.004250897	0.117475233	-1.78216549
CREG1	11715682_a_at	0.409361322	8.114844701	3.45863257	0.010152967	0.181825812	-2.67079441
CD164	11715689_a_at	0.705319049	10.50304113	5.186495925	0.001174601	0.063137386	-0.474486912
CD164	11715690_x_at	0.78463219	9.7905143	6.708572231	0.000246001	0.031939395	1.079123194
NOLC1	11715697_a_at	-0.622799079	10.98047378	-5.391585913	0.00093556	0.056422125	-0.245199655
MB	11715708_s_at	0.902297625	9.525746115	7.729525118	9.94E-05	0.023282431	1.948891211
MB	11715709_x_at	0.957626975	9.409318961	8.390157857	5.81E-05	0.020282953	2.449290623
AKR1C3	11715711_a_at	0.627303193	6.698594712	3.526092227	0.009256286	0.173340846	-2.576574099
ITM2B	11715725_x_at	0.423775968	12.08119125	3.746605626	0.006873293	0.148881237	-2.272889856
OAZ2	11715727_s_at	0.484818998	8.45048465	3.404095082	0.010946146	0.188839137	-2.747391747
PSMB3	11715732_at	-0.38738129	10.66709915	-3.346125309	0.011862673	0.195851291	-2.829211128
TMEM123	11715735_a_at	0.513304798	7.44572143	3.917158031	0.00548677	0.133859785	-2.042811568
SSRP1	11715748_at	-0.750414913	8.126541178	-5.940898354	0.000522541	0.042798823	0.337350678
SSRP1	11715749_s_at	-0.549528703	9.541163907	-4.947092067	0.001543136	0.070785455	-0.750509232
SSRP1	11715750_at	-0.468317402	8.016164938	-4.060213559	0.004557221	0.121661081	-1.853223265
SET	11715769_a_at	-0.402792663	11.51289899	-3.608799585	0.008271621	0.163761558	-2.461881653
HSPB8	11715776_a_at	-0.423200395	10.42382362	-3.776673616	0.006603559	0.146763883	-2.232015141
TUBG1	11715791_at	-0.616192348	10.55061886	-5.573205321	0.0007684	0.051394527	-0.047574686
ACTG2	11715793_a_at	-1.67021464	4.757026791	-13.64730053	2.14E-06	0.019966431	5.202271371
ACTG2	11715794_x_at	-1.218738348	5.238403294	-10.36476132	1.41E-05	0.019966431	3.704587135
ANXA6	11715803_a_at	1.010047584	6.845298167	7.744545528	9.81E-05	0.02322127	1.96078296
STARD10	11715807_a_at	0.575850436	11.20522496	4.994639062	0.001460799	0.068971561	-0.694964514
TRAP1	11715814_a_at	-0.545351281	10.19211952	-4.393403167	0.002992972	0.09928765	-1.424116688
PSMC3	11715815_a_at	-0.53725353	11.05745426	-4.839066963	0.001749942	0.075910056	-0.878050269
ZFP36L2	11715817_at	-0.524612418	7.511158201	-4.364786853	0.003101004	0.101042934	-1.460275205
HMG20B	11715826_x_at	0.515951198	8.844073612	4.552645714	0.002462466	0.089799187	-1.225315039
RUVBL1	11715834_x_at	-0.461187459	9.436079565	-3.875359919	0.005795924	0.137653206	-2.098796349
PTPRF	11715844_s_at	0.433496087	10.74094253	3.859212332	0.005920384	0.138852792	-2.120495083
PTPRF	11715845_s_at	0.460782775	10.52876692	4.115426892	0.00424563	0.117395232	-1.780899571
EFEMP1	11715846_at	-1.228391686	6.449207165	-5.992166341	0.000495846	0.041813728	0.389446867
PRCP	11715856_s_at	0.473048572	9.18989356	4.182278615	0.003899121	0.111591639	-1.693972387
TINF2	11715868_a_at	0.449203165	8.79533076	3.917062838	0.005487453	0.133859785	-2.042938769
