Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
HS3ST1	3.424478498	4.654459936	42.00020572	1.23E-13	1.90E-09	19.22941392
CTGF	-3.365402717	11.70073498	-41.50573224	1.40E-13	1.90E-09	19.16128287
BMP4	-3.582265158	8.767950953	-41.10809703	1.56E-13	1.90E-09	19.10529206
CXCR4	-3.625572049	6.352923149	-40.88320227	1.65E-13	1.90E-09	19.07313926
ADAMTS1	4.018802215	7.522021756	40.69641739	1.74E-13	1.90E-09	19.04616391
EDN1	-3.054501003	10.80760193	-37.72756264	4.03E-13	3.67E-09	18.58197068
EDN1	-3.114765998	11.02910098	-34.60108703	1.05E-12	8.20E-09	18.01075565
CYR61	-2.640475486	10.98020291	-32.96811416	1.79E-12	1.22E-08	17.67279357
MTMR10	-2.700317468	8.143485327	-31.59225241	2.87E-12	1.60E-08	17.36390721
APOLD1	2.547377629	8.043636443	31.32526129	3.15E-12	1.60E-08	17.30121414
CXCR4	-2.57465217	5.864119398	-31.25919619	3.22E-12	1.60E-08	17.28555763
KLF4	3.778776762	7.717325704	29.55946247	5.97E-12	2.53E-08	16.86220924
KITLG	2.289203084	9.107880475	29.5393393	6.02E-12	2.53E-08	16.85695031
ADAMTS1	3.418767421	5.790140028	29.23406041	6.75E-12	2.64E-08	16.77642663
APLN	-2.464850786	7.573654883	-28.80729696	7.94E-12	2.89E-08	16.66147948
CYR61	-3.110238959	10.37239847	-27.69472535	1.22E-11	4.18E-08	16.34817362
DKK1	-2.590815783	7.897067497	-26.73513381	1.81E-11	5.81E-08	16.06111416
ARL4C	2.174441151	6.599463972	25.38750779	3.19E-11	9.68E-08	15.62931446
FBXO32	-3.395596353	5.842961836	-24.92912715	3.89E-11	1.12E-07	15.47425917
FAM84B	-2.216273701	8.826115874	-24.71256595	4.28E-11	1.12E-07	15.39948198
FBXO32	-2.295924846	6.241074633	-24.70269576	4.30E-11	1.12E-07	15.39605019
LINC01013	-2.349731119	7.399878576	-24.48173581	4.75E-11	1.18E-07	15.31867712
ARL4C	1.992471483	7.249161876	23.9966585	5.91E-11	1.34E-07	15.14507658
UGCG	-1.968924776	8.375684951	-23.95843673	6.02E-11	1.34E-07	15.13117481
RALGPS2	-2.148430536	6.213216628	-23.9180994	6.13E-11	1.34E-07	15.11646773
FILIP1	-2.384565959	5.505539774	-23.40057247	7.79E-11	1.64E-07	14.92445805
IRS2	-2.005310745	6.72539441	-23.1780793	8.65E-11	1.75E-07	14.83997739
C10orf10	-1.892784273	9.592860692	-22.64870133	1.11E-10	2.17E-07	14.634137
GAB1	-2.083637276	5.373607405	-22.46787248	1.22E-10	2.29E-07	14.56222392
NA	-2.127363066	5.722166936	-22.36412106	1.28E-10	2.33E-07	14.52058713
ACKR4	2.152249658	7.968342606	22.18024247	1.40E-10	2.42E-07	14.44611136
DCAF12L1	-1.695439185	8.178696276	-22.15606035	1.42E-10	2.42E-07	14.43625142
RNF145	-2.00715135	9.199525768	-21.90646709	1.60E-10	2.66E-07	14.33358157
PLPP3	2.027798417	8.502692607	21.80758234	1.68E-10	2.71E-07	14.29244607
THBS1	-1.833363171	9.010295963	-21.65941821	1.81E-10	2.79E-07	14.23031576
YPEL2	-2.238996029	8.756008327	-21.63647239	1.83E-10	2.79E-07	14.22064031
INHBA	-1.830409519	7.511107586	-21.55203478	1.91E-10	2.83E-07	14.18491148
TRIB3	1.946865136	9.014729555	21.32557863	2.15E-10	3.03E-07	14.08811377
PPP1R3B	-1.66626665	8.939710267	-21.3113425	2.16E-10	3.03E-07	14.08198069
PLPP3	2.067102415	7.823564546	21.15004688	2.35E-10	3.21E-07	14.0120923
SPTLC2	-1.885387977	7.850639284	-20.74735533	2.90E-10	3.87E-07	13.83434215
LHX6	1.716635758	8.109186303	20.63803636	3.07E-10	4.00E-07	13.78526732
PLPP3	1.821037875	7.818217601	20.49627638	3.31E-10	4.16E-07	13.72109727
GIMAP8	-1.690009967	9.39229941	-20.47650959	3.35E-10	4.16E-07	13.7121014
ESM1	-1.661665594	8.289166997	-20.1077648	4.08E-10	4.95E-07	13.54209308
C10orf10	-1.985774448	9.854574546	-19.77207739	4.90E-10	5.82E-07	13.38362824
CXCL1	-1.909829019	6.175240679	-19.68884825	5.13E-10	5.84E-07	13.34378092
ADAMTS9	1.700192294	6.072779363	19.67274917	5.17E-10	5.84E-07	13.33604728
BMP2	-1.615863479	6.696057759	-19.62997422	5.30E-10	5.84E-07	13.31545815
UGCG	-1.734850631	8.016810178	-19.61352679	5.34E-10	5.84E-07	13.3075255
GADD45B	-1.795952775	8.324787463	-19.56329801	5.50E-10	5.89E-07	13.28324517
FILIP1	-2.473232639	5.52814424	-19.34193917	6.22E-10	6.54E-07	13.17524813
CCRL2	1.707224188	6.79357478	19.10391475	7.11E-10	7.34E-07	13.05728538
RNF125	1.726582105	4.033477409	18.95822478	7.73E-10	7.75E-07	12.98412711
DDIT4	1.786429267	11.18282501	18.92129739	7.89E-10	7.75E-07	12.96546724
ADAMTS9	1.937036619	6.881316008	18.87708093	8.10E-10	7.75E-07	12.94306154
HEY1	1.517736529	6.38890641	18.8687577	8.14E-10	7.75E-07	12.93883628
GADD45B	-1.765651304	7.801541414	-18.83629706	8.29E-10	7.75E-07	12.92233454
