Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
DKK1	-3.581861918	6.427131469	-44.80666403	4.07E-13	2.23E-08	17.80662222
RSAD2	3.346348362	7.688660157	38.83631617	1.76E-12	3.95E-08	17.08098405
CTGF	-3.272189427	11.34070516	-37.27586721	2.67E-12	3.95E-08	16.85224714
LINC01013	-3.142682824	6.75476514	-36.98727445	2.89E-12	3.95E-08	16.80785912
ANGPT2	-3.339681793	8.501086957	-33.53744076	7.83E-12	8.57E-08	16.22056452
IFIT1	3.128256929	9.157998741	31.8851535	1.31E-11	1.01E-07	15.8974218
OAS1	2.568237233	7.785006835	31.32099395	1.57E-11	1.01E-07	15.78003164
ANGPT2	-3.172955655	8.153584625	-31.29561044	1.58E-11	1.01E-07	15.77466091
ANGPT2	-2.984221218	6.645266141	-31.13611328	1.67E-11	1.01E-07	15.74073552
ANGPT2	-3.334156862	7.22435649	-30.43732102	2.10E-11	1.15E-07	15.58839544
OAS1	2.655684768	7.598224718	28.82280578	3.66E-11	1.73E-07	15.21192625
CMPK2	2.940011338	9.432141052	28.6603999	3.87E-11	1.73E-07	15.1720473
IFIT3	2.751580601	10.24492522	28.48912223	4.12E-11	1.73E-07	15.12957262
IFIT2	3.10449648	8.222017967	28.16361328	4.62E-11	1.81E-07	15.04765049
IFIT3	2.663079057	9.358581567	26.46939293	8.68E-11	3.16E-07	14.59442045
RAB11FIP1	-2.526155036	5.623301882	-26.26242972	9.40E-11	3.21E-07	14.5357897
OASL	2.763093782	7.085678894	25.94617737	1.06E-10	3.42E-07	14.44474584
APLN	-3.152922101	7.239307168	-25.2190573	1.42E-10	4.30E-07	14.22853941
MX1	2.237919476	9.656786447	24.5184146	1.88E-10	5.42E-07	14.01070696
CYP1A1	2.042447691	6.435475783	23.66365983	2.70E-10	7.10E-07	13.73154366
CXCR4	-2.287252621	5.726773413	-23.51755614	2.87E-10	7.10E-07	13.68228124
TNFSF13B	2.972856249	5.751271898	23.49183837	2.90E-10	7.10E-07	13.67356187
CCL5	2.372237473	8.622597677	23.42518808	2.99E-10	7.10E-07	13.65089738
SGK1	-1.892084262	9.541865001	-23.29246198	3.16E-10	7.21E-07	13.60547258
MCTP1	-2.125294787	8.28146532	-23.09580744	3.45E-10	7.53E-07	13.53744808
KYNU	2.133740225	6.93312368	22.92451559	3.71E-10	7.81E-07	13.47748585
TGFB2	-2.042913104	6.537906186	-22.79578832	3.93E-10	7.96E-07	13.43198205
CYR61	-1.889701888	11.38973394	-22.62956844	4.23E-10	8.01E-07	13.37265697
TNFSF4	-1.83928342	8.260667458	-22.62054829	4.25E-10	8.01E-07	13.36941914
GPRC5B	-1.728658977	8.293518444	-21.73465142	6.36E-10	1.16E-06	13.04187444
PDE5A	-1.845317934	5.387190441	-21.5952058	6.78E-10	1.20E-06	12.98854348
