


Id	Name	GeneId	raw P-value	FDR
GO:0030331	estrogen receptor binding	PAGR1	4.85E-02	1.0
GO:0017171	serine hydrolase activity	TPP1	7.96E-02	1.0
GO:0046972	histone acetyltransferase activity (H4-K16 specific)	KANSL1L	9.47E-02	1.0
GO:0010485	H4 histone acetyltransferase activity	KANSL1L	1.24E-01	1.0
GO:0000339	RNA cap binding	CYFIP2	1.80E-01	1.0
GO:0030515	snoRNA binding	BYSL	1.80E-01	1.0
GO:0008171	O-methyltransferase activity	MEPCE	2.15E-02	1.0
GO:0008171	O-methyltransferase activity	COMT	2.15E-02	1.0
GO:0000175	3'-5'-exoribonuclease activity	TOE1	2.07E-01	1.0
GO:0004806	triglyceride lipase activity	HBP1	2.07E-01	1.0
GO:0004364	glutathione transferase activity	GSTT1	2.07E-01	1.0
GO:0043138	3'-5' DNA helicase activity	GINS2	2.07E-01	1.0
GO:0005184	neuropeptide hormone activity	NEU1	2.20E-01	1.0
GO:0035257	nuclear hormone receptor binding	PAGR1	2.20E-01	1.0
GO:0015278	calcium-release channel activity	TPCN1	2.20E-01	1.0
GO:0001056	RNA polymerase III activity	POLR3H	2.20E-01	1.0
GO:0042162	telomeric DNA binding	TPP1	3.12E-02	1.0
GO:0042162	telomeric DNA binding	TELO2	3.12E-02	1.0
GO:0017069	snRNA binding	EFTUD2	2.99E-03	0.5039773398943116
GO:0017069	snRNA binding	TOE1	2.99E-03	0.5039773398943116
GO:0017069	snRNA binding	MEPCE	2.99E-03	0.5039773398943116
GO:0016709	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen	SQLE	2.46E-01	1.0
GO:0035064	methylated histone binding	ING5	3.47E-02	1.0
GO:0035064	methylated histone binding	SGF29	3.47E-02	1.0
GO:0030295	protein kinase activator activity	GPRC5A	2.46E-01	1.0
GO:0070566	adenylyltransferase activity	OAS3	2.46E-01	1.0
GO:0043022	ribosome binding	CPEB4	2.58E-01	1.0
GO:0005506	iron ion binding	TET1	2.58E-01	1.0
GO:0016776	phosphotransferase activity, phosphate group as acceptor	DTYMK	2.58E-01	1.0
GO:0046982	protein heterodimerization activity	POLA2	4.21E-02	1.0
GO:0046982	protein heterodimerization activity	MCL1	4.21E-02	1.0
GO:1990837	sequence-specific double-stranded DNA binding	HNRNPDL	2.70E-01	1.0
GO:0019200	carbohydrate kinase activity	HK1	4.61E-02	1.0
GO:0019200	carbohydrate kinase activity	KHK	4.61E-02	1.0
GO:0003964	RNA-directed DNA polymerase activity	TPP1	2.82E-01	1.0
GO:0005310	dicarboxylic acid transmembrane transporter activity	SAT1	4.61E-02	1.0
GO:0005310	dicarboxylic acid transmembrane transporter activity	SLC19A1	4.61E-02	1.0
GO:0017076	purine nucleotide binding	PTAFR	2.94E-01	1.0
GO:0003725	double-stranded RNA binding	OAS3	3.06E-01	1.0
GO:0017046	peptide hormone binding	PRLR	5.44E-02	1.0
GO:0017046	peptide hormone binding	IGF1R	5.44E-02	1.0
